Herr Präsident, ich gebe Herrn Cashman Recht.	Mr President, I agree with Mr Cashman.
Seit acht Jahren führt das russische Militär in Tschetschenien Krieg gegen die Zivilbevölkerung.	For eight years the Russian military has been waging war on the civilian population in Chechnya.
Das ist die Realität, vor der wir die Augen nicht verschließen dürfen.	This is the reality and we must not close our eyes to it.
Deshalb frage ich Sie, Herr Ratspräsident: Haben Sie die Liste der Maßnahmen, die Sie uns eben vorgetragen haben, auch im Trilog Außenminister Iwanow vorgetragen und so erläutert, wie Sie es hier getan haben?	That is why I should like to ask you the following question Mr President-in-Office of the Council: in the trilogue did you present and explain the list of measures, which you have just presented to us, to the Russian Foreign Minister, Mr Ivanov, in the same terms in which you have just presented them to us here?
Haben Sie die genannten Drohungen, Beschlüsse gegen Russland zu verabschieden, Herrn Iwanow auch so vorgetragen?	Did you also tell Mr Ivanov about the threats you mentioned of adopting measures against Russia?
Stand dies wirklich im Zentrum der Tagesordnung oder war es nur eine Randbemerkung?	Was this really the focal point of the agenda or was it only mentioned in passing.
Fakt ist doch, dass es bisher nichts bewirkt hat.	The fact remains that it has not yet had any effect.
Nach meinem Eindruck ist dies nicht mit der Ernsthaftigkeit, mit der Sie es hier eben vorgetragen haben, gegenüber der russischen Seite erläutert worden!	It is my impression that this was not put to the Russian side in the same serious tone that you have just adopted here.
Damit machen auch wir uns schuldig an diesen Verbrechen.	This makes us guilty of these crimes too.
Wir wissen, dass in Tschetschenien täglich Menschen verschleppt, getötet und misshandelt werden.	We know that in Chechnya people are being abducted, killed and abused every day.
Und wir wissen, dass Tschetschenen in Russland als Schwarze bezeichnet werden - ein russisches Schimpfwort, das diese Menschen zu Menschen zweiter Klasse deklariert.	In addition, we know that Chechens are known as 'blacks' in Russia, a derogatory Russian term denoting that they are second-class citizens.
Das Schweigen und Wegsehen bei der täglichen Körperverletzung und Misshandlung von Zivilisten macht uns unglaubwürdig gegenüber der Welt, im Hinblick auf das Eintreten für die Menschenrechte an vielen Orten.	Remaining silent and looking away when civilians are being hurt and abused on a daily basis damages our credibility in the eyes of the world whenever and wherever we defend human rights.
Deswegen ist es wichtig, dass wir den Beteuerungen von Präsident Putin, die nicht der Realität entsprechen und die er gestern in Weimar wiederholt hat, man müsse die Bevölkerung vor Banditen schützen und staatliches Recht wieder einführen, nicht glauben.	That is why it is important for us not to believe President Putin's protestations, which bear no relation to reality and which he repeated yesterday in Weimar, that the people need to be protected from bandits and that State rule needs to be re-introduced.
Dies hat nichts mit der Wirklichkeit dort im Land zu tun.	This is completely unrelated to what is really happening on the ground.
Wir müssen dafür sorgen, dass es ein internationales Monitoring gibt, das die Menschenrechtsverletzungen durch die Armee dort kontrolliert.	We need to ensure that there is international monitoring to report on violations of human rights by the army.
Ich unterstütze auf jeden Fall alle Forderungen, Präsident Putin und Herrn Maschadow hier im September nach Straßburg einzuladen, damit endlich der Dialog beginnt und die Waffen schweigen und damit die Spirale der Gewalt in dieser Region durchbrochen wird.	In any case I would support all calls to invite President Putin and Mr Machadov here to Strasbourg in September so that the dialogue can finally begin and the guns can fall silent, and so that we can end the spiral of violence in this region.
(Beifall)	(Applause)
