­ Herr Präsident, sehr geehrter Herr Kommissar!	Mr President, Commissioner.
Ich bin sehr froh, daß Kommissar Patten hier anwesend ist, denn wir waren ja vor wenigen Tagen als offizielle Delegation des Parlaments in der Türkei.	I am most glad to see Commissioner Patten here today because we were in Turkey a few days ago as the official Parliament delegation.
Sein Interview im Spiegel hat einige Furore gemacht.	His interview in Der Spiegel caused a furore.
Vielleicht liegt es weniger an dem, was er gesagt hat, sondern an dem, was der Spiegel gebracht hat.	Perhaps as the result less of what he said than of what Der Spiegel added.
Ich schätze Herrn Kommissar Patten sehr, seit ich ihn das erste Mal in Hongkong getroffen habe, für seine offene, unkonventionelle Art. Ich glaube aber doch, daß vielleicht einiges klarzustellen ist.	Since meeting him for the first time in Hong Kong, I have held Commissioner Patten in the highest regard on account of his open, unconventional approach. However, I feel that perhaps a few matters need to be cleared up.
Erstens: Ich bin der Kommission sehr dankbar für die Vorbereitung des Gipfels, denn dessen Verlauf hat gezeigt, daß er eine klare Aussage gegeben hat, und daß man sich nicht darum herumgedrückt hat.	Firstly, I am most grateful to the Commission for preparing the Summit, the outcome of which showed that it had made a clear statement and had not dodged the issue.
Die Türkei ist Kandidat.	Turkey is a candidate.
Für mich folgt aber daraus ganz eindeutig, daß sich die Türkei auch ab nun wie ein Kandidat zu verhalten hat, d. h., daß es entsprechende Änderungen geben muß.	As far as I am concerned, that means quite unequivocally that Turkey has to start behaving like a candidate; in other words, the necessary changes must be made.
Wie Kollege Oostlander gesagt hat, Europa hört dort auf, wo die Menschenrechte verletzt werden; zumindest weiß ich, was er gemeint hat.	As Mr Oostlander said, Europe stops where human rights violations begin; at least, I know what he meant.
Ich hoffe auch, daß außerhalb Europas die Menschenrechte akzeptiert werden.	I also trust that human rights are accepted outside Europe.
Aber der Umkehrschluß ist jedenfalls richtig.	But the reverse is of course true.
Ein Land kann nur dann zu diesem Europa der Europäischen Union gehören, wenn es die Menschenrechte akzeptiert.	A country can only belong to the Europe of the European Union if it accepts human rights.
Etwas anderes ist nicht möglich.	No other way forward is possible.
Die Türkei auf diesem Weg vorzubereiten, zu begleiten, ihr zu helfen, ist unsere Aufgabe.	Our task is to prepare, support and help Turkey along this path.
Aber wie wir zumindest in unseren Gesprächen mit all den Parteivorsitzenden und sonstigen Politikern der Türkei deutlich gemacht haben, die Arbeit muß die Türkei machen.	But we at least made clear in our discussions with all the party chairmen and other politicians in Turkey that Turkey has to do the work.
Die Veränderungen liegen im Interesse der Türkei selbst.	These changes are in Turkey' s own interest.
Sie mögen und sie werden hoffentlich mit Europa besser, rascher, durchgreifender funktionieren können.	They want and hopefully they will be able to function better, more quickly and more comprehensively with Europe.
Aber diese Arbeit können wir der Türkei nicht abnehmen.	But we cannot do the work for Turkey.
Ich meine, daß die Kommission jetzt ­ und ich hoffe, mit möglichst starker Beteiligung des Parlaments ­ sehr konkrete Jahresprogramme erstellen soll, die Hinweise darauf enthalten, wie die Türkei ihre Arbeit unternehmen kann, wie wir ihr helfen können.	I believe that the Commission should now draw up specific annual programmes - I hope with maximum input from Parliament - containing indications as to how Turkey can set about this work and how we can help.
Die Türkei muß klar sagen, im nächsten Jahr oder in zwei Jahren will sie die Todesstrafe abgeschafft haben. In diesem Zeitraum will sie die politischen Gefangenen freilassen.	Turkey must state clearly that it intends to abolish the death penalty next year or in two years' time and that it intends to release its political prisoners over this period and deal with the Kurdish question during this period.
In diesem Zeitraum will sie die Frage der Kurden behandeln. Es ist schon so, daß die Türkei bei diesen Gesprächen seit einigen Wochen und Monaten erstmals anerkennt, daß es eine Kurdenfrage gibt.	The fact is that Turkey has only acknowledged in discussions over recent weeks and months that there even is a Kurdish question.
Der Weg, wie sie diese Frage lösen will, ist ihr noch nicht ganz klar, den hat sie noch nicht erfaßt.	How it intends to solve this problem, it does not yet know, that is not yet understood.
Aber ich glaube, daß es bereits eine Reihe von Fortschritten gegeben hat.	But I believe that there has already been a great deal of progress.
Nach diesem Gipfel von Helsinki, der in dieser Frage sehr gut verlaufen ist, wo sich vor allem Griechenland in einer hervorragenden Weise verhalten hat und wo sich letztendlich auch die Türkei in einer vernünftigen Weise verhalten hat, ist die Arbeit nicht zu Ende.	The Helsinki Summit, at which Greece above all behaved in an exemplary manner and at which, in the end, Turkey too behaved in a reasonable manner, went very well on this question but the work is not yet finished.
In Wirklichkeit ist es der Anfang der Arbeit.	In fact it has only just begun.
Daß wir nun anfangen können zu arbeiten, das ist die gute Entscheidung von Helsinki.	The best decision to come out of Helsinki is that we are now able to start work.
