. – Herr Präsident, meine sehr geehrten Damen und Herren!	.
Herr Ratspräsident, Sie haben in Ihren Ausführungen darauf hingewiesen, dass Sie morgen in Hampton Court auch über die Terrorismusbekämpfung sprechen werden. Deshalb will ich beginnen, indem ich eine Bemerkung zum 7. Juli mache.	Mr President, ladies and gentlemen, the President of the Council mentioned in his speech that discussions at Hampton Court tomorrow will touch on the combating of terrorism, and so I want to start by saying something about 7 July.
Die Angriffe am 7. Juli in London waren Angriffe auf die europäische Zivilgesellschaft.	The 7 July attacks in London were attacks on European civil society.
Sie waren keine Angriffe auf das britische Volk alleine – das waren sie auch. Sie waren Angriffe auf uns alle.	They were attacks on the British people, but they were more than that; they were attacks on all of us.
Deshalb war Ihre Reaktion – nicht nur als britischer Premierminister, sondern auch als Ratspräsident – eine Reaktion im Namen von uns allen.	That is why your response – not only as the Prime Minister of the United Kingdom, but also as the President of the Council – was a response on behalf of us all.
Die Art und Weise, wie die Labour-Regierung reagiert hat, die angemessene Kombination aus Härte bei der öffentlichen Sicherheit und gleichzeitigem Dialog in der Bevölkerung war die richtige Antwort.	The Labour government’s response, with an appropriate combination of rigour in public security and dialogue with the people, was the right one.
Das ist einer der Erfolge der britischen Ratspräsidentschaft. Dafür will ich Ihnen danken!	It was one of the successes of the British Presidency of the Council, and one for which I want to thank you.
Aber, Herr Ratspräsident, wenn Sie morgen über das europäische Sozialmodell diskutieren, dann diskutieren Sie mit den Kolleginnen und Kollegen Staats- und Regierungschefs über ein Sozialmodell, das in Europa über fünfzig Jahre nach dem Zweiten Weltkrieg stufenweise entwickelt worden ist.	When, though, tomorrow, you discuss the European social model, you and the Heads of State or Government will be discussing a social model that has been developed progressively in Europe over a period of 50 years since the end of the Second World War.
Das Kernelement dieser Entwicklung bedeutete folgendes: Der ökonomische und technische Fortschritt wurde zum ersten Mal in der Wirtschaftsgeschichte konsequent an den sozialen Fortschritt gekoppelt.	At the heart of this development was the consistent coupling together, for the first time in economic history, of economic and technical advances with social progress.
Jede ökonomische und soziale Erweiterung ging mit mehr sozialen Rechten und mehr sozialer Stabilität einher.	All economic and social growth went hand in hand with more social rights and greater social stability.
Das ist das Erfolgsrezept des europäischen Sozialmodells.	That is the formula that has made the European social model such a success.
Nun gibt es aber immer mehr so genannte Ökonomen, auch in den Regierungen, die uns seit Jahren erzählen, dass die Grundvoraussetzung für mehr ökonomischen und sozialen Fortschritt die Zerstörung des sozialen Zusammenhalts sei, der Abbau von Löhnen, die Verlängerung von Arbeitszeiten, weniger Arbeitnehmer- und Gewerkschaftsrechte.	Now there are more and more so-called economists, even at governmental level, who have been telling us for years that further economic and social progress is conditional upon the destruction of social cohesion, with lower wages, longer working hours, and fewer rights for workers and trade unions.
Dazu sagen wir nein. Das zerstört das europäische Sozialmodell.	To that we say ‘no’, for it destroys the European social model.
Das ist der McCreevy-Kurs. Den schaffen Sie morgen bitte ab.	That is the path that Commissioner McCreevy has mapped out, and we ask you, tomorrow, to close it off.
Sie haben Recht, Herr Präsident: Der europäische Binnenmarkt und seine Entwicklung ist eine große Chance.	You are right to say, Mr President, that the European internal market and its development present us with a great opportunity.
Natürlich wollen wir die Freizügigkeit von Dienstleistungen, aber wir wollen nicht die Freizügigkeit von Sozialdumping in Europa.	Yes, of course, we want the free movement of services, but what we do not want is the free movement of social dumping in Europe.
Wenn das Herkunftslandprinzip als Mittel benutzt werden soll, die sozialen Standards zu zerschlagen, dann ist das nicht die Dienstleistungsrichtlinie, die wir wollen.	If the country of origin principle is to be used as a means of wrecking social standards, then that is not the services directive that we want to see.
Der Markt produziert vieles, aber eines produziert er nicht: Solidarität. Die müssen wir schon selbst schaffen, und vor allen Dingen müssen die Staaten sie schaffen.	The market produces many things, but solidarity is not one of them; that we have to create for ourselves, and it is above all a task for the states.
Wir hier im Europäischen Parlament müssen unseren Beitrag dazu leisten.	We, here in the European Parliament, must help them to do that.
Das erwarten auch Ihre Wählerinnen und Wähler von Ihnen.	That, too, is what those who elected you expect.
Nun hat der Kollege Poettering ja über vieles gesprochen, wenig aber über den Gipfel, der morgen bevorsteht.	While Mr Poettering has had something to say about a lot of things, he has not had much to say about the summit that awaits you tomorrow.
Ich habe für diesen Gipfel eine Bitte an Sie, Herr Ratspräsident: Sorgen Sie doch dafür, dass Folgendes auf diesem Gipfel in den Mittelpunkt der Perspektive gestellt wird, die die Kommission uns als Vorlage für den Gipfel gegeben hat, nämlich dass die Grundvoraussetzung für eine erfolgreiche Wirtschaft in Europa nicht die Zerstörung des gesellschaftlichen Zusammenhalts ist, sondern dass die Grundvoraussetzung für ein erfolgreiches Wirtschaften in Europa ist, dass Gewinne, die in Unternehmen gemacht werden, gut sind, weil Unternehmen dafür da sind, dass sie Gewinne machen, dass aber diejenigen, die die Gewinne erwirtschaften, nämlich die Arbeitnehmerinnen und Arbeitnehmer, von den Gewinnen profitieren und dass sie würdige Arbeitsplätze mit würdigen Einkommen, von denen sie ihre Familien ernähren können, behalten können.	With that summit in mind, Mr President of the Council, I have something to ask of you: it is that you should ensure that the summit focuses on what the Commission has given us as its theme, on the fact that the fundamental precondition for a successful economy in Europe is not the destruction of social cohesion, but rather the truth that the profits that businesses make are a good thing because that is what businesses are there for, but that those, namely the workers, whose labour earns the profits, must benefit from them and keep decent jobs with decent incomes, from which they can feed their families.
Wenn das das Ziel der Europäischen Union ist, dann, Herr Ratspräsident, haben Sie die Sozialdemokraten an Ihrer LabourSite.	If that is the goal of the European Union, Mr President of the Council, then we Social Democrats stand side by side with Labour.
