Nach meiner Meinung müssen wir über diesen Titley-Bericht heute kurz diskutieren.	I believe we should debate this Titley report briefly today.
Zunächst einmal möchte ich Herrn Titley und die Labour-Partei zu dem Machtwechsel gratulieren, den sie in Großbritannien erreicht haben.	First of all I must compliment Mr Titley and the British Labour Party on their election victory.
Zu diesem Erfolg meinen herzlichen Glückwunsch.	My warmest congratulations on that.
Was Herr Titley aber mit diesem Bericht versucht, ist ein Hauruck-Verfahren.	But Mr Titley is trying to rush things with this report of his.
Mit dem Bericht findet eine qualitative Änderung der EU-Außenpolitik statt.	It represents a qualitative change in EU foreign policy.
Über diese Änderung haben wir in den Fraktionen, jedenfalls in einigen Fraktionen, nicht genügend diskutieren können; insbesondere im Ausschuß haben wir nicht genügend diskutieren können.	We have not been able to discuss this change sufficiently in the groups, at least not in certain groups, and in particular there has not been enough discussion in committee.
Wir haben im Ausschuß mit 31: 30 darüber abgestimmt - wobei mir ein Kollege sagte, er wüßte nicht, worüber er abstimmt, sonst hätte er im nachhinein anders abgestimmt.	The committee vote was 31 to 30, though a colleague told me he did not know what he was voting for or, with the wisdom of hindsight, he would have voted differently.
Es stellt sich die Frage, ob wir angesichts von 240 Änderungsanträgen jetzt überhaupt abstimmen wollen.	The question, in view of 240 proposed amendments, is whether we ought to vote now at all?
Dieser Bericht ist unausgegoren, und die Positionen sind noch nicht klar.	This report is not entirely complete, and positions on its are not yet clear.
Von der Sozialistischen Fraktion weiß ich, wenn ich richtig informiert bin, daß sie erst morgen abend über die Änderungsanträge diskutieren wird.	If my information is correct, the Socialist Group will not be discussing the amendments until tomorrow evening.
In unserer Fraktion sind wir uns noch nicht einig, ebensowenig wie im Ausschuß.	In our Group, as in the committee, we have not yet reached agreement.
Mit Maastricht steht die Gemeinsame Außen- und Sicherheitspolitik auf der Tagesordnung.	The common foreign and security policy is on the agenda for Maastricht.
Herr Henderson als britischer Vertreter sagt jetzt etwas ganz anderes als der britische Vertreter letzten Monat.	Mr Henderson as the British representative is now saying things quite different from what the British representative said a month ago.
Wir sollten diesen Bericht um ein oder zwei Monate verschieben, bis wir die Ergebnisse von Maastricht II haben und uns dann als Parlament zu diesem Themenbereich eine eigene fundierte und gut ausdiskutierte Meinung bilden.	We should postpone this report for a month or two until we have the results of Maastricht II and Parliament has formed an opinion on these matters which is soundly based and has been thoroughly debated.
Deshalb haben wir diesen Antrag gestellt.	This is why we put down this request.
