Herr Präsident! Ich würde mich auch gerne den Glückwünschen anschließen.	Mr President, I too would like to join in the congratulations.
Ich möchte mich bei der Kommissarin bedanken, dass die Kommission diese thematische Strategie entwickelt hat, und möchte sie auch ermuntern, in dieser Frage fortzufahren, weil ich glaube, dass wir im Moment in Europa in einer Phase sind, in der wir uns Gedanken darüber machen müssen, ob die Abfallpolitik so weitergeführt werden kann, wie wir das bisher getan haben, oder ob wir nicht längst neue Erkenntnisse haben und nicht nur an irgendwelchen Schrauben drehen müssen, sondern hier und da vielleicht auch einen Systemwechsel vornehmen müssen.	I would like to thank Commissioner Wallström for the fact that the Commission developed this thematic strategy. I would also like to encourage her to pursue this issue because I believe that we are currently in a phase in Europe where we must consider whether the waste policy can be continued as we have done to date or if it is not the case that we have for a long time had new knowledge and must no longer just tighten up the loose screws, but rather perhaps here and there also change the system.
Deshalb ist die erste Regelung, die die Kommission aber auch wir im Parlament aufgegriffen haben, die, dass wir uns dringend um die Umsetzung von geltendem Recht in Europa kümmern müssen.	As a result, this is the first regulation – that both the Commission and Parliament have had to address – that makes it urgently necessary that we look at the transposal of the law in force in Europe.
Die Umsetzung zum Beispiel bei der Deponierichtlinie ist – milde gesagt – miserabel.	For example, the implementation of the landfill directive is abysmal, to say the least.
Einige Länder übertreiben es, aber einige Länder machen auch gar nichts in diesem Bereich.	Some countries go over the top but some are not doing anything in this area.
Deshalb, glaube ich, müssen wir hier neben einem hohen Schutzniveau auch auf die Umsetzung solcher Dinge achten.	This is why I believe that, alongside a high level of protection, we must also pay attention here to the transposal of such things.
Das zweite, was mir sehr am Herzen liegt, ist, dass wir im Abfallbereich und im Recyclingbereich darauf achten, dass parallel laufende Verordnungen oder Papiere, wie zum Beispiel REACH, IVO, aber auch integrierte Produktpolitik und die Ressourcenstrategie – die jetzt hätte mit debattiert werden müssen – mit diesem Bericht kompatibel sind.	The second thing that is very dear to me is that we ensure, in the areas of waste and recycling, that the instruments and regulations that run in parallel, such as for example REACH and IVO, as well as other product policies and the resource strategies – that we should have also included in the debate now – are compatible with this report.
Ansonsten, denke ich, würde hier ein Leck entstehen und würden sich Schlupflöcher auftun, die wir gar nicht wollen.	Otherwise, I think the legislation will not be watertight and loopholes will open up; that we really do not want.
Der Ansatz der Kommission, eine nachhaltige Abfallbewirtschaftung mit gleichberechtigten Parametern, nämlich Ökologie, Ökonomie und Soziales, also nachhaltige Politik, zu entwickeln, wird von uns sehr begrüßt.	We warmly welcome the Commission’s approach, which involves developing sustainable waste management whilst giving equal value to the environmental, economic and social aspects and, therefore, to develop sustainable policies.
Wir sind ebenso der Auffassung, dass die gesamten Lebenszyklen von Ressourcen, aber auch von Abfallpolitik zusammen betrachtet werden müssen; nicht nur ein Teil, sondern der gesamte Lebenszyklus muss berücksichtigt werden.	We also believe that the entire lifecycle of resources and waste policy too must be considered together; not just a part, but the entire lifecycle must be taken into consideration.
Den Ansatz, Frau Kommissarin, Kosten- und Nutzenanalysen aufzustellen, kann ich nur ausdrücklich unterstreichen.	Commissioner Wallström, I must give my particular support to the approach to set up cost-benefit analyses.
Denn ansonsten, glaube ich, werden wir dem Standort Europa keinen Gefallen tun.	Without them, I believe that we would be doing Europe no favours as a location for industry.
Die nachhaltige Kombination in der Abfallhierarchie will ich überhaupt nicht in Frage stellen. Aber wir müssen diese Abfallhierarchie auch einer gewissen Transparenz und Flexibilität unterziehen, denn die Vermeidung, die Wiederverwendung, das Recyceln, die energetische Verwertung und die umweltfreundliche Beseitigung von Abfällen, das sind alte und auch durchaus bewährte Instrumente.	I do not want to question the sustainable combination within the waste hierarchy at all, but we must subject this waste hierarchy to a certain degree of transparency and flexibility since prevention, reuse, recycling, energy recovery and environment-friendly waste disposal are the tried and completely trusted instruments.
Auch die Reihenfolge ist richtig. Aber die Flexibilität, die wir eigentlich hier brauchen, möchte ich nochmals ausdrücklich herausstellen.	The order is also right, but I would once again like to expressly point out the flexibility that we actually need here.
Der Ausschuss für Umweltfragen, Volksgesundheit und Verbraucherpolitik hat sich dann eindeutig mit den Fragen auseinandergesetzt, an welcher Stelle mehr Harmonisierungsvorschläge gemacht werden müssen, und wo schon vorhandene Regelungen bei der Implementierung tatsächlich umgesetzt werden müssen.	The Committee on the Environment, Public Health and Consumer Policy clearly dealt with the issues where more proposals for harmonisation must be made, and where existing regulations must actually be implemented.
Ich freue mich sehr, dass auch Verwertungsanlagen in Zukunft gewisse Regeln und Systemvorstellungen bekommen, dass auch bei Verwertungsanlagen nicht der eine dieses und der andere jenes meint.	I am extremely pleased that there will in future also be certain rules and systems concepts for recovery facilities, so that one person does not think one thing and someone else another as regards recovery facilities.
Ich hoffe, dass der Ausschuss und die Kommission mit mir einverstanden sind, dass die Wettbewerbsfähigkeit von Sekundärrohstoffen ebenso wie bei den Primärrohstoffen gewährleistet werden muss.	I hope that the committee and the Commission agree with me that the competitiveness of secondary raw materials as well as of primary raw materials must be guaranteed.
Ich glaube, dass hier auch noch Hilfe von außen notwendig ist, wahrscheinlich aus dem fiskalischen Bereich, damit sich bei den Sekundärrohstoffen ein geeigneter und vor allem kontinuierlicher Fluss für die verarbeitende Industrie entwickelt.	I think that help from outside is also necessary, probably from the area of taxation, in order to develop an adequate and above all a continual flow of secondary raw materials for the manufacturing industry.
Ein schwieriges Thema ist die Frage der Deponierichtlinie. Wir beschäftigen uns mit den grünen Freunden damit, ob wir hier eine Deponiesteuer einführen.	The issue of the landfill directive is a difficult one and, together with environmentalists, we are looking into whether or not to bring in a landfill tax.
Ich halte davon gar nichts, das macht den Standort Europa nur teurer.	I do not think much of this idea at all, as it makes Europe more expensive as an industrial location.
Ich halte aber sehr viel davon, dass endlich die Standards für Deponien auf eine vergleichbare Ebene kommen.	I do, however, believe in ultimately raising landfill standards to a level where they can be compared.
