Herr Präsident, Herr Kommissar!	.
Frauen- und Menschenhandel ist – vergleicht man ihn mit Statistiken und den Anforderungen im Tierhandel – ein Tabuthema. Der Mensch scheint im Vergleich zu den Tieren nicht so wertvoll zu sein.	Mr President, Commissioner, if one makes a comparison with the statistics and requirements relating to the trading of animals, then the trafficking of human beings, and of women in particular, is a taboo subject.
Dabei steigt die Anzahl der Frauen und Kinder, die jährlich gehandelt werden, enorm. Es gibt keine fixen Statistiken und Zahlen, die Schätzungen schwanken zwischen 800 000 und 3-4 Millionen Frauen und Kinder pro Jahr.	Human beings appear to be less valuable than animals, and every year sees an enormous increase in the number of women and children who are trafficked; in the absence of solid statistics and figures, estimates range between 800 000 and 3-4 million women and children every year.
Das ist eine Zahl, die uns wachrütteln und uns klarmachen müsste, dass Maßnahmen notwendig sind.	Figures of that order really should shake us out of our somnolence and bring us face to face with the need for action.
Die organisierte Kriminalität ist im Steigen begriffen, Händlerringe werden in ihren Techniken und Routen immer flexibler.	Organised crime is on the rise, and trafficking rings are becoming ever more flexible in the methods and routes they use.
Die Nachfrage steigt. Der Markt boomt.	Demand is on the up; the market is booming.
Frauenhandel ist ein Verbrechen und eine moderne Form der Sklaverei.	Trafficking in women is a crime and a modern form of slavery.
Für sie sind eine verstärkte strafrechtliche Ermittlung und Verfolgung, Betreuung und Unterstützung von Opfern sowie Präventivmaßnahmen notwendig.	It demands more rigorous investigation and prosecution of the criminals concerned, care and support for their victims, and preventive action too.
Wir brauchen ein ganzheitliches, integriertes und interdisziplinäres Vorgehen auf EU- und internationaler Ebene.	Both within the EU and internationally, what is needed is a holistic, integrated and inter-disciplinary approach.
Ganzheitlich, weil beim Kampf gegen den Menschenhandel das Dreiecksverhältnis von Opfer, Kunde und Händler beleuchtet werden muss.	It needs to be holistic, because, in combating the trafficking in human beings, light needs to be shed on the triangular relationship between the victim, the client and the dealer.
Dabei dürfen auch die Schlepper, Zuhälter, Mittelsmänner und alle einschlägigen Einrichtungen sowie diejenigen, die davon profitieren, auf keinen Fall vergessen werden.	Nor, under any circumstances, must the people-smugglers, the pimps, the middlemen and all the places where the business is done, not to mention those who profit from them, be overlooked.
Oberstes Ziel muss es sein, die vordergründigsten Faktoren wie Feminisierung der Armut, die hohe Arbeitslosenrate, das Wohlstandsgefälle und das hohe Gewaltpotenzial einzudämmen.	The primary objective must be to address the most blatant aspects of the problem, such as the increasing impact of poverty on women, high unemployment and wealth differentials, and to reduce the considerable potential for violence.
Daher stehen in diesem Bericht konkrete Forderungen, wie z. B.: Die Prävention und die Maßnahmen gegen den Menschenhandel müssen auf EU-Ebene im Rahmen der EU-Nachbarschaftspolitik, -Entwicklungspolitik, -Außenpolitik und vielen anderen möglichen, horizontalen Politikbereichen eingesetzt werden.	It is for this reason that this report makes concrete demands, among other things for action to prevent and counteract people-trafficking to be implemented across the EU as part of its Neighbourhood Policy, its development policy, its foreign policy and of many other potential horizontal policy areas.
Auch die EU-Förderpolitik muss sich verstärkt auf die Reduzierung der Armut und somit indirekt auf den Menschenhandel konzentrieren. Es gilt aber auch, die Förderpolitik der Weltbank und anderer großer Institutionen zu analysieren und zu prüfen, ob die Gelder auch wirklich diejenigen erreichen, die sie brauchen, und ob sie nicht das Gegenteil bewirken.	The EU’s aid policy, too, must focus more on the reduction of poverty and hence have an indirect impact on the people trade, but there is also a need for the aid policies of the World Bank and of other big institutions to be analysed and examined with a view to finding out whether the money really does reach the people who need it, and whether it might not be doing the opposite of what it is intended to do.
Denn wir wissen, dass die internationale Entwicklungspolitik nicht immer die Armut verringert, sondern sogar dazu beitragen kann, dass gefährdete Gruppen weiter marginalisiert werden.	We know, after all, that international development policy does not reduce poverty, but can even contribute to the further marginalisation of groups at risk.
Eine große Lücke ist das Fehlen einer Datenbank. Wir brauchen daher ein einheitliches Datenerfassungssystem, das von der Europäischen Kommission gemeinsam mit anderen internationalen Organisationen ausgearbeitet werden soll.	One great deficiency is the absence of a database, so what is needed is a unitary data collection system, and the Commission needs to work together with other international organisations to develop one.
Nur mit gleichen Vorgehensweisen bei der Befragung kommen wir auch zu gleichen Resultaten.	The only way we will get the same results from inquiries is to tackle them in the same way.
Wir brauchen Informationskampagnen in den Ursprungs- und Transitländern. Ein pro Jahr mit einem Logo, das sichtbar macht, wie groß die Probleme sind, wäre ebenfalls notwendig.	There is also a need for information campaigns in the countries of origin and of transit, along with an annual ‘Anti-trafficking Day’ with a logo making visible the enormity of the problems involved.
Die Europäische Union, das heißt die Mitgliedstaaten, sollten folgende Maßnahmen setzen: Ausbildungsoffensiven – besonders im Umgang mit Opfern – in den vorhandenen Strukturen wie Polizeischulen, Sozialakademien, bei den juristischen Ausbildungen und dergleichen mehr. Und verstärkte Kooperation mit NRO und der Exekutive.	The European Union needs – by which I mean that the Member States need – to take action, action in the form of information campaigns aimed in particular at the victims, but also in the existing structures, such as the establishments where police officers, social workers and the judiciary are trained and in similar places, along with more cooperation with NGOs and the executive.
Dafür brauchen wir auch eine finanzielle und personelle Ausstattung von Strafverfolgungsbehörden sowie von Beratungsstellen für Frauenhandel.	For this, the prosecuting authorities will need staff and funding allocated to them, and information offices on the trade in women will need to be set up.
Es müssen nationale und internationale Telefon- eingerichtet werden, die über nationales und lokales Fernsehen öffentlich gemacht werden sollen.	National and international telephone helplines need to be set up and publicised on national and local television.
Auch die bestehenden Visa-Praktiken sind zu überprüfen ebenso wie die diplomatischen Netze, in denen so manches vorkommt.	There need to be reviews not only of current visa practices but also of the many things that happen through diplomatic networks.
Besonders dringend fordern wir eine Aufenthaltsgenehmigung für die Opfer – nicht nur während, sondern auch nach Abschluss eines Prozesses.	It is as a particular matter of urgency that we urge that victims be given the right to remain not only for the duration of a trial, but also after it is over.
Die Aussage eines Opfers kann nämlich erheblich dazu beitragen, die Täter zu identifizieren. Wir wissen, dass viele aus Angst vor der Schande und auch aus Angst davor, abgeschoben zu werden, nicht bereit sind, auszusagen.	The fact is that a victim’s testimony can help considerably to identify criminals, and we know that many victims are unwilling to testify out of fear, not only of public shame, but also of deportation.
Hier müssen wir umdenken.	Something of a rethink is called for here.
Außerdem wäre es notwendig, anonyme Aussagen von Opfern und auch von Freiern zu akzeptieren, um den Tätern auf die Spur zu kommen.	Anonymous statements by victims and clients also need to be accepted if the perpetrators of these crimes are to be hunted down.
Auf der Nachfrageseite müssen Sensibilisierungsaktionen gestartet werden, um das Bewusstsein dafür zu wecken, um welch katastrophale Auswüchse es sich hier handelt. Ich würde mir auch anonyme für Freier wünschen, damit sie mehr aussagen.	Campaigns will need to be started to make those who provide the demand for these services aware of the catastrophic consequences of this trade, and I would also like to see anonymous hotlines for clients as well, in order to get more evidence from them.
Ich bin aber gegen eine generelle Kriminalisierung der Freier, und es war mir in diesem Bericht ein großes Anliegen, die Frage der nationalen Gesetzgebungen bezüglich Prostitution nicht in den Mittelpunkt des Berichts zu stellen und somit ein globales Problem nicht den nationalen Unterschieden zu opfern.	I am not, however, in favour of the clients being criminalised across the board, and I have, in this report, endeavoured to avoid focusing on national legislation on prostitution and thereby sacrificing a global problem to national differences.
Ich möchte auch erwähnen, dass erst kürzlich das Internationale Komitee für die Rechte von Sexarbeiterinnen EU-weite soziale Rechte und die Legalisierung gefordert hat.	I would also like to mention that the International Committee for the Rights of Sex Workers recently demanded social security rights and legalisation across the EU.
Zum Kinderhandel noch eine konkrete Aufforderung: Es kommt von Fall zu Fall vor, dass Identitätskarten von Kindern von korrupten Zöllnern zurückbehalten werden.	Another specific demand has to do with the trafficking in children: it appears that, in some cases, corrupt customs officials retain children’s identity cards.
In Belgien sind die Identitätskarten für Kinder nicht nummeriert. Sie werden zurückbehalten und dann für den Kinderhandel verwendet.	Belgian identity cards for children are not numbered; they are retained and used for child-trafficking.
Ich möchte anregen, hier eine Nummerierung einzuführen.	I would suggest that a numbering system for them be introduced.
Wir haben also viel zu tun, um gegen den Menschenhandel aufzutreten, und müssen uns bewusst werden, dass sich die Katastrophen vor unserer Tür abspielen.	As you can see, there is much for us to do in contending with the trafficking in human beings, and we have to be aware that these tragedies are being played out on our doorsteps.
