Herr Präsident, verehrte Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Ich möchte für die Fraktion der Grünen nach Artikel 129 die Rücküberweisung an den Ausschuß beantragen mit folgender Begründung: Wir haben eben den Änderungsantrag Nr. 22 von der Fraktion der Grünen angenommen.	On behalf of the Greens I should like to move referral back to Committee under Rule 129, on the following grounds: we have just accepted Amendment No 22 by the Green Party.
Darin wird ausgedrückt, daß wir in keinem Fall eine hundertprozentige Förderung wollen.	In this we say that under no circumstances do we want a 100 % subsidy.
Gestern hat Herr Fischler im Vorgriff auf diese Abstimmung gesagt, daß er diese hundertprozentige Rücknahme nicht akzeptiert und daß er darauf besteht.	Yesterday Mr Fischler, in anticipation of this vote, said he would not accept the 100 % withdrawal, and that he insisted on it.
Nun ist aber das Interessante, daß die Verkaufsförderung, um die es uns und auch der Berichterstatterin geht, nur mit 60 und 80 % gefördert wird.	Now we come to the interesting bit, where the sales subsidies, which is what concerns the rapporteur and ourselves, will only be 60 % and 80 %.
Das, was mit 100 % gefördert wird, ist die technische Einführung, also die Logistik der Einführung der Etikettierung in der Industrie.	The 100 % subsidy is for the technical introduction, in other words, the logistics of introducing labelling into the industry.
Für diese Kategorie sind 100 % vorgesehen.	100 % is proposed for this category.
Nun hat die Kommission dies nicht vorn in den Artikel geschrieben, sondern hat es ausschließlich im Finanzbogen untergebracht.	Now, the Commission did not put this into the main part of the article, but included it exclusively in the financial section.
Hier stehen dann die 100 %, die von uns überhaupt nicht zu verändern sind.	So the 100 %, which we cannot do anything to change, is included there.
Ich habe gestern noch mit Herrn Fischler gesprochen.	I spoke to Mr Fischler again yesterday.
Er hat deutlich gemacht, daß hier wohl eine Informationslücke in der Kommission vorliegt, daß sie dies nicht beabsichtigt.	He made it clear that there had been a lapse in the information chain within the Commission, and that they had not intended this.
Folglich werden wir zurücküberweisen müssen, damit die Überlegungen in der Kommision in die richtige Richtung gehen und sie unseren Vorschlägen folgt.	So we need to refer this report back, so that the Commission can correct its line and follow our suggestions.
Ich bitte darum, daß die Kolleginnen und Kollegen unserem Antrag zustimmen.	I urge Members to support referral back.
