Herr Präsident, verehrte Kolleginnen und Kollegen! Ich möchte mich auf drei Punkte konzentrieren.	Mr President, ladies and gentlemen, I should like to concentrate on three points.
Erstens ist natürlich das Vertrauensverhältnis zwischen vielen Mitgliedern dieses Parlaments und der Kommission angeschlagen.	Firstly, of course, the relationship of trust between many Members of the House and the Commission has been shattered.
Aber das wichtigste muß sein, daß aus diesem ganzen Skandal wirklich politische Konsequenzen gezogen werden, daß Reformen eingeleitet werden.	However, the most important thing has to be that political conclusions are actually drawn from this whole scandal, that reforms are introduced.
Da möchte ich den Landwirtschaftskommissar Fischler ganz persönlich ansprechen.	Here I would like to address Mr Fischler personally as the Agriculture Commissioner.
Ich habe manchmal den Eindruck, daß Sie ein bißchen in einer geschützten Position sind, weil es kein Mißtrauensvotum gegen einzelne Mitglieder der Kommission gibt.	I sometimes have the impression that you are in a rather protected position, because there is no vote of censure on individual Members of the Commission.
Aber gerade Sie werden daran gemessen werden, ob Sie nun zwei Dinge erfüllen.	But you will be judged on whether you do two things now.
Das ist mein zweiter und dritter Punkt.	And these are my second and third points.
Es geht nicht an, daß ein Land, eine Regierung einen Riesenschaden verursacht und dafür nicht zahlen muß.	It will not do for a country or a government to cause enormous damage and then not to have to pay for it.
Es ist viel Geld zur Schadensbehebung geflossen.	A great deal of money has been spent on repairing the damage.
Das muß - wenn es sein muß, auch mit einer Klage beim Europäischen Gerichtshof -zurückgeholt werden.	This must be retrieved - if necessary through an action before the European Court of Justice.
Das ist ganz wichtig.	That is very important.
Es gibt noch einen weiteren Punkt, auf den Sie sich konzentrieren sollten - Präsident Santer hat es auch in seiner Rede gesagt: Der Hauptfehler dieser Entwicklung war eine falsche Landwirtschaftspolitik.	And there is another point on which you should be focusing, as Mr Santer also said in his speech: the principal mistake in this series of events was a misguided agricultural policy.
Und Sie, Herr Fischler, sind dafür verantwortlich, daß hier eine Umkehr stattfindet, weg von der industriellen Landwirtschaftspolitik, hin zu einer ökologischen Politik.	And you are responsible, Mr Fischler, for seeing that a change takes place here, a move away from an industrial agricultural policy and towards an ecological policy.
Daran werden Sie gemessen werden, daran werden wir die Vertrauensfrage knüpfen!	You will be judged on that basis, and we shall link the question of censure to that point.
