Herr Präsident, Frau Kommissarin! Es stimmt schon, dass es sehr spät ist und wenig Leute da sind.	Mr President, Commissioner, I know it is very late and not a lot of people are here.
Aber, Herr Kollege, das sollte Sie nicht überraschen.	That should be no surprise to you, however.
Dies ist, Gott sei Dank, nicht nur in Kultur- und Bildungsangelegenheiten so, sondern auch in vielen anderen Bereichen.	It happens not only, thank heavens, where cultural and educational matters are concerned but also in many other areas.
Ich denke allerdings - und Sie haben es schon gesagt -, dass die Qualität für sich spricht.	I think, though, that, as you yourself have already said, quality speaks for itself.
Sie haben Ihren Bericht und Ihre Abänderungsanträge selbst kurz erläutert.	You have briefly commented upon your report and your amendments yourself.
Ich bin Österreicherin und weiß aus Erfahrung, dass man in Österreich sehr wohl zu allen Studiengängen und Universitäten Zugang hat.	I am an Austrian and know from experience that, in Austria, there is very good access to all universities and courses of study.
Wir haben auch kein ethnisches Problem, das möchte ich noch klarstellen.	I should also like to make it clear that we have no problem giving ethnic minorities access to these, either.
Wir liegen da sicher nicht hinter England, beziehungsweise Großbritannien.	We certainly do not lag behind England, or Great Britain, in that area.
Ich möchte zu dem Erasmus-Programm sagen, das ja ein Teil des Sokrates-Programms ist, dass es ganz wichtig ist - und es zeigt sich, dass man nicht nur ein Programm erstellen sollte, sondern dass auch Evaluierungen notwendig sind -, die Effizienz der Angebote zu hinterfragen und eine Bewertung der Ressourcen vorzunehmen, um daraus neue Kenntnisse gewinnen und vor allen Dingen die Mängel beheben zu können.	On the subject of the Erasmus programme, which is, after all, a part of the Socrates programme, I should like to say that - given the need not only to set up the programme but also to evaluate it - it is quite important to examine the efficiency of what is being offered and to carry out an assessment of the resources, if new knowledge is to be obtained and, above all, the defects in the programme removed.
Es wurde schon gesagt, dass diese Erkenntnis leider nicht mehr in das Sokrates II-Programm einfließen wird.	It has already been said that new knowledge of this kind will unfortunately not have any impact upon the Socrates II programme.
Ich denke, wir hätten hier aktualisieren können, denn immerhin kommen 40 % des Sokrates-Budgets doch dem Erasmus-Programm, also den Studierenden an den europäischen Hochschulen zu.	I think we could have done to update things in this area, since 40% of the Socrates budget is, after all, being allocated to the Erasmus programme and, in that way, to students at European universities.
Ziel war und ist es, 10 % der Studierenden ein Fachstudium in einem anderen Mitgliedstaat zu ermöglichen.	It was, and remains, the goal to make it possible for 10% of students to spend a part of their degree courses in other Member States.
Leider war im ersten Jahr nur 1 % zu erreichen.	Unfortunately, a figure of only 1% was achieved in the first year.
Die Beteiligungsquote ist gestiegen. Wir liegen jetzt bei knapp 50 %.	The participation rate has risen and is now just under 50% of the figure aimed at.
Der Bericht hat gezeigt, dass die Hintergründe dafür sowohl strukturell und kulturell, als auch ganz wesentlich wirtschaftlich begründet sind.	The report has shown that the reasons for this are both structural and cultural, as well as economic to quite a significant degree.
Bisher ist es nicht gelungen, sozioökonomisch schwache Gruppen besonders zu fördern, wie es auch im Sokrates-Programm niedergeschrieben ist.	So far, there has been no success in complying with what is also laid down in the Socrates programme and giving a special boost to groups that are weak in socio-economic terms.
Das Programm wird vielmehr im Gegenteil von Studierenden genutzt, deren Eltern sowohl über ein hohes Ausbildungsniveau als auch über ein entsprechendes Einkommen verfügen.	On the contrary, the programme is instead used by students whose parents have both a high level of education and a corresponding level of income.
57 % der Erasmus-Studenten hatten erhebliche Schwierigkeiten, ihren Auslandsaufenthalt zu finanzieren.	Fifty-seven percent of Erasmus students had considerable difficulties financing their stay abroad.
Ich denke, dass es notwendig ist, eine Koordinierung mit den Erasmus-Stipendien, mit den Ländern und mit den Hochschulen durchzuführen, um eine Reform durchzuführen, eine Informationskampagne zu starten, um aufzuklären und zu hinterfragen, warum nur so wenige an diesem Programm teilnehmen können.	I think there needs to be coordination between the Erasmus scholarships and the countries and the universities concerned. In that way, reform can be implemented and an information campaign launched in order to question, and shed some light upon, why so few people are able to participate in this programme.
Vor allem geht es darum, die Chancengleichheit in allen Ländern zu bewahren.	Above all, it is a question of preserving equality of opportunity in all countries.
Dafür lohnt es sich, sich einzusetzen.	That is why it is worth showing some commitment.
Ich denke, dass das Eröffnen der gleichen Chancen für junge Menschen ganz wichtig für uns alle ist!	I think that making equal opportunities available to young people is quite important for us all.
