Herr Präsident, viele Wege führen zum GAU.	Mr President, many roads lead to the MCA - the maximum credible accident.
Haben wir, so wie wir mit dem Unglück und dem Desaster bislang umgegangen sind, etwa Lehren daraus gezogen, trotz des erkennbaren Unglücks?	For all our dealings with accidents and disaster, is it perhaps the case that, despite the misery they have caused, we have yet to learn our lesson from them?
Tausende, Hunderttausende von Kindern sind krank oder kommen behindert zur Welt, und die Rate steigt.	Thousands, indeed hundreds of thousands, of children are ill or have been born handicapped, and the rate is increasing.
Obwohl Landstriche von der Größe der Niederlande verseucht sind, haben wir die Zeit unnütz verstreichen lassen.	Although areas of land the size of the Netherlands are contaminated, we have allowed time to elapse without taking action.
Die RBMK-Reaktoren, die VVER-Reaktoren sind und bleiben Schrotthaufen, da hilft keine Nachrüstung!	The RBMK and VVER reactors are scrap heaps and will remain so, and retrofits will do nothing to alter that!
Es fehlen Notkühlsysteme, es fehlen Brandschutzvorrichtungen, und es ist auch wenig hilfreich, wenn die Betreiber beispielsweise sagen, sie hätten gute Feuerwehren.	They have no emergency cooling systems and no fire-prevention mechanisms, and it is of very little use, for instance, when the operators say that they have good firefighting teams.
Es fehlen Betriebshandbücher.	There is a lack of instruction manuals.
Die Sicherheitsvorkehrungen vor Ort sind wirklich minimal.	Safety precautions on site are absolutely minimal.
Aus den Programmen PHARE und TACIS sind allein schon 550 Mio. ECU da reingesteckt worden.	The sum of ECU 550 million has already been pumped in from the PHARE and TACIS programmes.
Was hatten wir davon? 90 % der Mittel sind erst einmal für Sicherheitsstudien in das westliche Europa zurückgewandert.	What do we have to show for it? First of all, 90 % of the funds have been disbursed in western Europe on safety studies.
Genaugenommen war es ein Türöffner für neue Märkte.	Strictly speaking, the object of the exercise has been to open the door to new markets.
Wir haben nicht mehr Sicherheit vor Ort bekommen.	We have not achieved any more security at these sites.
Davon kann wirklich keine Rede sein!	There can surely be no question of that.
Es ist keine Risikominderung, sondern eine Risikoverlängerung eingetreten.	What has occurred is not a reduction but rather a prolongation of the risk.
Dies muß unbestritten bleiben.	That has to be acknowledged once and for all.
Wir sind kategorisch dagegen, daß zwei Reaktoren fertig gebaut werden sollen, die schon jetzt in einem absolut desolaten Zustand sind, die nicht fertig zu bauen sind.	We are categorically opposed to the completion of two reactors which are already in an absolutely desolate condition and cannot be properly completed.
Für 6 Mrd. Dollar bekämen wir neue Heizkraftwerke, die gleichzeitig Strom erzeugen, und zwar mit einer Leistung von 10.000 Megawatt.	For six billion dollars we could have new cogeneration plants, generating both heat and power, with an output of 10 000 megawatts.
Stattdessen wird da Geld rausgeschmissen, damit einige Firmen wieder etwas verdienen!	Instead of that, money is being squandered so that some companies can earn more profits.
Dies ist skandalös, nicht hinnehmbar und eine Schande für uns!	It is scandalous, unacceptable and a disgrace to the European Union.
Ich will eines noch dazu anmerken: Wir haben in Westeuropa viele Reaktoren, die auch nicht besser sind.	Let me say one more thing. In western Europe we have many reactors that are no better than those.
Wenn wir hier weiter politisch so arbeiten, kommt der nächste GAU genauso schnell wie das Amen in der Kirche!	If we continue to pursue the same policies here, the next MCA will come along as swiftly and surely as night follows day!
