Herr Präsident, für viele Menschen scheint es, als sei Vietnam sehr weit weg.	Mr President, for many people, Vietnam would appear to be a long way away.
Aber hier sitzt beispielsweise der Kollege Mayer, Vertreter Niederbayerns, einer der großen Aufsteigerregionen im Herzen Europas.	But here, for example, sits Mr Mayer, who represents Lower Bavaria, one of the most upwardly mobile regions at the heart of Europe.
Man könnte sagen, Niederbayern grenzt an Vietnam, denn wenn man von Niederbayern über die tschechische Grenze nach Böhmen geht, sieht man die großen Vietnamesen-Märkte mit allen Folgen, die diese im Grenzland haben.	One might even say that Lower Bavaria borders on Vietnam, because if you go from Lower Bavaria across the Czech border to Bohemia, you will see huge Vietnamese markets, with all that this implies in the border area.
Dies zeigt, wie viele Fluchtwellen es in den letzten dreißig Jahren aus Vietnam nach Mitteleuropa und nach Europa gegeben hat, und es zeigt, wie klein unsere Welt geworden und wie eng alles zusammenhängt.	This shows how many waves of refugees have left Vietnam for central Europe and Europe as a whole over the last thirty years and it shows how small the world has become and how closely everything hangs together.
Während der letzten Plenartagung hielt Herr Modrow von der PDS eine Rede über die großen Verbrechen des 20. Jahrhunderts in Asien. Er sprach dabei von Deutschland, von den USA und von Japan.	During the last plenary session, Mr Modrow of the Social Democrat Party spoke about the huge crimes committed in Asia in the twentieth century by Germany, the USA and Japan.
Aber er hat anscheinend völlig vergessen, dass die größten Verbrechen des 20. Jahrhunderts in Asien von Kommunisten verübt wurden, nämlich von den Roten Khmer, nämlich von Stalin, Lenin im Osten der Sowjetunion, in China und nicht zuletzt auch in Vietnam, wo auch nach dem grausamen Vietnamkrieg jahrzehntelang Menschen verfolgt wurden und auch heute noch verfolgt werden.	He apparently completely forgot, however, that the worst crimes in Asia in the twentieth century were committed by Communists, namely the Khmer Rouge, namely Stalin and Lenin in the east of the Soviet Union, in China and, last but not least, in Vietnam, where people were persecuted for decades after the horrific Vietnam War and still are persecuted.
Vietnam ist ein kommunistisches Land, in dem die Religionsfreiheit nach wie vor mit Füßen getreten wird.	Vietnam is a Communist country in which religious freedom continues to be trampled underfoot.
Wir sind für Kontakte mit Vietnam, und wir sind für Wirtschaftskontakte mit Südost-Asien.	We are in favour of contacts with Vietnam and we are in favour of economic contact with south-east Asia.
Aber wir sind der Ansicht, dass wirtschaftliche Zusammenarbeit nur dann eine Basis hat, wenn diese Basis Rechtsstaatlichkeit und Demokratie sind.	We take the view, however, that the only basis for economic collaboration is the rule of law and democracy.
Vietnam ist weder rechtsstaatlich noch demokratisch.	Neither the rule of law nor democracy exist in Vietnam.
Wir müssen den Reformprozess dort, der noch kaum in Gang gekommen ist, massiv unterstützen, indem wir ganz klar sagen, die Religions- und die Gewissensfreiheit, die Freiheit der Buddhisten, Katholiken, Protestanten dort, die brutal verfolgt und inhaftiert werden, ist für uns der Gradmesser unserer Zusammenarbeit mit diesem Land.	We must give massive support to the process of reform in Vietnam, which is still in its infancy, by saying quite categorically that freedom of religion and conscience, freedom for the Buddhists, Catholics and Protestants who are brutally persecuted and imprisoned there, is our yardstick for collaboration with this country.
Nur wenn Religionsfreiheit gewährt wird, und nur wenn diese Standards eingehalten werden, kann Vietnam für uns zum Partner werden.	Only when religious freedom is granted and only when these standards are applied can Vietnam become a partner for us.
