Als erstes möchte ich Herrn Perry zu seinem ausgezeichneten Bericht beglückwünschen.	First of all I should like to congratulate Mr Perry on his excellent report.
Dieser Jahresbericht ist - auch in der Art, wie er gemacht ist - Zeichen und Ausdruck der guten Zusammenarbeit, die wir fraktionsübergreifend in diesem Ausschuß praktizieren.	This annual report, and the way in which it has been drawn up, are a sign and expression of the excellent cooperation, above all party-political considerations, that characterizes our work on this committee.
Seit zehn Jahren besteht der Petitionsausschuß im Europäischen Parlament, und in dieser Zeit wurden etwa 10.000 Petitionen von etwa 10 Milliarden Unterzeichnerinnen und Unterzeichnern eingereicht.	The Committee on Petitions has been in existence for ten years now, and during that time it has received about 10, 000 petitions with about 10 billion signatures.
Mit Fug und Recht können wir behaupten, daß der Petitionsausschuß die Verbindung zwischen den EU-Bürgerinnen und Bürgern und den Institutionen darstellt.	We can quite rightly claim that the Committee on Petitions forms the link between the citizens of the EU and its institutions.
Die Menschen in der Europäischen Union wenden sich mit ihren Sorgen, ihren negativen Erfahrungen und ihren Wünschen an den Petitionsausschuß.	The people of the European Union come to the Committee on Petitions with their concerns, their negative experiences and their desires.
Oft können wir weiterhelfen, Probleme lösen, oft sind uns aber die Hände gebunden, weil, auch wenn europäische Betroffenheit da ist, die Rechtsgrundlage zum Handeln fehlt.	Often we are able to help them solve their problems, but often our hands are tied because, even when there is European involvement, the legal basis needed in order to take action is lacking.
Die Angelegenheit stellt sich zum Schluß dann doch immer als nationales Problem heraus.	In that case, the matter turns out to be a national problem after all.
Manchmal wird die Einrichtung des Petitionsausschusses aber auch völlig mißverstanden.	Sometimes, however, the Committee on Petitions, as an institution, is completely misunderstood.
Wir werden sozusagen als die höchste Instanz angesehen, frei nach dem Motto, ich, der Petent, habe mich bei meiner Gemeinde beschwert, dann bin ich zum Regionalverband gegangen und dann habe ich mich an den nationalen Petitionsausschuß gewandt.	We are regarded, as it were, as the highest instance, along the following lines: I, the petitioner, have complained to my local authority, then to the regional authority, and then to the national petitions committee.
Niemand hat mir Recht gegeben, jetzt gehe ich zum Europäischen Parlament und beschwere mich da.	None of them upheld my claim, so I am now going to go to the European Parliament and complain there.
So sieht unsere Kompetenz natürlich nicht aus.	Of course, that is not what our competence is all about.
