Frau Präsidentin!	.
Um mit dem zweiten Teil zu beginnen: Ja, die Europäische Union muss und wird genügend Mittel zur Verfügung stellen.	Madam President, to start with the second part of the question, it is the case that the European Union is required to provide adequate resources, and it will indeed do so.
Das Gasbudget wurde ja zuletzt für das laufende Jahr erheblich erhöht.	The CFSP budget has recently been increased considerably for the current year.
Da allerdings noch nicht feststeht, wie groß der Umfang der künftigen Aufgaben sein wird – es ist ja heute noch nicht absehbar, welche Art von Präsenz die Europäische Union im Kosovo haben wird –, ist derzeit noch nicht mit Präzision zu sagen, wie hoch die Mittel sein müssen, die dazu notwendig sein werden.	Since, however, the scope of our future activities is not yet certain – we cannot yet tell what sort of presence the European Union will have in Kosovo – it is currently not possible to say precisely what funds will be needed for this.
Eine eilfertige Aufstockung des Gasbudgets während des Haushaltsjahres wäre im Übrigen im Einklang mit Artikel 39 der Interinstitutionellen Vereinbarung bei Zustimmung des Europäischen Parlaments möglich.	It would also be possible to raise the gas budget rapidly during the budget year with the agreement of the European Parliament, in accordance with Article 39 of the Interinstitutional Agreement.
Wenn die Aufgabe, die der Europäischen Union zufällt, es erfordert, sollte dies auch geschehen.	If the duties assigned to the European Union make this necessary, it will happen.
Was die europäische Nachbarschaftspolitik betrifft, so hat sie bereits im ersten Jahr einen wertvollen Beitrag zu einer engagierten Nachbarschaftspolitik der Union geleistet, und wir unterstützen auch die Europäische Kommission in ihren entsprechenden Vorschlägen.	With regard to the European neighbourhood policy, it has already, in its first year, made a valuable contribution to the EU’s committed involvement in its neighbourhood, and we also support the Commission's related proposals.
Die schrittweise, systematische und trotzdem individuelle Heranführung an EU-Standards und Regeln sollte und wird weiter verfolgt werden.	The gradual, systematic and nevertheless individual introduction of EU standards and rules should and will be pursued.
Erklärtes Ziel der Nachbarschaftspolitik ist und bleibt es, ein beträchtliches Maß an Integration anzubieten und zu ermöglichen.	The neighbourhood policy's declared aim is and will continue to be to offer and enable a significant level of integration.
Dies geschieht – wie Sie erwähnt haben – mit Hilfe von -Aktionsplänen, wobei sich jene mit der Ukraine und Moldau aus unserer Sicht und auch aus der Sicht der Europäischen Kommission bewährt haben.	This is achieved – as you mentioned – by means of European neighbourhood policy action plans, and both we and the Commission feel that those with Ukraine and Moldova have been a success.
Es wird eine erste Überprüfung der Aktionspläne mit der Ukraine und auch mit Moldau für das erste Jahr – 2006, also während des österreichischen Ratsvorsitzes – vorgenommen werden.	An initial review of the first year of the action plans for Ukraine and Moldova will be carried out in 2006, during the Austrian Presidency.
Zum anderen werden wir ab nächstem Jahr mit dem ENPI ein neues Finanzinstrument mit noch gezielteren Unterstützungsmöglichkeiten zur Verfügung haben.	As of next year, the European Neighbourhood and Partnership Instrument (ENPI) will also provide us with a new financial instrument enabling even more targeted support.
Uns ist es auch wichtig, dass mit allen Staaten der Europäischen Nachbarschaftspolitik so bald wie möglich Aktionspläne verhandelt und abgeschlossen werden.	We also feel it is important to negotiate and conclude action plans as soon as possible with all states under the European neighbourhood policy.
Dies betrifft insbesondere – auch das ist eine Aufgabe, die dem österreichischen Ratsvorsitz zufallen wird – die drei Kaukasus-Republiken Armenien, Aserbaidschan und Georgien.	This includes in particular the three Caucasus republics of Armenia, Azerbaijan and Georgia, and this, too, is a task that will fall on the Austrian Presidency.
Erst im Dezember haben politische Konsultationen mit diesen drei Ländern stattgefunden.	Political consultations with these three countries were launched just last December.
Hier hat die Kommission dezidiert erklärt, dass die Verhandlungen über Aktionspläne gerade mit diesen drei Ländern zügig vorangetrieben werden sollen.	In this context, the Commission declared firmly that negotiations on action plans with these three countries in particular should be pushed forward rapidly.
Die österreichische Ratspräsidentschaft unterstützt dies sehr.	The Austrian Presidency very much supports this.
Was die Ukraine betrifft, so wird die Anbindung an die Europäische Union im Rahmen der ENP von uns sehr unterstützt.	With regard to Ukraine, we are very supportive of its connection to the European Union within the framework of the ENP.
Wir gehen davon aus, dass der Ukraine nach Erfüllung der technischen Kriterien der Marktwirtschaftsstatus nun bald auch formell erteilt werden kann.	Now that Ukraine has met the technical criteria for market economy status, we assume that that status will soon be formally granted.
Besonders wichtig erscheint uns dabei ein baldiger Beitritt der Ukraine zur WTO, denn dies würde den Weg für die Schaffung einer Freihandelszone mit der Europäischen Union ebnen.	In that connection, we consider it to be particularly important for Ukraine to join the WTO in the near future, as this would smooth the path for the creation of a free trade area with the European Union.
Eine Machbarkeitsstudie dazu wird derzeit von der Europäischen Kommission finalisiert.	A feasibility study on this is currently being finalised by the European Commission.
Wir denken, dass die Realisierung dieses Vorhabens einen weiteren wichtigen Schritt in den Beziehungen zur Ukraine darstellt. Wir werden aktiv in dieser Richtung weiterarbeiten.	We think that implementation of this proposal constitutes another important step in relations with Ukraine, and we will work hard to make further progress in this direction.
