Frau Präsidentin!	Madam President.
Wir haben im Juli schon über die Situation in Kenia gesprochen und mit Bedauern ausgedrückt, wie gewaltsam dort die Verhältnisse sind.	We discussed the situation in Kenya back in June and expressed our regret at how violent the situation there was.
Diese Situation hat sich nicht verbessert.	This situation has not improved.
Es herrscht Angst, Terror und Gewalt im Lande, Gewalt durch die staatlichen Organe.	Fear, terror and violence rule the land, violence by the state forces.
Wir sind gegenwärtig besorgt über die Unruhen und die Welle der brutalen Unterdrückung, die vorherrschen und die schon viele Menschenleben gekostet haben.	We are currently concerned at the unrest and the wave of brutal oppression which exist, and which have already cost many people their lives.
Wir sind beunruhigt über die jüngsten Angriffe bewaffneter Milizen, die viele Tausend Menschen zwangen, ihre Häuser in Mombasa zu verlassen.	We are concerned by the latest attacks by armed militia who have forced many thousands of people in Mombasa to leave their homes.
Kenia ist einer der Unterzeichnerstaaten des Abkommens von Lomé.	Kenya is, however, a signatory to the Lomé Convention.
Gerade durch dieses Abkommen und den Artikel 5 sind wir verpflichtet, uns für die Menschenrechte in Kenia einzusetzen und die Regierung oder den Präsidenten aufzufordern, endlich die Verfassungsreform, die zugesagt wurde, umzusetzen, um damit den Boden für die Wahlen vorzubereiten.	Precisely because of this convention and its article 5, we are obliged to assert ourselves on behalf of human rights in Kenya and to demand of the government or the president that the promised constitutional reform at last be implemented, and thus the basis for elections be prepared.
Wir fordern demokratische Verhältnisse in Kenia.	We support democratic conditions in Kenya.
Das ist auch die Forderung der dortigen Oppositionsparteien, damit Chancengleichheit bei den Wahlen gegeben ist.	That is also the demand of the local opposition, so that there may be an equal chance in the elections.
Über politischen und wirtschaftlichen Druck können wir als Europäische Union und als Vertragsunterzeichner von Lomé dies umsetzen, und ich bin der Meinung, Herr Pinheiro, es gehört auf jeden Fall auf die nächste Tagung von Lomé, die nun ansteht.	We, as the European Union and as signatories to the Lomé Convention, can implement this by means of political and economic pressure, and it is my view, Mr Pinheiro, that it should be included in the next Lomé meeting, which is imminent.
