, Berichterstatter.	, rapporteur.
Herr Präsident, ich möchte darauf hinweisen, dass ich die Debatte vom heutigen Morgen im Kontext der Reformfähigkeit der Europäischen Union sehe.	Mr President, I should like to point out that I see this morning's debate in the context of the European Union's ability to reform.
Ich glaube, dass uns nach der hervorragenden Rede von Präsident Prodi allen klar geworden ist, dass die Reformfähigkeit der Europäischen Union und ein Erfolg von Nizza wesentliche Voraussetzungen für ein zügiges Vorankommen der Europäischen Union sind.	I believe that it has become clear to all of us, following President Prodi's excellent speech, that the European Union's ability to reform and success in Nice are essential prerequisites for the European Union to move forward quickly.
Ich meine, dass eine Reihe von Mitgliedstaaten es bis heute noch nicht verstanden hat, dass es diesen Zusammenhang gibt und dass das zögerliche Vorankommen der Regierungskonferenz uns in große Schwierigkeiten bringen kann, die Erweiterung im notwendigen Zeitraum durchzusetzen.	In my opinion, even today there are a number of Member States which have still not understood that this link exists, and that the slow progress in the Intergovernmental Conference might make it very difficult for us to bring about enlargement in the necessary time frame.
Wir meinen, dass in Nizza das Notwendige für die Erweiterung beschlossen werden muss, wenn dieses Notwendige auch noch nicht alles ist, was ansonsten noch in Sachen Reform der Europäischen Union wünschenswerterweise zu geschehen hat.	We think that decisions need to be made in Nice on those issues which are necessary for enlargement, even if this means not addressing all those issues which remain to be resolved - and which it is desirable that we resolve - in connection with reforming the European Union.
Dieser Bericht muss in gleicher Weise betrachtet werden.	This report needs to be viewed in a similar light.
Auch in diesem Bericht, den ich Ihnen vorlege, ist manches Wünschenswerte, das wir als Europäische Union, aber auch die Beitrittsländer zu verwirklichen haben, aber nicht alles ist Bedingung für den Beitritt zur Europäischen Union, denn die Bedingungen für den Beitritt zur Europäischen Union sind klar in den Kopenhagener Kriterien definiert.	In this report too, which I am presenting to you, there are a number of points which it is desirable that we in the European Union - but also the accession countries - address, but not all of them are conditions for accession to the European Union, because the conditions for accession to the European Union are clearly set out in the Copenhagen criteria.
Das Europäische Parlament möchte jedoch zum Ausdruck bringen, dass die volle Erfüllung der Kopenhagener Kriterien Bedingung für den Beitritt zur Europäischen Union ist.	The European Parliament would nevertheless like to say that accession to the European Union is conditional upon the Copenhagen criteria being satisfied in full.
Es darf keinen politischen Rabatt für irgendein Land geben.	There must be no political waiver for any country.
Es muss klar sein, dass diese Bedingungen alle erfüllt werden müssen.	It must be clear that all of these conditions have to be met.
Es muss auch weiterhin klar sein, dass die Demokratie und die Rechtsstaatlichkeit sogar die Bedingung für Verhandlungen sind und dass andere Dinge eben im Laufe der Verhandlungen erfüllt werden müssen, wobei uns natürlich klar ist, dass wir in einer Reihe von Bereichen, im Interesse der Beitrittskandidaten wie auch im Interesse der Europäischen Union, Übergangsregelungen festlegen müssen, wie wir das immer bei Beitritten getan haben.	Furthermore, it must also be clear that democracy and the rule of law are in fact the condition for negotiating and that other conditions simply have to be satisfied in the course of the negotiations, and here we do of course realise that - in the interests of the accession applicants as well as in the interests of the European Union - we will have to agree transitional arrangements in a series of sectors, as we have always done with accessions.
Dies ist keine Diskriminierung von irgendjemanden.	This does not amount to discrimination against anybody.
Ich meine aber auch, dass wir deutlich machen sollten, wenn wir von den Kopenhagener Kriterien reden, dass jedes einzelne Land entsprechend seinen Fortschritten bewertet werden muss.	I also think, however, that we should make it clear when we talk about the Copenhagen criteria that each individual country has to be assessed on the progress it has made.
Aus diesem Grunde sollten wir auch offiziell Abschied nehmen von dem Gruppendenken.	For this reason we should also make an official break with thinking in terms of groups.
Es wurden zwar in Luxemburg und dann in Helsinki Länder eingeladen, bilaterale Verhandlungen durchzuführen.	It is true that in Luxembourg and then in Helsinki countries were invited to hold bilateral negotiations.
