. Herr Präsident, meine sehr verehrten Damen und Herren!	.
Als wir vor einem Jahr die Verhandlungen mit den zehn beitretenden Ländern abgeschlossen haben, taten wir das auf der Grundlage einer Prognose. Die Prognose war, dass diese zehn Länder rechtzeitig zum Beitritt vollständig beitrittsreif sein würden, d. h. alle in den Verhandlungen eingegangenen Verpflichtungen erfüllt haben würden.	Mr President, honourable Members, when we concluded negotiations with the ten candidate countries a year ago, we did so on the basis of a prognosis that these ten countries would be fully prepared by the date set for accession, that is to say that they would have discharged all the obligations into which they had entered in the course of negotiations.
Das ist der Grund, warum wir das Monitoring haben, nämlich um festzustellen, ob diese Prognose richtig war oder nicht.	That is the reason behind monitoring; it is there to determine whether or not this prognosis was accurate.
Der abschließende Monitoringbericht, den die Kommission heute verabschiedet hat, ist der letzte.	The concluding monitoring report that the Commission adopted today is the last one.
Wir hatten bereits zwei Vorläuferberichte, die sehr positive Wirkungen erzielt haben, und, meine Damen und Herren, wir müssen natürlich damit rechnen, dass die Medien sich nach dieser Debatte heute im Parlament auf die Punkte konzentrieren werden, bei denen wir sagen: Da ist etwas noch nicht in Ordnung.	There have already been two previous reports, which have had very positive effects, and I can tell you that we of course have to expect the media, following the debate in this House, to focus on those points where we say there is something not yet right.
Deshalb erscheint es mir notwendig, einmal die Perspektive aufzuzeigen, aus der das gesehen werden sollte.	It therefore seems to me to be necessary to start by putting this into perspective.
Zunächst einmal gilt, dass wir den größten Teil des gemeinschaftlichen Besitzstandes nicht noch einmal überprüfen mussten, weil während des Verhandlungsprozesses bereits sichtbar war, dass alle Erfordernisse erfüllt sind.	In the first place, we did not have to re-examine most of the , as it had already become apparent during the negotiation process that all the requirements had been met.
Das haben uns gar nicht noch einmal angesehen.	We did not even give it a second look.
Wir haben uns nur die Bereiche noch einmal angesehen, in denen während der Verhandlungen Fragen offen geblieben waren und Verpflichtungen übernommen worden sind.	We only revisited the areas in which issues had remained open during the course of negotiations and in which commitments had been entered into.
Diesen Teil des haben wir in 140 Sektoren von durchaus unterschiedlichem Gewicht eingeteilt. Einige dieser Sektoren umfassen mehrere hundert Rechtsakte, einige nur einen einzigen – nur um einmal das Volumen zu zeigen.	We divided up this part of the into 140 sectors of widely varying importance, some of them comprising several hundred legal acts, others only one – and that is just an illustration of the volume involved.
Das war ein gigantisches Werk. Wir hatten also insgesamt 1 400 solche Sektoren zu überprüfen. Das ist ein Gemeinschaftswerk der gesamten Kommission, das viele, viele hundert Mitarbeiter über die letzten Monate in Anspruch genommen hat, aber ich erhebe auch den Anspruch, dass diese Arbeit sehr substanziell ist und dass wir einen Überblick haben, wie es ihn niemals zuvor bei früheren Erweiterungen gegeben hat.	The fact that we had, all in all, 1 400 such sectors to monitor made that an immense task; it is a communal effort by the Commission as a whole, one that, in recent months, had required many hundreds of staff, but I will also claim that this work is very substantial and that the sort of overview we have was never possible at the time of any previous enlargements.
Ich muss Ihnen sagen, so etwas ist in der Geschichte der Union noch nie gemacht worden, und es ist wichtig, das zu wissen, um richtig bewerten zu können, was dabei herausgekommen ist.	I have to tell you that such a thing has never been done in the history of the EU, and it is important that we should know that if we are to properly evaluate what the outcome has been.
In diesen 1 400 Sektoren, die wir geprüft haben, hat sich herausgestellt, dass sich die Vorbereitungen in 70 % aller Fälle vollständig im Zeitplan befinden und keinerlei Anmerkungen zu machen sind.	It turned out that, in the 1 400 sectors that we monitored, preparations are running perfectly according to the timetable in 70% of all cases and that no comments are called for.
In weiteren 27 % der Fälle haben wir festgestellt, dass noch einzelne Dinge zu erledigen sind, aber es gibt insgesamt keinen Grund zur Beunruhigung.	In a further 27% of cases, we have noted that some individual points remain to be dealt with, but there are, generally speaking, no grounds for concern.
Dieser Prozess ist im Gang, und unsere Prognose ist, dass alles am 1. Mai 2004 da sein wird.	This process is in motion, and, according to our prognosis, everything will be in place on 1 May 2004.
Dann sind 3 % übrig geblieben. Das sind präzise 39 Fälle von 1 400, in denen wir schwerwiegende Versäumnisse festgestellt haben, Verzögerungen, die nur noch mit Mühe aufgeholt werden können.	That leaves 3% – precisely 39 instances out of 1 400 – in which we have observed serious omissions and delays that can be compensated for only with difficulty.
Das sind die Fälle, in denen wir den künftigen Mitgliedsländern sagen: Hier sind absolut dringliche und entscheidende Maßnahmen zu treffen, um die Voraussetzungen noch vor dem 1. Mai 2004 zu schaffen, damit auch in diesem Bereich alles in Ordnung ist.	In these instances, we are telling the future Member States that decisive action has to be taken as a matter of absolute urgency in order to fulfil the conditions in time for 1 May 2004, so that everything in this area, too, can be in good order.
Die 39 problematischen Bereiche verteilen sich auf zehn Länder.	The thirty-nine problem areas are spread out over ten countries.
Ich würde davon abraten, hier ein zu versuchen. Die Tatsache, dass Polen neun solcher Bereiche hat, bedeutet nicht, dass Polen schlechter ist als andere.	I would advise against attempting to rank them in order; the fact that Poland has ten such areas does not mean that Poland is worse than others.
