Und ich denke, ohne ihn wäre dieser Tanker mehr als einmal auf Grund gelaufen.	I also think that, without him, this tanker would have ended up on the rocks more than once.
Willi Rothley hat vorhin in seiner Rede mit einigen Worten, die eigentlich wichtigen, auch konstitutionellen Fragen dieses Statuts angesprochen.	Mr Rothley, in his speech earlier on, addressed in a few words the important issues, some of them of a constitutional nature, that this statute raises.
Lassen Sie mich einige Sätze zu den eher profanen Problemen sagen.	I would like to say something about some rather more down-to-earth problems.
Ich glaube auch, dass das Gesamtergebnis dieses Statuts insgesamt ein sehr ausgewogenes ist.	I also believe that the statute, as it has emerged, is a very balanced piece of work.
Wir haben uns im Rechtsausschuss im Wesentlichen an den Vorgaben orientiert, die wir von den Sachverständigen, von den Weisen, die das Parlament ja beauftragt hatte, bekommen haben.	In the Committee on Legal Affairs, we were, essentially, guided by the instructions that we had been given by the experts and wise men that Parliament had mandated.
Diese 50 Prozent eines Richtergehaltes, um die es hier geht, entsprechen in etwa dem, was heute ein österreichischer, ein französischer, ein deutscher oder ein britischer Abgeordneter unter Berücksichtigung der Krankenversicherungs- und Altersversorgungsbeiträge bekommt.	The fifty per cent of a judge's salary that is at issue here corresponds, more or less, to what an Austrian, French, German or British MEP currently receives, after health insurance and old age pension contributions have been taken into account.
Es ist weniger als das, was heute die italienischen Kollegen bekommen, und ich möchte mich deshalb ausdrücklich auch bei den italienischen Kollegen für das Verständnis bedanken, dass sie bereit sind, sozusagen für künftige italienische Abgeordnete hier eine Einkommenseinbuße im Interesse einer gemeinschaftlichen europäischen Regelung hinzunehmen.	It is less than what our Italian Members currently get, and so I would like to express my thanks to them for their understanding and for their willingness to accept a reduction in income, as it were on behalf of future Italian MEPs and in the interests of common European rules.
Ich möchte mich darüber hinaus bei den Kolleginnen und Kollegen von den Grünen, der GUE und den Liberalen bedanken, die in dieser Sitzung keine Änderungsanträge zur Verringerung der 50 Prozent gestellt haben und die Anträge aus dem Rechtsausschuss nicht wieder eingereicht haben, weil ich glaube, es gibt auch kein sachliches Argument, das gegen dieses Ergebnis spricht.	In addition, I would like to thank MEPs from the Greens, the European United Left and the Liberals, who have not, in this part-session, submitted any amendments aimed at reducing the 50% or resubmitted the amendments put to the Legal Affairs Committee, as I believe there to be no objective argument against what it has produced.
Die Weisen haben dies eindeutig bestätigt und uns klare Vorgaben gemacht.	This has been unequivocally confirmed by the wise men, from whom we received clear guidance.
Es gibt allerdings einen Antrag, der von einer Reihe von Kollegen gestellt wurde, die im Grunde wollen, dass die nationale Besoldung in Zukunft die Grundlage sein soll.	There is, however, one amendment tabled by a number of Members who basically want future MEPs' salaries to be based on those of their national counterparts.
Ich halte diesen Antrag für - gelinde gesagt - unsinnig.	I regard that amendment as nonsensical, to put it mildly.
Denn der Sinn des Statuts ist es ja nach Artikel 190 Absatz 5, gleiche Verhältnisse für die Abgeordneten in diesem Lande zu schaffen.	The fact is that the whole point of the statute is to create equal conditions for this country's parliamentarians in accordance with Article 190 (5).
Und wer solche Anträge stellt, der kann eigentlich konsequenterweise nur gegen das Statut als Ganzes sein, weil er eigentlich den Rechtszustand beibehalten möchte, den wir im Augenblick haben.	It follows that those who submit such amendments must, in order to be consistent, be opposed to the statute as a whole, in that they in fact seek to retain the legal status quo.
Nun zu den Fragen des Primärrechtes: Einige Kollegen haben, zum Beispiel mit Änderungsantrag 28, Änderungsanträge gestellt mit dem Ziel, das alte Protokoll über Vorrechte und Befreiungen hier neu aufzunehmen.	Let me turn now to the issues of primary law. A number of Members have tabled amendments - Amendment No 28 is one example - aimed at adding to the Statute the old protocol on privileges and immunities.
Das macht aber keinen Sinn.	That, though, makes no sense.
In diesem Änderungsantrag 28 ist zum Beispiel die Rede von den Zollvorrechten der Abgeordneten. Das gibt es nicht mehr, wir leben in einem Binnenmarkt.	For example, Amendment No 28, which I have just mentioned, refers to MEPs' customs privileges, which, as we are living in an internal market, no longer exist.
Das zeigt, wie alt dieses Recht ist.	That shows how old this law is.
Wir brauchen in dieser Frage neues Recht.	This issue calls for new law.
Im Übrigen ist es auch so, dass jetzt damit endlich auch der Weg für ein transparentes Entschädigungsrecht frei ist.	I might add that it is also the case that the way is now at last clear for us to have transparent rights to indemnification.
Das Präsidium wird entsprechend entscheiden.	This is something on which the Bureau will decide.
Mein letzter Satz ist ein Appell an den Rat. Der Rat hat jetzt die Chance, wirklich dafür zu sorgen, dass wir ein fortschrittliches Abgeordnetenrecht bekommen.	I will conclude with an appeal to the Council, which now has a real opportunity to ensure that we get a forward-looking Statute for Members of the European Parliament.
Er muss schlicht und ergreifend das, was wir hier beschlossen haben, genehmigen. Und er sollte nicht mit fadenscheinigen, vordergründigen Argumenten zum Steuerrecht, die alle völlig aus der Luft gegriffen sind, diese Entscheidung verhindern.	Putting it simply, it must act swiftly to approve what this House has decided, and it should not block a decision by using flimsy and superficial arguments on tax law that have all been conjured up from nowhere.
Ich erwarte vom Rat, dass er möglichst bald, das heißt bis zur Wahl, eine positive Entscheidung im Sinne des Parlaments trifft.	What I expect of the Council is that it should, as soon as possible - by which I mean before the elections - decide in favour of what Parliament demands.
Der Rat ist am Zug, nachdem wir morgen entschieden haben.	Once we have taken our decision tomorrow, the next move will be for the Council.
(Beifall)	(Applause)
