schriftlich. - Wir haben die Banken gerettet, als es notwendig wurde.	in writing. - We saved the banks, because we had to.
Das wurde von allen verantwortungsvollen Politikern anerkannt und gebilligt.	That was recognised and accepted by all responsible politicians.
Jetzt sind wir konfrontiert mit einer Lage in der Landwirtschaft, wo es darum geht zu vermeiden, dass besonders im Milchsektor Betriebe kurzfristig Bankrott gehen, weil die Preise die Gestehungskosten nicht mehr decken.	Now we are faced with a situation in the agricultural industry where we need to prevent the imminent bankruptcy of farmers, particularly in the dairy sector, because prices no longer cover production costs.
Wir müssen sicherstellen, dass unser Produktionspotenzial ausreicht, um die Bevölkerung in der EU mit qualitativ hochwertigen Lebensmitteln zu versorgen.	However, we need to ensure that our production potential is sufficient to supply European citizens with high quality foodstuffs.
Ich gehöre einer Generation an, die noch erlebt hat, dass Lebensmittel rationiert waren, dass wir hamstern mussten, um uns ausreichend zu ernähren.	I belong to a generation that experienced food rationing and the need to hoard food in order to have enough to eat.
Soweit wird es hoffentlich nicht mehr kommen.	Hopefully, things will never get that bad again.
Aber diejenigen, die nie hungern mussten, verstehen nicht, wie wichtig eine starke Gemeinsame Agrarpolitik für Europa ist.	However, those who have never experienced hunger do not understand how important a strong common agricultural policy is for Europe.
Versorgungssicherheit, nicht nur im Energiesektor, ist angesagt.	We need security of supply and not just in the energy sector.
Ich gebe zu bedenken, dass, wenn zu viele Betriebe in zu vielen Regionen zur Aufgabe gezwungen werden, weil wir nicht imstande und bereit sind, die erforderlichen kurzfristigen Maßnahmen zu ergreifen, die in unserer Entschließung angemahnt sind, der Kostenpunkt für die EU und die Mitgliedstaaten ein Vielfaches von dem wäre, was die richtigen, kurzfristigen Maßnahmen im Rahmen der Gemeinsamen Agrarpolitik kosten.	I would ask you to consider the fact that, if too many farms in too many regions are forced to cease operating because we are not able or prepared to take the necessary short-term measures that are called for in our resolution, the cost to the EU and the Member States would be many times greater than the cost of taking appropriate short-term measures within the framework of the common agricultural policy.
Das Heer der Arbeitslosen ist groß genug.	The army of unemployed is large enough.
Landwirtschaftliche Betriebe kaputt gehen zu lassen, wäre aus sozialen, wirtschaftlichen und umweltpolitischen Gründen unverantwortlich.	Allowing farms to go bust would be irresponsible on social, economic and environmental grounds.
Ich hoffe, dass unsere Warnung gehört wird.	I hope that our warning will be heeded.
