Sehr gestrenger Herr Präsident, meine lieben Kolleginnen und Kollegen!	Mr President, I have nothing further to say to the Council.
Ich brauche zum Rat nichts mehr zu sagen. Mein Vorredner hat das unter Verwendung eines Zitates von mir aus der letzten Ausschußsitzung bereits erledigt.	The previous speaker has quoted me from the last committee meeting and said it all!
Warum tut sich der Rat so schwer, im Aufbau des Raumes von Sicherheit, Freiheit und Recht mit uns zusammenzuarbeiten?	Why does the Council find it so hard to work with us in creating an area of freedom, security and justice?
Diese Frage treibt mich immer und immer wieder um.	I find this question more and more worrying.
Ich will versuchen, sie aus meiner Sicht ein bißchen zu erhellen.	Allow me to try and elucidate it a little from my point of view.
Der Aufbau des Raumes von Sicherheit, Freiheit und Recht bewegt sich an der Schnittstelle zwischen den konstituierenden Elementen der nationalen Souveränität.	The establishment of an area of freedom, security and justice hovers at the interface between the constituent elements of national sovereignty.
Polizei und Justizpolitik sind kristallklare Elemente der Eigenstaatlichkeit, das heißt sensible Politikfelder der Mitgliedsländer, der Schnittstelle dieser Felder hin zur Vergemeinschaftung dieser Politiken, also zur Delegation von Kompetenz aus der nationalen Hauptstadt, also von Lissabon, Berlin oder Paris nach Brüssel. Das ist ein Stück Übertragung von Macht.	The police and judicial policy are quite clearly elements of sovereignty, in other words sensitive political areas in the Member States, and shifting the interface of these and communitising these policies, i.e. delegating powers from the national capitals, from Lisbon, Berlin or Paris, to Brussels represents a transfer of power.
Natürlich trennt man sich nur ganz, ganz schwer von überlieferten, von tradierten Exekutivformen, auch wenn man selbst erkennt, daß polizeiliche Zusammenarbeit notwendig ist; wir können internationale Kriminalität nur noch europäisch bekämpften.	Of course it is very, very difficult to break away from the executive forms which have been handed down to us, even if we recognise that police cooperation is necessary; we can only fight international crime at European level.
Es ist notwendig, dann die Konsequenz zu ziehen und zu sagen: Dann müssen wir die Instrumentarien organisatorisch und legal vergemeinschaften.	So we have to draw our conclusions and say that we need legal and organisational communitisation of the instruments available.
Das führt dazu, daß Regierungen, die das tun sollen und die Notwendigkeit sehen, zugleich erkennen, daß sie sich mit dem Prozeß, das umzusetzen, selbst entmachten.	As a result, the governments which need to do this and which recognise that need, also realise that, in implementing this, they are taking away their own powers.
Dann haben sie auch noch ein Europäisches Parlament, das kompliziert ist.	Then there is the European Parliament, which is also complicated.
Aber wir müssen das endlich lösen. Denn wenn wir so weitermachen wie bisher mit der Erfahrung des vergangenen Jahres, dann passiert folgendes: Die Sicherheitsdebatte, die Debatte um die Rechte der Bürger wird durch die Struktur, sie halb national und halb europäisch aufzubauen, in den nationalen Parlamenten marginalisiert.	In the final analysis, however, we must find a way forward, because if we carry on as we have in the past, and with last year' s experience, then what will happen is that the security debate and the debate about citizens' rights will be marginalised in the national parliaments as a result of making it a half national, half European structure.
Im Europäischen Parlament kommt sie nicht vollständig an, und der Rat tagt hinter verschlossenen Türen.	It has not quite taken off in the European Parliament and the Council meets behind closed doors.
Wenn der Aufbau des Raumes von Sicherheit, Freiheit und Recht eine Geheimveranstaltung bleibt, können wir die Bürger für diesen Raum nicht gewinnen.	If the establishment of an area of freedom, security and justice is kept secret, then we shall not win the citizens over to it.
Das heißt, es geht um die Stabilität der Demokratie, wenn wir darüber diskutieren.	In other words, the stability of democracy is at stake if we discuss it.
Deshalb rege ich mich so oft auf, nicht über den Ministerrat.	This is why I frequently get so worked up, but not over the Council of Ministers.
Die Minister sind auch in der Regel gewählte Abgeordnete. Der Kollege Gomes, der Kollege Costa, der Kommissar Vitorino, wir alle stammen im Prinzip aus dem gleichen Stall.	Generally, they too are elected Members of Parliament: Mr Gomes, Mr Costa, Commissioner Vitorino, in principle we are all in the same boat.
Aber ich will an den Beamtenapparat des Rates einen Appell richten.	However, I should like to make an appeal to the Council apparatchiks.
Es gilt der Grundsatz: Wer Entscheidungen vorbereitet - das tut der Beamtenapparat des Rates -, der nimmt sie vorweg - und deshalb sollte der Beamtenapparat des Rates ein Stückchen mehr Mut zur Demokratie beweisen.	The following principle applies: He who prepares decisions, in this case the Council apparatchiks, anticipates the decisions, which is why the Council apparatchiks should demonstrate more democratic spirit.
Ich möchte noch kurz einen weiteren Aspekt erwähnen, weil ich ja nicht so viel Zeit habe.	I should just like to mention another aspect briefly because I do not have much time.
Scoreboard, das hört sich im Deutschen wie Skateboard an.	Scoreboard sounds like skateboard in German.
Deshalb sage ich, wir brauchen einen Zeitplan, der vorgibt, welches Thema von wem in welcher Zeit umzusetzen ist.	I say therefore that we need a timetable which stipulates what must be implemented, when and by whom.
Dieser Vitorino-Plan, klare präzise Projekte in klarer definierter Zeit umzusetzen, ist das, was wir brauchen.	This Vitorino plan is what we need: clear, precise projects with a clear, defined timetable.
Das kann der Kollege Vitorino, für dessen Rede ich mich bedanke, aber nur, wenn er die notwendigen finanziellen und personellen Ressourcen hat.	Mr Vitorino, whom I would like to thank for his speech, can give us that, provided that he has the necessary financial and human resources.
Geben wir sie ihm, dann kommt er schneller voran, und das dient uns allen!	Let us give him those resources, then he can get on with his job and we all stand to gain.
