Herr Präsident! Zunächst registriere ich eine interessante Entwicklung hier im Haus.	Mr President, I will begin by noting an interesting development in this House.
Es wird immer wieder - wie ich meine, zu Recht - kritisiert, wir würden keine Debatten führen.	The criticism is levelled over and over again - and, I think, rightly - that we do not engage in debate.
Als neueste Konsequenz haben wir also jetzt Barcelona, den 11. September und das Wasser.	The latest consequence of that is that we now have Barcelona, 11 September, and water.
Ob das eine Debatte wird, wage ich zu bezweifeln.	I venture to doubt that that will add up to a debate.
Mein Thema, und das war ja auch das der Stellungnahme, ist allerdings die Folgewirkung des 11. September.	I will speak, though, on the subject to which my Committee devoted its opinion, the fallout from 11 September.
Ein paar Kernthesen in Ergänzung zu dem, was Kollege Karas, wie ich glaube, vollkommen zu Recht ausgeführt hat: Man soll das als Ereignis nicht überbewerten, aber von der Dynamik her haben wir erlebt, dass wir verwundbar sind, und die erste Konsequenz aus dem 11. September war und ist, dass die Politik wieder die treibende Kraft geworden ist.	Here are a couple of core theses to add to what Mr Karas, I think quite rightly, had to say: one should not overestimate it as an event, but the experience of its impetus has taught us that we are vulnerable, and the first consequence of 11 September was, and is, that politics has once again become the driving force.
If you like it or not - das wird auch von den führenden Unternehmensführern mittlerweile eingeräumt, aber auch wir müssen ehrlich sein: Gerade auf europäischer Ebene versagt die Politik!	It has done so whether you like it or not, as even the leading captains of industry have conceded in the meantime, but we too must be honest about the fact that it is precisely at the European level that politics is failing!
Zweitens, mit dem 11. September ist noch deutlicher geworden, dass die größte Vermögensumverteilung der Geschichte der Menschheit in Friedenszeiten den Weltfrieden gefährdet und auch Marktchancen raubt, und das auf ganz breiter Ebene, was dazu führt, dass durch das Versagen der Politik und durch die neue Situation, in der wir jetzt sind, die Unternehmen zentral gefordert sind.	Secondly, 11 September made it even clearer that the greatest peacetime redistribution of assets in human history is jeopardising peace and also taking away market opportunities, and that right across the board, which is leading, through the failure of politics and the new situation in which we are now, to enterprises having demands made on them from the centre.
Für sie wäre ja wohl der 11. September eine Chance, wenn sie glaubwürdig vorangingen, das zu tun, was Globalpolitik bisher jedenfalls nicht geschafft hat, nämlich Menschenrechte ohne Wenn und Aber zu vertreten.	For them, 11 September might well have been an opportunity, if they had gone about it in a credible way, to do what global politics has not been able to do so far, that is, to unreservedly support human rights.
Wir erleben, dass sich unabhängig vom 11. September - aber wieder kristallisiert durch dieses Ereignis - alle Marktbereiche verändern, und viele wachsen.	We are discovering something quite independent of 11 September - but, again, taking shape because of that event - the changes in all sectors of the market, with growth in many of them.
Ich denke an die Terrorbekämpfung, an das, was wir mit dem Weltraum anzustellen gedenken, und die Mobilität.	I am thinking of counter-terrorism, of what we are considering doing in space, and mobility.
Wenn beide nicht das bringen, was sie sollen, nämlich weder die Politik noch die Unternehmen, hat der Konsument die Macht durch seine Wahl, und er will jetzt neben ökologisch auch sozialverantwortlich handelnde Unternehmen.	If neither politics nor business can come up with what they should, consumers have power through their freedom of choice, and they now want enterprises to act in way that is socially, and not only environmentally, responsible.
Daher bin ich sehr froh darüber, dass das, was wir im Industrieausschuss durchgebracht haben, jetzt auch im Hauptbericht zu finden ist, nämlich dass der Verbraucher aufgefordert ist, beim Kauf von Waren soziales Bewusstsein an den Tag zu legen. Was allerdings fehlt, ist die große Konsequenz.	I am therefore very glad that what we got through the Industry Committee, that is, the call to consumers to demonstrate social awareness when buying goods, is now also to be found in the main report.
Die ist bei uns im Industrieausschuss noch durchgegangen. Ich bedaure, dass sie nicht im Hauptbericht ist.	What is missing, though, is the great logical conclusion to this, which we had taken through the Industry Committee, and the absence of which from the main report I regret.
Wir brauchen einen globalen Marshall-Plan. Ohne den werden wir die falschen Schlussfolgerungen aus diesen Ereignissen gezogen haben und wird auch Barcelona nicht funktionieren.	We need a global Marshall Plan, without which we will have drawn the wrong conclusions from these events, and without which Barcelona, too, will be ineffective.
