Herr Präsident, liebe Kolleginnen, liebe Kollegen! Menschenrechte sind unteilbar.	Mr President, ladies and gentlemen, human rights are indivisible.
Das war das Motto, unter dem diese ganze Woche stand.	That has been the motto of this Human Rights Week.
Menschenrechte gelten auch für Menschen, die sich schuldig gemacht haben und im Gefängnis sitzen.	Human rights also apply to those who have committed offences and are in prison.
Auch ihnen muß eine Chance gegeben werden, ihre Schuld einzugestehen und ein neues Leben zu beginnen.	They too must be given the opportunity to acknowledge their guilt and to start a new life.
Deshalb ist die Anerkennung der Universalität der Menschenrechte unmittelbar mit der Ablehnung der Todesstrafe verbunden.	That is why recognition of the universality of human rights goes hand in hand with rejection of the death penalty.
Drei Frauen und zwei Männer in Turkmenistan sitzen in der Todeszelle.	Three women and two men are sitting in death cells in Turkmenistan.
In wenigen Tagen kann die Todesstrafe gegen sie vollzogen werden.	They may be executed within the next few days.
Die letzte Hoffnung besteht darin, daß der turkmenische Staatspräsident sie begnadigt.	Their last hope is that they will be granted a reprieve from the President of Turkmenistan.
Das vermindert nicht ihre Schuld, sondern wäre ein Akt des Menschenrechtes.	That would not diminish their guilt, but it would be an act of respect for human rights.
Wir fordern deshalb den turkmenischen Staatspräsidenten auf, den Mut zu diesem Gnadenakt zu finden und so die internationalen Menschenrechte über das nationale Recht zu stellen!	We therefore call on the President of Turkmenistan to summon up the courage to carry out this act of mercy, thereby according precedence to international human rights over national law.
Das würde auch die Glaubwürdigkeit seiner Feier zum 50. Jahrestag der Internationalen Menschenrechtskonvention unterstützen.	That would also enhance the credibility of his celebrations for the 50th anniversary of the Universal Declaration of Human Rights.
