Herr Präsident! Vielen Dank, dass Sie sich am späten Abend noch solche Freuden gönnen wollen.	Mr President, thank you for your willingness to allow us this pleasure late in the evening.
Im Namen der SPE-Fraktion möchte ich dem Berichterstatter zu seinem Bericht gratulieren.	On behalf of the Group of the Party of European Socialists, I would like to congratulate the rapporteur on his report.
Wir unterstützen diesen Bericht, weil er sowohl in Bezug auf die neue Finanzarchitektur, die zu entwerfen ist, wie auf die Reform insgesamt und die Bewältigung der Krisen richtige Antworten gibt, die auch konkret auf die Bedürfnisse von Krisenregionen und die Bedürfnisse der internationalen Finanzmärkte sowie auf das sehr wichtige Bedürfnis aller Gesellschaften an Finanzmarktstabilität eingehen.	We support this report because it gives the right solutions to the issues of the new financial architecture which must be created, of reform as a whole and of crisis management - solutions which also deal practically with the needs of regions hit by crises, the requirements of international financial markets and the very important need of all societies for stability in financial markets.
Ich möchte hier noch einmal unterstreichen, dass ich die Finanzmarktstabilität für ein öffentliches Gut halte, auf das alle Bürger und Bürgerinnen Anspruch haben.	I would like to emphasise again that I believe stability in financial markets to be a public good to which all citizens are entitled.
Wenn wir uns die Ausgangssituation einmal vor Augen halten, dann kann ich mir hier eine Bemerkung nicht verkneifen.	Taking a look at the situation we are in, I cannot resist making an observation.
Die internationalen Finanzaktivitäten auf den Devisenmärkten haben sich nämlich auf rund 1.200 Milliarden Dollar täglich verringert, und das liegt an der Schaffung der Währungsunion, weil das natürlich einer der Hebel für die quantitativ kaum beherrschbaren Kapitalströme ist.	International financial activity on the currency markets has, in fact, decreased to around USD 1 200 billion a day, and that is due to the creation of the monetary union, which is of course one of the levers of the flows of capital that are quantitatively scarcely manageable.
Wir müssen aber gleichzeitig anmerken, dass wir es im Verlauf der 90er Jahre in derivativen Geschäften wie Swaps, Optionen usw. mit einer Verfünfundzwanzigfachung der Umsätze zu tun hatten.	At the same time, though, we must note that during the course of the nineties we were dealing with a twenty-five-fold turnover increase in derivative trading such as swaps, options and so on.
Wir wissen, dass nicht einmal mehr 3 % der Transaktionen mit dem realen Güter- und Dienstleistungsverkehr zu tun haben.	We know that, now, not even 3% of the transactions have to do with the real market in goods and services.
Ich halte es für wichtig, dass wir die Kapitalströme gerade im Zeichen der Globalisierung einerseits von der Renditeseite der institutionellen Anleger sowie von der ökonomischen und sozialen Lage her, andererseits aber auch von der Seite der kapitalimportierenden Länder her sehen.	I believe it to be important that we should look at the flow of capital under the influence of globalisation in terms both, on the one hand, of the yield accruing to institutional investors and of the economic and social situation, and on the other, from the point of view of the capital-importing countries.
Hierbei müssen wir bedenken, dass 75 % des angelegten Kapitals in nur 12 Staaten fließen, nur 1 % des angelegten Kapitals fließt nach Schwarzafrika.	In this connection, we have to bear in mind that 75% of the capital invested flows into only twelve states, and that only 1% of the capital invested flows to black Africa.
Zu Recht fordert also der Berichterstatter, dass wir hier zu einer Konsolidierung der Lage kommen, und das geht nur, wenn wir hier auch einen umfassenderen Schuldenerlass haben als bisher.	The rapporteur is right to demand that we now move to a consolidation, and that can only be done if we write off debt more comprehensively than we have done before.
Funktionierende globalisierte Finanzmärkte sind sicherlich von Vorteil.	Functioning globalised financial markets are no doubt advantageous.
Sie leisten - eine stabile Entwicklung vorausgesetzt - einen Beitrag zu Wachstum und Beschäftigung.	Presupposing stable development, they contribute to growth and employment.
Es bestehen aber trotz alledem wirtschafts- und gesellschaftspolitische Defizite und Regulierungs- und Aufsichtsdefizite.	Despite that, there are still economic and social deficits and a lack of regulation and supervision.
Darauf weist der Bericht hin.	The report points that out.
Die Sorge um spekulative Engagements zu Lasten der realen Wirtschaft, aber auch die überschießende Volatilität der Märkte durch die enorme Zunahme der Transaktionsvolumina in diversen Finanzprodukten machen es notwendiger denn je, die internationale Finanzarchitektur zu reformieren.	Concern about speculative commitments to the detriment of the real economy and the excessive volatility of the market brought about by an enormous increase in transaction volume for certain financial products are factors which make a reform of the international financial architecture more necessary than ever.
120 Währungskrisen haben wir durchlebt, und man kann sie nicht abschaffen.	We have lived through 120 currency crises, and they cannot be abolished.
Es ist uns noch nicht gelungen, ein funktionierendes System von Frühwarnindikatoren zu entwickeln, die Transparenz der Informationen zu bewegen und einen Verhaltenskodex zu entwickeln, der für alle wirkt, und wir haben das moral hazard-Problem noch nicht gelöst.	We have not yet succeeded in developing a working system of early warning indicators, in making information transparent and in drawing up a code of conduct that works for everyone, and we have not yet solved the problem of moral hazard.
Ich halte es daher für sehr wichtig, dass die Forderungen dieses Berichts auch in die Verhandlungen der Europäischen Union einfließen, die übrigens international auch mit einer Stimme sprechen muss.	So I consider it very important that this report's demands should influence the EU's negotiations, and the EU, too, must speak with one voice at the international level.
Es geht nicht allein darum, dass wir eine monetäre Zone haben, sondern wir müssen auch international in der Finanzmarktpolitik und in der Frage der Weltfinanzarchitektur mit einer Stimme sprechen.	It is not just about us having a monetary zone, but we must also speak with one voice internationally on financial market policy and on issues of the world's financial architecture.
Die Einführung des Euro ist ein Beitrag zur Finanzstabilität, und das Finanzsystem bei uns ist besser gegen externe Schocks geschützt, aber wir müssen noch weiter kommen, denn die Währungsunion ist nur ein Beitrag zur Stabilität in Europa und der Welt.	The introduction of the euro is a contribution to financial stability, and our financial system is better protected against external shocks, but we must move on, for the monetary union is only one contribution to stability in Europe and the world.
