Herr Präsident! Rat, Kommission und Parlament sind sich endlich einmal einig.	Mr President, Council, Commission and Parliament at last agree on something.
Die Förderung der KMU trägt zu mehr Investitionen und Innovation bei, zur Schaffung neuer Unternehmensphilosophien.	The promotion of SMEs contributes to greater investment and innovation, and to the creation of new philosophies of enterprise.
Zugunsten einer Initiative für Wachstum und Beschäftigung wurde ein Mehrjahresprogramm gestartet.	A multiannual programme was started to benefit an initiative towards growth and employment.
Das Parlament bewilligte ein Budget von 450 Millionen Euro.	Parliament approved a budget of EUR 450 million.
Die KMU sind Jobmotor in Europa.	SMEs are an engine for jobs in Europe.
70% aller Arbeitnehmer sind bei ihnen beschäftigt und über 80% aller Lehrlinge werden hier ausgebildet.	Seventy per cent of all workers are employed by them, and over 80% of all apprentices trained by them.
Um aber ihre Marktchancen zu vergrößern, müssen sie weiter entlastet werden, finanziell und steuerlich.	In order to give them a better chance in the market, however, more financial and fiscal burdens have to be taken off their backs.
Sie brauchen einen besseren Zugang zum Risikokapital.	They need improved access to risk capital.
Die Europäische Investitionsbank sollte ihre Mittel nicht nur für die wissensgestützten Unternehmen aus Multimedia und Biotechnologiebranche verwenden, sondern auch für Spitzentechnologien der Sektoren Umwelt und Energie und für die innovativen Dienstleister aus Handwerk, Handel und Fremdenverkehr.	The European Investment Bank should apply its funds not only to the knowledge-based enterprises in the multimedia and biotechnology sectors, but also to cutting-edge technologies in the environmental and energy sectors and to innovative service-providers in craftsmanship, trade and tourism.
An Zinszuschüssen wurden über 93 Millionen Euro gezahlt, statt der vorgesehenen 100 Millionen. Dennoch wurden 54.000 neue Arbeitsplätze geschaffen, statt der erwarteten 33.000.	Interest-rate subsidies paid out amount to over EUR 93 million rather than the EUR 100 million that had been envisaged, yet, all the same, 54 000 new jobs were created where 33 000 had been expected.
Wenn das kein Erfolg ist.	If that is not a success...
Der exzellente vom Kollegen Bushill-Matthews verfasste Bericht findet die volle Unterstützung der EVP-Fraktion, und mein Ausschuss war einstimmig für diesen exzellenten Bericht.	The excellent report that Mr Bushill-Matthews has produced meets with full support from the Group of the European People's Party (Christian Democrats) and European Democrats, and my committee was unanimously in favour of it.
Ich teile seine Kritik daran, dass der Bericht unseren Ausschuss für Beschäftigung und soziale Angelegenheiten viel zu spät erreicht hat.	I echo his criticism that the report reached the Committee on Employment and Social Affairs far too late.
Offenbar waren zuviele Dienststellen damit befasst.	Obviously there were too many services dealing with it.
Das Europäische Parlament kann doch erst dann Verantwortung tragen und seine Kontrollfunktion wahrnehmen, wenn die Informationen frühzeitig vorliegen.	Parliament can, though, only take responsibility and perform its supervisory function if information is available in good time.
Künftige Berichte müssen sich auf Punkte konzentrieren, die eine effektive Analyse ermöglichen.	Future reports will have to concentrate on aspects that make effective analysis possible.
Wie sieht die Qualität von innovativen Arbeitsplätzen aus?	What about the quality of jobs in innovative fields?
Wie wird die Nachhaltigkeit gesichert?	How is sustainability ensured?
Wie viele Frauen sind daran beteiligt? Schließlich sind sie ein wesentliches Element der europäischen Beschäftigungsstrategie.	How many women - who, at the end of the day, are a significant element in the European employment strategy - are involved?
Trotz dieser Kritik ist der Kommissionsbericht ermutigend. Er weist nach, dass sich Investitionen in dieser Zukunftsbranche lohnen, und das ist ganz im Sinne der Arbeitnehmerinnen und Arbeitnehmer.	The Commission's report is encouraging, this criticism notwithstanding, providing, as it does, evidence that it is worth investing in these forward-looking sectors, and that is entirely in the employees' interest.
