amtierender Ratspräsident.	President-in-Office of the Council.
Herr Präsident, Herr Kommissar, meine Damen und Herren! Wir behandeln heute drei Dossiers, die einen ganz wesentlichen Fortschritt in der grenzüberschreitenden polizeilichen Zusammenarbeit im Bereich der europäischen Innenpolitik markieren.	Mr President, Commissioner, ladies and gentlemen, we are dealing today with three matters that mark very significant progress in cross-border police cooperation in the realm of European home-affairs policy.
Dies betrifft zunächst einmal den Vertrag von Prüm, der ursprünglich ein völkerrechtlicher Vertrag zwischen einigen wenigen Mitgliedstaaten war - es waren am Anfang sieben, zehn weitere Staaten sind ihm bisher beigetreten.	The first of these matters is the Prüm Convention, an international agreement that was originally concluded by a small number of Member States - there were initially seven, but a further ten states have subsequently acceded to it.
Dieser Vertrag hat dazu geführt, dass es zum ersten Mal in Europa eine Vernetzung nationaler DNA- und Fingerabdruckdatenbanken und Kraftfahrzeugregister gibt.	The Convention paved the way for Europe's first network of national DNA and fingerprint databases and vehicle registers.
Wir haben damit unter Beachtung eines hohen Datenschutzstandards die Grundlage für einen modernen polizeilichen Informationsverbund in Europa geschaffen.	In this way we laid the foundations for a modern information exchange for police forces in Europe while applying high standards of data protection.
Dieser Vertrag zwischen einigen Mitgliedstaaten wird nun auf die europäische Ebene übertragen.	This Convention that was concluded by some of the Member States is now to become an EU-wide instrument.
Er wird in den Rechtsrahmen der Europäischen Union integriert und - was seine Kernbestandteile angeht - in allen 27 Mitgliedstaaten Anwendung finden.	It is to be incorporated into the legislative framework of the European Union, and its core provisions will apply in all 27 Member States.
Damit leisten wir nicht nur einen Beitrag zur Sicherheit der Bürgerinnen und Bürger in Europa, weil bereits jetzt die Erfahrungen beim DNA-Abgleich zwischen einigen wenigen Ländern dazu geführt haben, dass Verbrecher identifiziert und schwere Straftaten geahndet werden konnten.	We are thereby contributing to the security of the people of Europe, because DNA-matching among a small number of countries has already resulted in the identification of criminals and in convictions for serious crimes.
Wir leisten auch einen Beitrag dazu, die Handlungsfähigkeit der Europäischen Union zu stärken, denn es ist richtig, dass dieser Vertrag in Zukunft nicht nach dem Völkerrecht behandelt wird, sondern Teil unseres gemeinsamen europäischen Rechtsrahmens wird.	We are also helping to enhance the capacity of the European Union to act, for it is only right that this Convention should no longer be treated as an instrument of international law but as part of our common European legal framework.
Ich möchte mich bei allen Mitgliedstaaten, aber auch bei der Europäischen Kommission und den Mitgliedern des Europäischen Parlaments bedanken, die dazu beigetragen haben, die Überführung des Vertrags von Prüm trotz eines sehr engen Zeitrahmens zu ermöglichen.	I should like to thank all Member States, as well as the European Commission and the Members of the European Parliament, for having helped to clear the way for the replacement of the Convention in spite of a very tight time frame.
Wir werden bei der Überführung und bei der Umsetzung auch die Stellungnahmen des Europäischen Parlaments in gebührender Weise berücksichtigen.	In converting the Convention into a Council Decision and in implementing that Decision, we shall also take due account of the opinions of the European Parliament.
Wir werden in der nächsten Woche über das Visa-Informationssystem entscheiden, zu dem wir bereits im Mai eine politische Einigung mit dem Europäischen Parlament erzielt haben.	We shall decide next week on the visa-information system on which we reached political agreement with the European Parliament back in May.
Nachdem auf der ASTV-Ebene eine Einigung erfolgt ist, bestehen gute Aussichten, dass der Rat den Zugriffsbeschluss in der nächsten Woche bestätigen wird.	Now that an agreement has been reached in Coreper, there is a good chance that the Council will confirm the decision on access next week.
Eine formelle Einigung wird es dann geben, wenn die sprachjuristische Prüfung abgeschlossen ist.	A formal agreement will then be concluded once the wording has been checked by the lawyer-linguists.
Das Visa-Informationssystem ist ein besonders wichtiges Instrument zur Stärkung des Raums der Freiheit, der Sicherheit und des Rechts.	The visa-information system is a particularly important means of consolidating the area of freedom, security and justice.
Wir werden damit die Speicherung und den Abruf von alphanumerischen und biometrischen Daten im Visumverfahren ermöglichen.	It will mean that alphanumerical and biometric data can be stored and retrieved during visa procedures.
Dies wird dazu beitragen, dass wir Mehrfachvisumsanträge, Identitätstäuschungen und andere Täuschungshandlungen besser als bisher bekämpfen können.	This will help to ensure that we are able to combat multiple visa applications, identity frauds and other forms of deception more effectively than hitherto.
Der VIS-Zugriffsbeschluss eröffnet den Sicherheitsbehörden auch die Möglichkeit zur Abfrage des VIS zum Zwecke der Prävention, der Aufdeckung und der Untersuchung von terroristischen und sonstigen schwerwiegenden Straftaten.	The decision on access to the VIS will also enable security authorities to search the VIS for the purpose of preventing, discovering and investigating terrorist crimes and other serious offences.
Durch diese neu geschaffenen Recherchemöglichkeiten der Sicherheitsbehörden wird der Schutz vor allem vor dem internationalen Terrorismus und der organisierten Kriminalität zukünftig einen entscheidenden Schritt vorangebracht.	These new research facilities for the security authorities will be a vital step forward in efforts to protect the public, especially from terrorism and organised crime.
Ich möchte betonen, dass die Einigung, die wir mit dem Europäischen Parlament erzielt haben, eine sehr ausgewogene Einigung ist, die die unterschiedlichen Argumente, die vorgetragen worden sind, in ein vernünftiges Gleichgewicht bringt.	Let me stress that the agreement we reached with the European Parliament is a very balanced and sound agreement which reconciles the diverse arguments that have been advanced.
