im Namen der S&D-Fraktion. - Herr Präsident! Ich greife auf, was der Kollege Surján gesagt hat.	Mr President, I would like to pick up on what Mr Surján said.
Wir haben es mit einem neuen Verfahren zu tun, in dem die beiden Teile des Haushaltsgesetzgebers, Rat und Parlament, auf gleicher Ebene handeln.	We are dealing with a new procedure in which the two parts of the budgetary legislator, the Council and Parliament, are operating on the same level.
Ich möchte mich an all diejenigen Kolleginnen und Kollegen aus dem Haushaltsausschuss wenden, die sich darüber beklagt haben, dass es eine Politisierung dieser Debatte gegeben hat.	I would like to address all those fellow Members from the Committee on Budgets who have complained that this debate has become politicised.
Ich will Ihnen sagen, das ist die Logik aus dem neuen Verfahren, dass wir über eine Haushaltstechnik hinausgehen und über eine wirkliche Haushaltspolitik reden müssen.	I would like to say to you that the logic of this new procedure dictates that we go beyond technical budgetary matters and discuss real budgetary policy.
Bei dieser Haushaltspolitik ist sichtbar geworden, dass es in der anderen Behörde, im Europäischen Rat, den Willen gibt, über die Haushaltspolitik eine andere Europäische Union zu bekommen.	With this budgetary policy, it has become clear that, in the other authorities and in the European Council, there is an intention to use budgetary policy to obtain a different European Union.
Ich fange deshalb mit dem Ratsvorsitz an, mit Ihnen, Herr Wathelet.	I will therefore start with the Presidency of the Council - with you, Mr Wathelet.
Dieses Parlament ist nach meiner Einschätzung der belgischen Präsidentschaft zu Dank verpflichtet, weil ich glaube, dass die belgische Präsidentschaft dabei geholfen hat, etwas zu erreichen, was ich vor drei Wochen nicht für möglich gehalten habe.	In my view, this Parliament is indebted to the Belgian Presidency, because I believe that it has helped to achieve something that I did not believe possible three weeks ago.
Die Regierung des Vereinigten Königreichs und die Regierung der Niederlande - man muss die hier auch beim Namen nennen - waren im Rat nicht bereit, bei der Beteiligung des Parlaments an der Finanziellen Vorausschau einen Kompromiss zu schließen.	In the Council, the government of the United Kingdom and the government of the Netherlands - we must also mention them by name here - were not prepared to agree on a compromise in respect of the involvement of Parliament in the Financial Perspective.
Die von uns gewünschten Kompromisse mit dem Rat sind abgelehnt worden.	The compromises that we wanted with the Council were rejected.
Sie haben bis zur letzten Sekunde versucht, einen Kompromiss herbeizuführen, aber diese beiden Regierungen haben gesagt: "Nein!"	Right up to the last minute, they tried to reach a compromise, but these two governments said 'no'.
Eine sehr intelligente Lösung - vielleicht eine belgische Lösung - ist gefunden worden, nämlich die Regierungen, die in den nächsten zwei Jahren die Präsidentschaft führen - Ungarn, Polen, Dänemark und Zypern -, dazu zu bringen, eine Erklärung abzugeben, dass sie das Parlament in die Willensbildung einbeziehen.	A very intelligent solution - a Belgian solution perhaps - was found, namely to get the governments that will hold the Presidency in the next two years - Hungary, Poland, Denmark and Cyprus - to issue a statement to the effect that they will involve Parliament in the development of objectives.
Ich gehe einmal davon aus, so wie bisher, also auf der Grundlage der bisherigen Interinstitutionellen Vereinbarung.	I assume this will be as before, in other words, on the basis of the current interinstitutional agreement.
Damit haben vier Regierungen im Europäischen Rat öffentlich erklärt, dass sie anderer Meinung sind als die Regierung der Niederlande und die Regierung Großbritanniens.	Thus, four governments in the European Council have declared that they are of a different opinion to the government of the Netherlands and the government of the United Kingdom.
Das ist ein großer Erfolg, weil damit nämlich klar geworden ist, dass der Rat kein homogenes Ganzes ist, der einen einheitlichen Willen diktieren kann, sondern im Rat gibt es sehr wohl unterschiedliche Auffassungen, zum Beispiel bei Staaten wie Ungarn oder Polen, die fürchten, dass bei einer Finanzierung des Auswärtigen Dienstes, bei einer Finanzierung von ITER, bei einer Finanzierung von Galileo mit den gleichen Haushaltsmitteln, die wir heute haben, aber bei eingefrorenen Landwirtschaftsausgaben bis zum Jahre 2013 irgendwann irgendwo gekürzt werden muss.	That is a major success, because it has made it clear that the Council is not a homogeneous whole that can dictate a uniform objective, but that there are most definitely different opinions in the Council, for example, in the case of states like Hungary or Poland, who fear that, with the financing of the External Action Service, ITER and Galileo using the same budgetary resources that we have today, but with agricultural spending frozen until 2013, cuts will have to be made somewhere at some point.
Und die Kürzungen würden dann bei der Kohäsionspolitik erfolgen.	Moreover, the cuts would then be made in connection with cohesion policy.
Damit haben wir Verbündete im Rat, nämlich die Staaten, die diese Kürzungen nicht wollen, und das sind insbesondere die nächsten beiden Präsidentschaften, Polen und Ungarn.	Thus, we have allies in the Council, namely, those states that do not want these cuts, and these include, in particular, the next two states to hold the Presidency, Poland and Hungary.
In dieser Form hat das Parlament einen großen Erfolg erzielt.	In this respect, Parliament has achieved a major success.
Ich teile die Auffassung von Frau Trüpel nicht, dass wir eingeknickt seien. Ganz im Gegenteil!	I do not share the opinion of Mrs Trüpel that we have given way - quite the opposite!
Bei der anderen Kernforderung politischer Art, die wir aufgestellt haben, der Flexibilität, wurde keine Einigung erzielt.	With regard to the second core political demand that we made, flexibility, no agreement was reached.
Das Thema ist vertagt.	The matter has been deferred.
Herr Ratspräsident, Sie sagen, die Einstimmigkeit ist jetzt auf dem Tisch, Sie hätten die qualifizierte Mehrheit haben können.	Mr Wathelet, you say that there is now unanimity and that you could have had the qualified majority.
Dann will ich umgekehrt sagen, dass diejenigen, die ITER haben wollen, dann auch dafür sorgen müssen, dass es im Rat für die Zusammenarbeit bei der Flexibilität eine Einstimmigkeit gibt, sonst bekommen Sie ITER nicht.	I will turn this on its head and say that those who want to have ITER must then also ensure that there is unanimity in the Council for cooperation with regard to flexibility, otherwise they will not get ITER.
Wir haben hart verhandelt, wir haben sehr kontrovers verhandelt.	We have negotiated hard and in a highly controversial manner.
Es ging am Ende nie um die Zahlen, sondern um den politischen Willen.	At the end of the day, it was never about figures, but about political will.
Schlussendlich der dritte Punkt: Die Kommission hat sich in einer harten Auseinandersetzung zwischen Rat und Parlament positioniert.	Finally, my third point is that, in a fierce debate, the Commission has positioned itself between the Council and Parliament.
Im Rat gibt es keine einzige Regierung, keine, die bereit ist, über Eigenmittel zu diskutieren.	In the Council, there is not a single government that is prepared to discuss our own resources.
Wir wollen über Eigenmittel diskutieren.	We want to discuss our own resources.
Die Kommission hat Position bezogen.	The Commission has taken its position.
Die Kommission hat sich in dieser Frage auf die Seite des Parlaments gestellt.	On this issue, it has sided with Parliament.
Damit sind sich die Gemeinschaftsinstitutionen einig.	Thus, the Community institutions are in agreement.
Ich erwarte, dass im Frühjahr der Präsident der Kommission und Sie, Herr Lewandowski, mit einem entsprechenden Vorschlag über die Eigenmittelregelungen in der EU kommen.	In the spring, I expect the President of the Commission and you, Mr Lewandowski, to put forward a corresponding proposal on the arrangements for own resources in the EU.
Dann werden sich die Mitgliedstaaten, die 27 Regierungen, dazu verhalten müssen.	The Member States - the 27 governments - will then have to take a position on this.
Ich bin ein bisschen erstaunt, dass ich der einzige Fraktionsvorsitzende bin, der heute hier geredet hat.	I am a little surprised that I am the only group chair to speak here today.
Das will ich auch an die Adresse meiner Kollegen sagen.	I would also like to address my fellow Members in that regard.
Es gab eine teilweise harte Auseinandersetzung zwischen den Haushaltsexperten und uns.	There was, to some extent, a heated debate between us and the budget experts.
Ich glaube, dass das am Ende in eine gute Richtung gelaufen ist.	I believe that, in the end, this went in a positive direction.
