Frau Wulf-Mathies, ich spreche Sie persönlich an.	Mrs Wulf-Mathies, I want to address you personally.
Exporterstattungen sind ein ökonomischer Unsinn.	Export refund are economic nonsense.
Exporterstattungen, also Subventionen für den Export von Lebendvieh, sind Beihilfe zur Tierquälerei.	Export refunds, subsidies for the export of live cattle, are an accessory to animal suffering.
Wenn wir uns hier unterhalten über die Maßnahmen zur Verbesserung der Kontrolle, dann darf das nicht darüber hinwegtäuschen, daß es eigentlich darum geht, diese Exporterstattungen abzuschaffen.	When we talk here about measures for improving controls, that should not hide the fact that the real point is to do away with these export refunds.
Wenn die Tiere im wesentlichen bezahlt sind, wenn sie auf dem Wagen stehen, muß man sich nicht wundern, daß mit ihnen so umgegangen wird.	If the animals have been mostly paid for, when they are loaded onto the vehicles, then one can hardly wonder if they are treated in this way.
Wenn Sie ein Pferd, einen Araber für eine Million im Nahen Osten kaufen, brauchen Sie sich keine Sorgen zu machen, daß es hier vernünftig ankommt.	If you sell a horse, an Arab, to the Middle East for a million, you need not worry about its safe arrival.
Wenn Sie Schlachttiere in dieser Weise subventionieren, geschieht genau das, was wir in diesen Bildern sehen.	If you subsidize animals for slaughter in this way, then exactly what we see in these pictures will take place.
Also müssen wir raus aus dieser Exportsubventionierung, und wir werden die darauf abzielenden Anträge unterstützen.	These export subsidies must be stopped, therefore, and we shall be supporting resolutions that aim to do this.
Frau Wulf- Mathies, machen Sie aus Ihrem Herzen keine Mördergrube und sagen Sie uns, daß Sie auch gegen diesen Unsinn sind, auch wenn Sie heute morgen die Kommission vertreten müssen!	Mrs Wulf-Mathies, do not deny what you really feel, but say that you too are against this foolishness, even if you are representing the Commission!
Wir müssen dafür sorgen, daß die Lebendtierhalter in Nordafrika ihre Tiere absetzen können, daß sie das Geschäft mit den Menschen machen, die dort Fleisch in dieser Weise essen wollen.	We must ensure that live animal breeders in North Africa are able to sell their animals, that they can do business with people there who want to eat meat in this way.
Wir müssen uns da heraushalten.	We must keep out of this.
Dann haben wir einen vernünftigen Beitrag zum Tierschutz geleistet.	Then we shall have made a sensible contribution to animal welfare.
Die Menschen gehen mit ihren Tieren vernünftig um, nur wir lassen das nicht zu.	People treat their animals sensibly, but we do not allow it.
Das ist das Problem.	That is the problem.
