Verfasserin. - Herr Präsident! Vielen Dank, dass ich noch einmal kurz das Wort ergreifen darf.	Mr President, thank you very much for allowing me to speak again briefly.
Ich habe eine große Bitte an Sie, Herr Kommissar Füle.	I have a request for you, Mr Füle.
Ich will damit beginnen, dass falsche Annahmen zu falschen Kostenschätzungen führen.	I would like to start by saying that incorrect assumptions lead to incorrect cost estimates.
Wir haben derzeit keine sinkenden Zahlen im Bereich der Asylbewerber, sondern deutlich steigende Zahlen.	At the moment, the number of asylum seekers is not falling, but rising significantly.
Das hat mit den Visaerleichterungen, z.B. für Serbien und Mazedonien zu tun.	This is a result of visa facilitation, for example, for Serbia and Macedonia.
Wir erleben derzeit auch einen massiven Anstieg des Missbrauchs des Asylrechts, bei den Versuchen, in ein Land der Europäischen Union zu kommen.	We are currently also seeing a massive increase in abuses of the asylum system as part of attempts to enter countries in the European Union.
Wenn man von falschen Annahmen ausgeht, nämlich dass durch das Bestreiten des Erstverfahrens in höher qualifizierter Form Kosten in weiteren Instanzen gespart würden, geht man automatisch davon aus, dass alle Mitgliedstaaten sozusagen ein schlechtes Erstverfahren haben.	If you start with incorrect assumptions, in other words, that disputing the first instance in detail will save costs in subsequent instances, it will automatically seem as if all Member States have poor first-instance procedures.
Das ist aber nicht der Fall.	However, that is not the case.
Wenn man die Standards insgesamt erhöht, dann bedeutet es in der Konsequenz, dass dadurch Kostensteigerungen kommen werden.	If overall standards are raised, the consequence will be cost increases.
Eine Erhöhung der Qualitätsstandards für alle miteinander und auch die Komplizierung von Verfahren - ich bin gerne bereit darüber zu diskutieren - in der praktischen Realität führen zu mehr Kosten.	Improving the standard of quality for everyone and making the procedures more complex will, in reality, result in increased costs. I am more than happy to discuss this point.
Darum bitte ich noch einmal ganz herzlich darum, wirklich die Bedenken der Länder ernst zu nehmen, denn die praktischen Berichte aus den Ländern sind zu Teil da und werden auch gegeben.	Therefore, I would like to ask you specifically to take the concerns of the countries seriously, because some of the practical reports from the countries have already been completed and will be distributed.
