Herr Präsident, ich kann leider dem Berichterstatter, Herrn Soulier, nicht gratulieren.	Mr President, unfortunately I cannot congratulate the rapporteur, Mr Soulier.
Ich halte den Bericht in den Grundsatzfragen für beschönigend und außerdem für widersprüchlich.	I think the report glosses over the basic questions and that it is contradictory.
Ich halte es geradezu für unerträglich, daß im Begründungsteil der Satz steht: " Die Kernenergie hat ihren wirtschaftlichen Nutzen bereits unter Beweis gestellt."	I consider it quite intolerable for the explanatory statement to contain the phrase: ' Nuclear power... has demonstrated its economic effectiveness.'
Dabei muß auch der Bericht zugeben, daß die zentralen Fragen wie Kosten, Stillegung, Lagerung, noch nicht gelöst sind.	At the same time the report also admits that central questions such as cost, dismantling and storage have still not been resolved.
Zweitens: Die osteuropäische Frage wurde gerade angesprochen.	Secondly, the question of Eastern Europe has just been raised.
Das wird noch ein hartes Thema bei den Beitrittsverhandlungen werden.	That will be a difficult issue during the accession negotiations.
Wie wird dieses Problem auch kostenmäßig bewältigt werden?	How is this problem to be resolved in terms of costs?
Das ist eine völlig offene Frage. Drittens: In Ziffer 17 ist von ausgewogenen Forschungsinvestitionen die Rede.	Thirdly, paragraph 17 refers to balanced investment in research.
Genau das Gegenteil ist notwendig.	Exactly the opposite is needed.
Wir brauchen eine unausgewogene Forschungspolitik, die die Forschung in Richtung der erneuerbaren, alternativen Energien begünstigt.	We need an unbalanced research policy that favours research into renewable, alternative energy sources.
Viertens ist die Rede davon, daß bei der Exportpolitik ausgewogen über die Vor- und Nachteile informiert werden soll.	Fourthly, it is said that specific information should be provided on the advantages and disadvantages when exporting nuclear technology.
Viel wichtiger ist, in diesen Ländern alternative Energiemöglichkeiten zu prüfen.	It is far more important to examine alternative energy sources in these countries.
Aus all diesen Punkten lehne ich diesen Bericht ganz entschieden ab und werde alle Anträge, die in Richtung Ausstieg aus der Atomenergie gehen, unterstützen.	On all these points I quite definitely reject the report and will support all the amendments relating to abandoning nuclear energy.
