Herr Präsident!	.
Ich danke für diese spannende und durchaus auch spannungsvolle Debatte, die auch für den Rat von Wichtigkeit sein wird.	Mr President, I am grateful for this exciting and certainly tense debate, which the Council, too, will regard as important.
Ein grenzenloses Europa wird es nicht geben. Aber Europa war immer ein politisches Projekt.	There will be no Europe without frontiers; yet Europe was always a political project.
Daher werden uns weder die Geographen noch die Historiker noch die Lineale bei den Festlegungen helfen, die wir politisch zu treffen haben. Maßgeblich wird der gemeinsame Wille der Teilhaber dieser Werte- und Rechtsgemeinschaft sein.	That is why neither geographers nor historians nor rulers will be any use to us in the political decisions that we have to take; what will decide the issues will be the common will of those who share in this community of values and laws, namely us and – as is the norm in democracies – the people themselves.
Das sind wir und – wie in Demokratien selbstverständlich – die Bevölkerungen. Wo stehen wir also jetzt?	Where, then, do we stand now?
Nüchtern betrachtet sind am 3. Oktober des letzten Jahres weitreichende politische Entscheidungen getroffen worden. Jetzt stehen wir vor einer Phase der ruhigen Sacharbeit – Rat und Kommission mit unseren Partnern in der Welt.	Looked at objectively, 3 October last year saw the taking of political decisions with far-reaching implications; what is ahead of us now – ‘us’ being the Council and the Commission with our partners around the world – is a period of quietly working on the issues.
Drei Bemerkungen noch zu geographischen Themen, zum Balkan: Worum geht es im Kern?	Let me just make three more comments on the geographical issues in the Balkans: what is this, in essence, all about?
Woran arbeiten wir?	What are we working on?
Aus meiner Sicht am Friedensprojekt Europa, an der Wiedervereinigung Europas, an der Überwindung des Ost-West-Gegensatzes, an der Überwindung der Trennung durch den Kommunismus.	I believe we are working on Europe as a peace project, on its reunification, on the overcoming of the East/West divide, on doing away with the division created by Communism.
Es kann nicht sein, dass der Balkan ins europäische Abseits gerät. Wir müssen wieder klarmachen, wo der Mehrwert für uns, für unsere Bevölkerung, aber auch für die Bevölkerungen auf dem Balkan liegt, ein Mehrwert an Rechtsstaatlichkeit, an Sicherheit, an wirtschaftlichen Möglichkeiten.	It is intolerable that the Balkans should end up in some European no man's land; we must again spell out where we see the added value for ourselves, for our own people, and for the peoples of the Balkans an added value made up of the rule of law, of security and of economic opportunity.
Zum Thema Türkei, das mehrfach angesprochen wurde: Die Kommission und der Rat sprechen im jetzt laufenden Verfahren nicht nur die Fortschritte im Reformprozess der Türkei an, sondern ganz konkret auch die Defizite, ganz direkt auch die Defizite etwa im Bereich Religionsfreiheit und Meinungsfreiheit.	If I may turn to Turkey, to which many Members made reference, in the currently ongoing process, the Commission and the Council are addressing not only the progress Turkey has made with its reform process, but also, and quite specifically and directly, what remains to be done in such areas as religious freedom and the free expression of opinion.
Wir haben das bei unserem Troika-Treffen getan.	We did this in our troika meeting.
Ein Wort zur Ukraine: Ich war mit Kommissarin Benita Ferrero-Waldner vor kurzem auf einer Troika-Mission in der Ukraine.	Let me say something about Ukraine.
Dieselbe Botschaft hier, die ich dort gegeben habe: Europa, die Europäische Union wünscht sich eine stabile, eine selbstbewusste, eine erfolgreiche Ukraine. Vor allem aber auch eine Ukraine, die die anstehenden Transformationsaufgaben entschlossen in Angriff nimmt.	Commissioner Ferrero-Waldner and I were recently on a troika mission in Ukraine together, and I can give you the same message that I gave there: it is that Europe, the European Union, would like to see a stable, self-confident and successful Ukraine, but, above all, a Ukraine that faces up to the task of transformation and tackles it with determination.
Wir haben mit der Europäischen Nachbarschaftspolitik, mit dem Aktionsplan, dessen erste Überprüfung bevorsteht und während der österreichischen Präsidentschaft erfolgen wird, ein gutes und zweckmäßiges Instrumentarium.	The European Neighbourhood Policy and the action plan that is about to be reviewed for the first time during the Austrian Presidency provide us with a good and appropriate array of instruments.
Wir haben auch noch ein großes Potenzial, etwa durch ein vertieftes Abkommen, das ein breites Freihandelsabkommen umfassen könnte.	There is also considerable potential for such things as a deeper agreement that might well include a broad-based free trade agreement.
