Herr Präsident, ich habe auf zwei Dinge hinzuweisen.	Mr President, I would like to make two points.
Erstens: Der Wortlaut des Änderungsantrags 31, der sich in unseren Unterlagen befindet, entspricht nicht dem Wortlaut, der im Ausschuß beschlossen wurde.	Firstly, the wording of Amendment No 31in our documents does not match the wording that was agreed on in the committee.
Es wurde zwar im Ausschuß gesagt, daß dieser Änderungsantrag verändert werden muß und daß er als Artikel eingeführt werden muß, und nicht im Finanzbogen aus formellen Gründen.	It was indeed said in committee that this amendment had to be changed and that it had to be introduced as an Article, and not in the financial statement for administrative reasons.
Aber diesen Wortlaut, wie er hier so steht, hat der Ausschuß nicht beschlossen.	But the wording as presented here was not the resolution of the committee.
Man kann zwar sagen, den Sinn hat der Ausschuß beschlossen, aber nicht den Wortlaut.	You could say that the committee decided on the meaning but not the wording of its resolution.
Ich gebe das hiermit zu Protokoll und bitte die Dienste zu prüfen, wie man in so einem Fall verfährt.	I am putting this on record and would ask Parliament's services to check how one should proceed in such a case.
Damit auch jeder weiß, worüber wir abstimmen: Es geht hier um den Finanzbetrag.	In order that everyone knows what we are voting on: it is a matter here of the financial sum involved.
500 Mio. ECU schlägt der Ausschuß vor.	The committee proposes ECU 500 million.
Verfahren im Haus ist es aber - auch die Kommission sieht das meiner Ansicht nach so, vielleicht kann der Kommissar dazu noch etwas sagen -, daß normalerweise Finanzbeträge im Haushaltsverfahren festgelegt werden.	The procedure in the House, however, - even the Commission sees it in this way, in my view, and perhaps the Commissioner can comment on this - is that financial sums are normally set in the budgetary procedure.
Auch die Kollegen des Haushaltsausschusses haben mich gebeten, nochmals darauf hinzuweisen, daß dies ein ungewöhnliches Verfahren ist und daß man eigentlich den Antrag ablehnen müßte.	Colleagues in the Committee on Budgets have also asked me to point out once more that this is an unusual procedure and that actually the application ought to be rejected.
Der Ausschuß ist aber dafür, und deswegen muß ich als Berichterstatter auch sagen, daß der Ausschuß so entschieden hat dem Geiste nach, diesen Finanzbetrag zu erhöhen.	The committee, however, is in favour and for that reason, as rapporteur, I must also say that, in accordance with the spirit of the resolution, the committee has agreed to increase this financial amount.
