amtierender Ratspräsident.	President-in-Office of the Council.
Wir hatten vor wenigen Wochen eine Debatte vor dem Hintergrund der Allianz für Familien und der Ziele, die wir uns in Barcelona gesteckt haben.	A few weeks ago we had a debate against the background of the Alliance for Families and the objectives we set ourselves in Barcelona.
In dieser Debatte habe ich im Namen der Präsidentschaft vorgeschlagen, dass im nächsten Jahr ein Bericht über die Umsetzung dieser Ziele in den einzelnen Mitgliedstaaten vorgelegt werden muss!	In that debate I proposed, on behalf of the Presidency, that a report should be presented next year on how far those objectives had been achieved in the individual Member States.
Wir haben mittlerweile auch einen Kriterienkatalog erarbeitet, nach dem dieser Bericht im Jahr 2008 erstellt werden soll.	In the meantime, we have also produced a list of criteria on the basis of which this report will be produced in 2008.
Das ist ein wichtiger Punkt.	That is an important point.
Ich bin auch froh darüber, dass in den letzten Wochen bei verschiedenen Konferenzen - auch im Rahmen der Debatte über die Allianz für Familien - gerade die Kinderbetreuung eine wesentliche Rolle gespielt hat.	I am also pleased to say that child care has featured prominently at a number of conferences in the last few weeks, including in the debate about the Alliance for Families.
Ich komme bekanntermaßen aus Deutschland und kenne die Debatte, die derzeit bei uns im Lande geführt wird.	As you know, I am from Germany and I am familiar with the debate that is currently taking place in our country.
Wir haben aber auch festgestellt, dass das nicht allein ein deutsches Problem ist.	We have also found that the problem is not confined to Germany, however.
Was können wir also tun?	What can we do, then?
Im Sinne der best practices gilt es, die Erfahrungen und die Ergebnisse im Hinblick auf die Erreichung dieser Ziele im nächsten Jahr im erwähnten Bericht darzustellen.	So far as best practice is concerned, the experiences and results in achieving those objectives must be set out in the report I mentioned next year.
Die Informationen, die Sie benötigen, werden wir Ihnen noch zukommen lassen.	We will send you the information you require in due course.
