Frau Ratspräsidentin, es ist eine Freude, Ihnen zuzuhören.	Madam President, it is a pleasure to listen to you.
Es macht sehr viel Spaß!	It is very enjoyable indeed!
Die politische Eloquenz, die Sie zeigen, ist wirklich ganz beeindruckend.	Your political eloquence is very impressive indeed.
Ich habe zwei kurze Fragen: Sie haben hier sehr beeindruckend das Modell geschildert, das Sie als neues Wettbewerbsmodell, als fairen Wettbewerb bezeichnet haben.	I have two short questions. You have given here an impressive description of the model which you call the new model of competition, of fair competition.
Gehört Ihrer Meinung nach dazu auch ein Vorstoß auf internationaler Ebene, den Sir Leon Brittan schon lange anstrebt, und würden Sie das unterstützen?	In your opinion should this involve an initiative at international level, such as that which Sir Leon Brittan has been seeking for a long time? Would you be in favour of this?
Meine zweite Frage bezieht sich auf einen anderen Komplex und zwar auf das, was wir elektronischen Handel nennen.	My second question refers to another complex matter, namely to what we call electronic trade.
Sie wissen, es gibt einen Vorstoß auf europäischer und amerikanischer Ebene.	As you know, there is an initiative at European and American level in this field.
Wie weit muß die europäische Ebene Ihrer Meinung nach hier verstärkt initiativ werden?	In your view, how far should the European initiative be extended?
Inwieweit sollen wir uns unterscheiden von dem, was auf amerikanischer oder internationaler Ebene vor sich geht, und wo liegt das Erfolgsmodell der Zukunft?	To what extent should our approach differ from what is happening at US and international level, and what would be a successful model for the future?
Mein dritter Punkt ist eine ganz kurze Anmerkung - meine sehr geschätzte Kollegin Moreau, ich möchte Sie nur daran erinnern, daß der Entwurf, den Sir Leon Brittan heute morgen vorgelegt hat, von diesem Parlament gewünscht wurde.	I would like to make a final brief remark. I would just like to remind you, Mrs Moreau, that the proposal presented by Leon Brittan this morning was requested by this Parliament.
Wir haben hier dazu einen Kommentar gemacht. Er wurde in meinem Ausschuß, dem Ausschuß für Außenwirtschaftsbeziehungen, verabschiedet.	We have commented on it here in the House and it has been adopted in my committee, the Committee on External Economic Relations.
Dieses Parlament hat ihm mit überwältigender Mehrheit zugestimmt.	Parliament has approved it with an overwhelming majority.
