Herr Präsident! Ich möchte meine Zufriedenheit zum Ausdruck bringen.	Mr President, I should like to express my satisfaction.
Als wir heute Nachmittag diskutiert haben und ich meine Rede hätte beginnen müssen mit dem Satz: "Herr Präsident, sehr verehrtes leeres Haus!", weil insgesamt fünf Kollegen anwesend waren, hat Herr Posselt gesagt, wenn kein Redner seiner Fraktion da sei außer ihm selbst, würde er alle Redezeit der PPE-Fraktion übernehmen.	When we were talking this afternoon and I would have had to begin my speech with the phrase, "Mr President, absent friends," because altogether five colleagues were present, Mr Posselt said that if there were no other speakers there from his group apart from him, he would take over all of the PPE Group's speaking time.
Das hätte bedeutet, dass wir 15 Minuten lang Herrn Posselt hätten lauschen müssen.	This would have meant that we would have had to listen to Mr Posselt for a whole fifteen minutes.
Stellen Sie sich das einmal vor!	Imagine that!
Nun ist dieser Kelch an uns vorübergegangen, und wir können uns dem Thema zuwenden, das der Kollege Deprez angesprochen hat.	Now this cup has passed from us and we can turn to the issue addressed by Mr Deprez.
Herr Kollege Posselt, die Lastenteilung, über die Sie gesprochen haben, eines Ihrer Lieblingsthemen, hat mit dem, was wir heute diskutieren, nichts zu tun, wiewohl ich Ihnen zugestehen muss, dass wir über die Lastenteilung reden müssen.	Mr Posselt, burden-sharing, which you talked about - one of your favourite subjects - has nothing to do with what we are discussing today, although I do concede that we need to talk about burden-sharing.
Lassen Sie mich zunächst einmal an die Adresse des Rates sagen, wir haben es mit einer Initiative der französischen Regierung zu tun, und wir erleben in letzter Zeit immer wieder im Innenausschuss, dass einzelne Mitgliedstaaten Initiativen ergreifen, und wir erleben dann, dass die Mitgliedstaaten sich mal zufälligerweise in der Rechtsgrundlage irren.	Allow me first of all to say to the Council that we are dealing with an initiative of the French Government, and recently in the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs we have seen individual Member States taking initiatives time and again, and we have then seen that the Member States sometimes happen to be mistaken about their choice of legal basis.
Ich wage einmal, den Satz von Herrn Posselt aufzugreifen.	For once I will dare to take up something which Mr Posselt said.
Es fehlt ein strategisches Konzept, insbesondere beim Rat.	There is no strategic plan, particularly in the Council.
Deshalb wäre der Rat besser beraten, wenn er das strategische Konzept des Kommissars Vitorino, das nämlich vorhanden ist, aufgreifen würde, statt dessen Vorstellungen zumeist zu blockieren.	That is why the Council would be better advised to adopt Commissioner Vitorino's strategic plan, which is actually available, instead of blocking most of his ideas.
Das sage ich vom Grundsatz her an die Adresse der Mitgliedstaaten und des Rates selbst.	I say this as a point of principle to the Member States and the Council itself.
Zweiter Punkt: Warum fehlt ein strategisches Konzept?	My second point is, why is there no strategic plan?
Das strategische Konzept fehlt aus einem einfachen Grunde.	There is no strategic plan for one simple reason.
Die Politik in der Europäischen Union, sofern sie von den einzelnen Regierungen der Mitgliedstaaten im Bereich der Freizügigkeit betrieben wird, ist nicht in allen Mitgliedsländern, aber zum überwiegenden Teil in den Mitgliedsländern geprägt von einer Abwehrhaltung, weil im Grundsatz die meisten Regierungen in der Europäischen Union von der Einschränkung der Freizügigkeit ausgehen und nicht vom Gewähren der Freizügigkeit, die übrigens als eine der vier Grundfreiheiten im Vertrag über die Europäischen Gemeinschaften definiert ist.	Policy in the European Union as far as freedom of movement is concerned, to the extent that it is pursued by the individual governments of the Member States, is characterised - not in all of the Member States but in the vast majority of them - by a defensive attitude, because in principle most governments in the European Union have as their premise the restriction of freedom of movement and not the granting of freedom of movement, which, incidentally, is defined as one of the four fundamental freedoms in the Treaty establishing the European Community.
Wir haben es mit einem mangelhaften strategischen Konzept zu tun, weil wir über die Freizügigkeit von Dienstleistungen, Kapital und Waren reden, und die können sich vom Rindvieh bis zum Uran frei in Europa bewegen.	We are dealing with a deficient strategic plan because we talk about the free movement of services, capital and goods, and from cattle to uranium they can move around freely in Europe.
Nur die Menschen, die sind in der Europäischen Union Einschränkungen unterworfen.	It is only people who are subject to restrictions in the European Union.
Sie sind diesen Einschränkungen unterworfen aus einem Abwehrmechanismus.	They are subjected to these restrictions because of a defence mechanism.
Wenn Herr Posselt über die Freizügigkeit redet, dann meistens über Menschen aus südlichen Hemisphären oder über Asylbewerber.	When Mr Posselt talks about freedom of movement, he mainly means people from the southern hemisphere or asylum seekers.
Ich rede aber mal über einen amerikanischen Professor, der an einer deutschen Universität einen Lehrstuhl annimmt, für die Bundesrepublik Deutschland eine Aufenthaltsgenehmigung bekommt und der, wenn er in Paris an der Sorbonne einen Gastvortrag halten will, ein Visum beantragen muss, auf das er unter Umständen auch noch warten muss, weil die französischen oder deutschen Behörden nicht vorankommen aufgrund der vielfältigen, mangels strategischen Konzepts sehr heterogenen Verwaltungsvorschriften in den Mitgliedsländern.	But I am talking, say, about an American professor who accepts a chair at a German university, receives a residence permit for the Federal Republic of Germany and who, when he wishes to give a guest lecture at the Sorbonne in Paris has to apply for a visa, which he is possibly still waiting for because the French or German authorities are not making progress on it. This is because of the diverse and - for the lack of a strategic plan - very heterogeneous administrative provisions in the Member States.
