Herr Präsident, auch mein Dank gilt der Berichterstatterin.	Mr President, I too would like to thank the rapporteur.
Frau Theatos Bericht kann dazu beitragen, daß wieder Vertrauen in europäische Institutionen geschaffen wird.	Mrs Theato' s report may help to restore confidence in European institutions.
Ich denke, das haben wir alle bitter nötig, wenn wir an die Wahlergebnisse der letzten Europawahl denken, wenn wir an die Wahlbeteiligung denken.	I believe that is something we are all desperately in need of, bearing in mind the results of the last European elections and of the level of turnout.
Das Problem ist doch jedes Jahr das gleiche.	Yet, every year we have the same problem.
Der Rechnungshof veröffentlicht seinen Bericht, und in diesem Bericht werden die Mitgliedstaaten wegen verschiedener Betrügereien angeklagt.	The Court of Auditors publishes its report, which criticises the Member States on account of various incidences of fraud.
Doch die europäischen Institutionen haben bisher zu wenig Möglichkeiten, hier durchzugreifen, dafür zu sorgen, daß es zu einer wirklichen Umsetzung kommt, daß es zu einer Abhilfe kommt.	So far, however, the European institutions have not had sufficient means at their disposal to take vigorous action here, to ensure that implementation actually takes place and that matters are remedied.
Genau dieses Verfahren baut jedes Jahr wieder Vertrauen ab.	It is precisely this process that undermines confidence every year.
Ich denke, Frau Theatos Bericht und ihr Vorschlag können dazu beitragen, daß genau dies umgekehrt wird, daß deutlich gemacht wird, daß die europäischen Institutionen dafür sorgen, daß europäisches Geld auch zielgerecht eingesetzt wird und daß es hier nicht zu Betrügereien kommt.	I believe that Mrs Theato' s report and her proposal can help to reverse this very process and to make clear that the European institutions take steps to ensure that European money is employed in a targeted manner and that no fraud is perpetrated here.
Wichtig ist, daß wir nach dem ersten Schritt, der bereits gemacht wurde, nämlich aus UCLAF OLAF zu machen, eine unabhängige Institution, jetzt den zweiten Schritt machen und für OLAF auch einen Rechtsrahmen schaffen, damit OLAF auch in einem sicheren Rechtsrahmen agieren kann.	It is important that after the first step, which has already been taken, i.e. forming OLAF from UCLAF - an independent institution - we now take the second step and create a legal framework for OLAF, in order that OLAF too might operate within a secure legal framework.
Dafür brauchen wir die europäische Generalstaatsanwaltschaft, die dafür sorgt, daß es eine klare Rechtsgarantie gibt, auch für Verdächtige.	We will need the European Public Prosecutor' s Office for this, which will see to it that there are clear legal guarantees, also for suspects.
Ich muß allerdings dazu sagen, daß meine Fraktion leider nicht geschlossen für Ihren Bericht stimmen wird.	Having said all that, I must say that unfortunately, my group will not be voting for your report as a united front.
Ich hoffe, die Debatte überzeugt noch einige.	I hope that the debate will convince a few more people.
Aber die Bedenken sind leider immer noch zu groß, daß es hier zu einer europäischen Institution kommt, die Subsidiarität abbaut.	Unfortunately, however, people still have too many misgivings to the effect that this will be the kind of European institution that undermines subsidiarity.
Ich werde aber meinen Teil dazu beitragen, daß Frau Theatos Bericht größere Unterstützung findet.	But I will do what I can to see that Mrs Theato' s report receives more support.
