Die EU hat ein massives Kommunikationsproblem. Ihr Image ist schlecht.	The EU has a massive communications problem and a bad image.
Der schlimmste Vorwurf von den Bürgern ist, dass wir zu bürokratisch sind, unsere Gesetze zu abgehoben sind und ihnen nichts bringen. Natürlich stimmt das so nicht.	The worst thing that the public accuse us of is that we are over-bureaucratic, with laws that are too divorced from reality and that bring them no benefit.
Aber genau das müssen wir kommunizieren. Hier versagen wir oft.	That is not, of course, true, but it is in that very area that we have to get the message across, and that we often fail to do.
Jüngstes Beispiel: die EU-Sicherheitsvorschriften über das Handgepäck beim Fliegen.	The latest example of this was the EU's safety regulations relating to hand luggage on aircraft.
Wer die Bürger darüber am Flughafen sprechen hört, erfährt, wie sehr sie sich darüber aufregen. Doch der Brandstifter ist in ihren Augen nicht Osama Bin Laden oder irgendeine andere Terrorfigur, sondern Brüssel.	Listen to members of the public talking about this at an airport, and you will get some idea of just how worked up they get about this, but they see the villain as being Brussels rather than Osama bin Laden or some other terrorist figure.
Wir sind es, die Schuld daran haben, dass sie nun nicht einmal mehr eine Wasserflasche mit an Bord nehmen dürfen. Wir werden verhöhnt, wenn wir 100-ml-Behälter verlangen, obwohl es solche Behälter im gesamten EU-Binnenmarkt nicht gibt.	It is we who are blamed for their no longer being able to take even a bottle of water on board with them, and we who are mocked when we insist on 100 ml containers, even though such containers are available nowhere in the EU's single market.
Nun frage ich die Kommission, die ja genau dieses Geheimgesetz formuliert hat: Was haben Sie getan, um die Kommunikation in dieser Angelegenheit zu verbessern? Haben Sie an alle Fluggäste Flugblätter verteilt, in denen Sie die Bürger um Verständnis bitten?	Now, since it was the Commission that drafted this secret legislation, I will ask them just what they did to improve the way in which this was communicated; did they distribute leaflets to every passenger, asking them for their forbearance?
Ich habe nichts davon wahrgenommen.	If they did, I heard nothing of it.
Haben Sie sich auf Medienberichte verlassen? Das ist zu wenig.	Did they put all their trust in media reports?
Sie müssen sich direkt an die Bürger wenden, denn Sie greifen direkt in ihr Leben ein. Sie schränken mit diesen Sicherheitsbestimmungen ihre Freiheiten ein.	That is not enough; what you have to do is address the public directly, for you are interfering directly in their lives, and, since it is their freedoms that you are restricting by means of these security rules, you have to come up with some very good arguments in favour of them.
Deshalb müssen Sie sehr gute Argumente haben. Das ist Kommunikationsarbeit.	That is what communication is about.
