Ihre Antwort, Herr Ratspräsident, ist meiner Meinung nach völlig unzureichend!	In my opinion, Mr President, your answer is completely unsatisfactory.
Sie sagen, es fehlen konstruktive Vorschläge.	You say that there are no constructive proposals.
Ich frage, von wem?	But from whom?
Ich meine, diese konstruktiven Vorschläge fehlen vom Rat, bestimmt nicht vom EP!	In my opinion, these constructive proposals are lacking on the part of the Council, and certainly not on the part of the European Parliament!
Wir haben bereits des öfteren zu dem Problem der Treibnetze Stellung genommen.	We have already, on many occasions, given our opinion on the problem of driftnets.
Völlig zu Recht haben wir diese in der Vergangenheit stets verboten, denn die öffentliche Meinung, die wir hier vertreten, sieht den Schutz der Meereslebewesen und die Erhaltung des ökologischen Gleichgewichts durch diese Netze bedroht.	In the past, we have always prohibited them - quite rightly - because public opinion, which is what we represent here, regards the protection of marine creatures and the maintaining of the ecological balance as being threatened by these nets.
Fischerei bedeutet auch Sicherung der wirtschaftlichen und sozialen Lebenssituation der Menschen.	The fishing industry also means safeguarding people's economic and social living conditions.
Hier müssen wir aber äußerst umsichtig agieren, insbesondere zu einem Zeitpunkt und an den Orten, wo die verfügbaren Fischereiressourcen Einbußen zu verzeichnen haben.	However, we must be extremely careful here, particularly at a time when those areas where fishery resources are available are experiencing losses.
Die Verwendung von Treibnetzen zieht insbesondere zwei negative Folgen nach sich: Zunächst ist problematisch, daß bei ihrem Gebrauch hinsichtlich der gefischten Arten nicht selektiert wird.	The use of driftnets brings with it two negative consequences. First of all there is the problem that when driftnets are used the species to be caught cannot be selected.
Darüber hinaus werden durch die sogenannten Geisternetze sinnlos Meereslebewesen getötet.	In addition, sea creatures are senselessly killed by these so-called 'ghost nets' .
Auch wenn die Fischereiproblematik im Nordpazifik, Südpazifik, Nordatlantik, Südatlantik, im Ostseeraum, im Mittelmeerraum sowie in der Zwölfmeilenzone differenziert werden muß, so bleibt doch festzuhalten, daß grundsätzlich die Verwendung von Treibnetzen überall in gleichem Maße verhängnisvoll ist.	Even if we have to make a distinction between the fishing problems in the North Pacific, the South Pacific, the North Atlantic, the South Atlantic, the Baltic Sea, the Mediterranean and within the twelve-mile limits, the fact remains that, basically, the use of driftnets is disastrous everywhere.
Wir sollten uns in dieser Angelegenheit gemäß unseres seinerzeitigen Beschlusses weiterhin beispielhaft verhalten.	We should continue to set an example on this issue, in accordance with our previous decision.
Eine Aktualisierung ist notwendig.	Some updating is needed.
Die möglicherweise revidierte Annahme des Kommissionsvorschlages von 1994 ist im Rat daher unerläßlich und dringend eilbedürftig.	The Council's acceptance, possibly revised, of the Commission's 1994 proposal is therefore absolutely vital and a matter of great urgency.
Um ihre Interessen und Werte und die der anderen Gemeinschaften und Länder zu verteidigen, muß die EU bei sich und den internationalen Instanzen die geeigneten Wege für ein sofortiges und angemessenes Verbot der Einsätze von Treibnetzen finden, parallel mit den erforderlichen wirksamen Kontrollmaßnahmen.	In order to defend its interests and values, and those of other communities and countries, the EU must find a way, within its own institutions and within the international bodies concerned, to achieve an immediate and appropriate prohibition on the use of driftnets, and at the same time come up with the necessary effective control measures.
