Herr Präsident! Straßenverkehrssicherheit ist ein wichtiges europäisches Thema.	Mr President, road safety is an important subject in Europe.
Wir müssen noch viel tun, um jenes höhere Maß an Sicherheit für die Verkehrsteilnehmer und für die Umwelt entlang der Verkehrswege zu gewährleisten, das wir uns alle wünschen.	There is still a lot to be done to ensure that we achieve the high level of safety for road users, and for the environment along our transport routes, that we all would like.
Dafür brauchen wir auch Vorschriften.	To this end, we also need rules and regulations.
Aber Papier ist bekanntlich sehr geduldig, und zu viel Papier kann schädlich sein.	However, paper, as we know, is patient, and too much paper can be harmful.
Der seinerzeitige erste Entwurf hat außer viel neuer Bürokratie genau diesen Mangel gehabt - zu viel Ballast und zu wenig Inhalt. Deshalb haben wir ihn in erster Lesung an den Ausschuss zurückverwiesen.	Apart from introducing a great deal of new red tape, the first draft presented had precisely that flaw: it was heavy on rhetoric and light on substance, which is why we referred it back to committee at first reading.
Jetzt im zweiten Anlauf sieht die Sache schon anders und - ich formuliere es vorsichtig - ein bisschen besser aus.	The second time round, things look rather different and - being cautiously optimistic - they look a little better.
Renate Sommer hat bereits darauf hingewiesen, was die Hauptinhalte dieses jetzigen Textes sind.	Mrs Sommer has already talked about the basic content of the current text.
Wir wollen einen Leitliniencharakter und keinen verbindlichen Charakter.	What we would like is something which is more of a guideline and is not binding in nature.
Wir wollen die bewährten Praktiken austauschen und ausgetauscht haben. Wir wollen aber nicht das eine oder andere vorschreiben.	We want to have an exchange of good practice, but we do not to be prescriptive.
Wir wollen im Besonderen auch, dass die Anhänge keinen verbindlichen Charakter für die Mitgliedstaaten haben.	Above all, we do not want the annexes to be binding on the Member States.
Wir beschränken uns ganz bewusst auf das europäische Straßennetz.	We are quite deliberately limiting ourselves to the TENs.
Da hier sehr viele Kollegen davon gesprochen haben, dass auch auf dem niederrangigen Verkehrsnetz sehr viel passiert und passieren kann, weise ich darauf hin, dass nichts die Mitgliedstaaten daran hindert, dort tätig zu werden.	Many of our fellow Members have said that a great deal happens, and can happen, in the other road networks too, and in response to that, I would point out that there is nothing to stop Member States taking action here.
Im Gegenteil, wir würden uns alle freuen, wenn die Mitgliedstaaten dort ihren ureigensten Aufgaben nachkommen und nicht in jedem einzelnen Fall darauf warten, dass Europa ihre Arbeit erledigt.	On the contrary, we would all be delighted if the Member States were to do their job and not simply sit back and wait, in every case, for Europe to take action.
So gesehen glaube ich, dass wir, wenn wir auch noch die Bürokratie reduziert haben, auf diese Weise einen konstruktiven Beitrag zu diesem Thema geleistet haben und leisten können.	From that point of view, I think that if we have reduced red tape, we have made a constructive contribution to this subject, and can continue to do so.
Und da jetzt im informellen Trilog auch ein Konsens mit dem Rat erzielt wurde, können wir dieses Thema sogar in erster Lesung abschließen.	What is more, as a consensus was reached with the Council in the informal trialogue, we can conclude this matter at first reading.
Jetzt brauchen wir nur noch umzusetzen - das ist aber Aufgabe der Mitgliedstaaten.	All that remains is implementation, and that is a task for the Member States.
