Herr Präsident! Es ist gut, dass der EU-Afrika-Gipfel stattgefunden hat.	Mr President, it is good that the EU-Africa Summit has taken place.
Wir sehen jetzt klarer.	We see more clearly now.
Wir haben eine Strategie, wir haben einen ersten Aktionsplan.	We have a strategy and a first action plan.
Wir als EP werden dessen Implementierung eng begleiten.	We in the European Parliament shall monitor their implementation closely.
Als Vorsitzender der Delegation für die Beziehungen zum Panafrikanischen Parlament darf ich sagen: Wir werden das gemeinsam mit unseren afrikanischen Kollegen tun.	As chairman of the delegation for relations with the Pan-African Parliament, I can tell you that we shall be doing that together with our African counterparts.
In Sachen verantwortungsvolle Staatsführung haben wir auf unserem parlamentarischen Vorgipfel in einer Erklärung unter anderem geäußert, dass wir überzeugt sind, dass durch eine Stärkung der Kapazität der afrikanischen Parlamente diese bisher vernachlässigten Institutionen einen effektiven Beitrag zur verantwortungsvollen Staatsführung und zur Kontrolle der Implementierung der Politiken leisten könnten.	In the realm of good governance, we issued a joint statement at our parliamentary pre-summit meeting which included an expression of our conviction that measures to strengthen the capacity of African parliaments would enable those institutions, which had previously been overlooked, to make an effective contribution to good governance and to scrutiny of policy implementation.
Dazu brauchen wir die entsprechenden Mittel in den konkreten Programmen der Kommission und der Mitgliedstaaten.	To this end we need adequate resources to be earmarked in the specific programmes of the Commission and the Member States.
In Sachen Menschenrechte erleben wir, dass Afrikaner die eigenen Reihen schließen, wenn aus Europa berechtigte Kritik an Zuständen in konkreten Ländern kommt.	On human rights, we see Africans closing ranks whenever warranted criticism of conditions in specific countries is voiced in Europe.
Vereinzelte distanzierende Äußerungen von der Politik Mugabes im Vorfeld des Gipfels wurden auf dem Gipfel der eigenen Geschlossenheit untergeordnet.	Sporadic remarks from delegates dissociating themselves from Robert Mugabe's policies before the summit gave way to a united front at the summit itself.
Ich danke der deutschen Kanzlerin Angela Merkel, dass sie im Auftrag aller deutliche Worte zu Simbabwe gefunden hat.	My thanks go to the German Chancellor, Angela Merkel, for expressing herself clearly on Zimbabwe on behalf of all of us.
Beim Thema Wirtschaftspartnerschaftsabkommen denke ich aber, dass wir ein echtes Problem haben.	On the subject of economic partnership agreements, however, I believe we have a real problem.
Es kann nicht Ziel der EU sein, faktisch die SADC oder SACU, die Zollunion des südlichen Afrikas, zu desintegrieren, indem wir mit einigen Ländern Interimsabkommen schließen, mit anderen nicht.	It cannot be the aim of the EU to bring about the effective disintegration of the Southern African Development Community or the Southern African Customs Union by concluding interim agreements with some countries and not with others.
Bei diesem Thema argumentiert Präsident Mbeki sachlich, beim Thema Simbabwe ist er eher Partei.	On this subject, President Mbeki argues objectively, whereas on the subject of Zimbabwe he tends to adopt a more partisan stance.
Ich fordere den Rat in Sachen Wirtschaftspartnerschaftsabkommen auf, der Kommission für die Verhandlungen ein flexibleres Mandat zu erteilen, damit unerwünschte Effekte wie die Unterbrechung der Handelsströme für die Nicht-LDC-Länder nicht lediglich aufgrund des Zeitablaufs am 1. Januar eintreten.	With regard to economic partnership agreements, I call on the Council to give the Commission a more flexible negotiating mandate so that unwanted effects like the interruption of trade flows for non-least-developed countries (non-LDCs) do not occur on 1 January simply because of the expiry of the present trade arrangements.
Ja, WTO-Kompatibilität ist erforderlich! Aber um das zu erreichen, muss wohl auch ein gewisser Grad an Kreativität möglich sein.	Yes, WTO-compatibility is essential, but it must also be possible to exercise a certain degree of creativity in order to achieve it.
Manchmal kann man auch mal für begrenzte Zeit die Uhren anhalten.	Sometimes the stopwatch can be put on hold for a limited time.
Wir sind ja selbst auch alle WTO-Mitglieder.	All of our countries, after all, are WTO members too.
