Herr Präsident!	.
Mit unseren Entschließungen vom 18. November 2004 und 13. Januar 2005 und massiven diplomatischen Protesten sowie Aktionen von Menschenrechtsorganisationen haben wir einiges erreicht: Die Todesstrafe gegen den angesehenen Lama Tenzin Delek Rinpoché wurde in eine lebenslange Haft umgewandelt. Chinesische Behörden werfen ihm vor, er sei ein Krimineller.	Mr President, the resolutions we adopted on 18 November 2004 and 13 January 2005, combined with massive diplomatic protests and the actions of human rights organisations did have some results, for they did bring about the commutation of the death sentence passed on the respected Lama Tenzin Delek Rinpoche to one of life imprisonment.
Er untergrabe die Sicherheit des Staates. Seine angebliche Beteiligung an Sprengstoffanschlägen wurde nicht nachgewiesen.	The Chinese authorities regard him as a criminal, accusing him of undermining the security of the state, and – without any evidence – of involvement in bomb attacks.
Eine faire Gerichtsverhandlung unter internationaler Beobachtung wird nach wie vor verweigert.	They continue to refuse him a fair trial with international observers present.
Der wahre Grund für seine Inhaftierung – da stimme ich ausdrücklich meinen beiden Vorrednerinnen zu – ist sein großer Einfluss auf die Tibeter und seine Unterstützung für den Dalai Lama. Das aufgehobene Todesurteil scheint jetzt auf eine andere Art vollstreckt zu werden.	Where I am in full agreement with both the previous speakers is that the real reason for his imprisonment is his great influence on the Tibetan people and his support for the Dalai Lama.
Nach seinem Martyrium von Folterungen und Isolationshaft kann er weder reden noch sich bewegen. Sein Zustand ist lebensbedrohlich.	The death sentence may well have been annulled, but it appears to be being carried out by other means; having endured torture and solitary confinement, he is now unable either to speak or to move, and his life is hanging in the balance.
Alle Fraktionen unseres Hauses fordern die Chinesen auf, unverzüglich die Haftbedingungen zu verbessern und sich wortgetreu an die UN-Konvention über die Behandlung von Gefangenen zu halten.	All this House’s political groupings call on the Chinese to delay no longer in improving the conditions under which he is held and to comply strictly with the terms of the UN Convention on the Treatment of Prisoners.
Wir bestehen auf der Zusicherung des freien Zugangs zu Tenzin Rinpoché für Manfred Nowak, den Sonderberichterstatter der Vereinten Nationen über Folter. Er wird in drei Wochen auf einer Inspektionsreise in China sein.	We insist that Manfred Nowak, the United Nations Special Rapporteur on Torture, be given free access to Tenzin Rinpoche; he will be arriving in China on an inspection mission in three weeks’ time.
EU-Kommission, Rat und Mitgliedstaaten müssen das weitere Schicksal der politischen Gefangenen in diesem Land eng mit der Aufrechterhaltung des Waffenembargos gegen China verknüpfen.	The European Commission, the Council and the Member States must establish a close connection between the ongoing fate of China’s political prisoners and the maintenance of the arms embargo imposed on that country.
Solange Menschenrechte missachtet werden, muss das Embargo ohne jede Lockerung bestehen bleiben.	The embargo must remain in place, without any relaxation, for as long as human rights abuses continue.
Die chinesische Botschaft in Brüssel hat versucht, zu intervenieren. Sie behauptet, es gehe um interne Angelegenheiten.	The Chinese Embassy in Brussels has attempted to intervene, claiming that these are internal matters, and that no external organisations or individuals have the right to interfere.
Keine Organisation und kein Einzelner habe das Recht, sich von außen einzumischen. Diese bedrückenden Äußerungen setzen etwas fort: die unbefriedigenden Ergebnisse des EU-China-Gipfels vom 5. September und die fehlenden konkreten Erfolge beim Menschenrechtsdialog.	These oppressive utterances constitute yet another example of the unsatisfactory outcome of the EU/China Summit of 5 September and of the failure of the human rights dialogue to yield tangible fruit.
Die EVP-ED-Fraktion weist nachdrücklich darauf hin, dass die internationalen Wertestandards eingehalten werden müssen.	The Group of the European People’s Party (Christian Democrats) and European Democrats wishes to stress the need for international standards and values to be maintained.
Es gibt ein wichtiges Signal für alle diejenigen, die aus politischen, religiösen oder kulturellen Gründen verfolgt werden, denn die Europäische Union macht die Zusammenarbeit mit allen Ländern davon abhängig, dass die Menschenrechte respektiert werden – ohne jede Ausnahme.	What does send a powerful signal to all those who are persecuted for political, religious or cultural reasons is the European Union’s insistence on cooperation with any country being conditional – without any exception – on its respect for human rights.
Wer Kooperation statt Konfrontation will, der muss die Menschenrechte achten und darauf verzichten, sie zu verletzen. Menschenrechte gelten universell!	Those who want confrontation to give way to cooperation must uphold human rights and refrain from violating them, for human rights are universal in their application.
