Herr Präsident!	.
Wir alle haben miteinander das große und ehrgeizige Ziel, aus Europa den modernsten, attraktivsten Wirtschaftsraum der Welt für Unternehmen und Arbeitnehmer zu machen.	Mr President, ladies and gentlemen, we have all set ourselves the ambitious target of turning Europe into the most modern and most attractive economic region in the world for enterprises and workers.
Wie so häufig gibt es nicht über das Ziel, sondern über den Weg zu diesem Ziel einen Streit.	As is so often the case, there is conflict not about the target, but about how to achieve this target.
Die einen meinen, durch völlige Freiheit der unternehmerischen Tätigkeit werde dieses Ziel gewährleistet, die anderen glauben, dies durch Bändigung und Regulierung des Turbokapitalismus zu erreichen.	Some people believe that this target will be achieved through completely free entrepreneurial activity: others through controlling and regulating turbo capitalism.
Die Wahrheit besteht natürlich darin, zwischen den beiden Aspekten eine intelligente Kombination zustande zu bringen.	Of course, the truth lies in coming up with an intelligent combination of the two approaches.
Wir brauchen für den wirtschaftlich attraktivsten Raum der Welt höchste Effizienz unserer Wirtschaft, und wir brauchen gleichzeitig die humane Orientierung, also die soziale Marktwirtschaft.	To make our economic area the most attractive in the world, our economy needs to be highly efficient. At the same time it needs to be human driven and take the form of a social market economy.
Der Berichterstatter Bullmann vermittelt also eine Vielzahl von Definitionen über wichtige Strukturindikatoren, die dann wieder Anleitung geben sollen für richtiges Handeln.	Mr Bullmann has given us a lot of definitions of important structural indicators, which are intended to give us pointers for the correct approach to take.
Dadurch entsteht natürlich in der Tat die Problematik einer Belastung der mittleren Unternehmen.	This in fact gives rise to the problem of increased burdens on medium-sized enterprises.
Deswegen unterstützen wir den Antrag der Liberalen, dass durch die neuen Statistiken nicht die mittelständischen Unternehmer belastet werden dürfen; man muss auf vorhandenes Material zurückgreifen.	That is why we support the proposal made by the Group of the Europe Liberal, Democratic and Reform Party that new statistics must not mean that medium-sized enterprises will have to shoulder a greater burden; existing material must be resorted to.
Zu viel Wissen verführt natürlich auch zu allzu häufigen Eingriffen, und dies könnte die Perspektiven der Wirtschaft verdunkeln.	Too much knowledge leads to all too frequent interventions, and this could blacken the prospects for the economy.
Die Problematik der Zukunft besteht also darin, mit den Daten und den neuen Fakten, die wir zur Verfügung haben, das Richtige zu tun.	The problem for the future consists in doing the right thing with the data and new facts at our disposal.
Es geht also darum, den Wettbewerb der Systeme und das private Engagement zu fördern.	It is therefore about fostering competition between systems, and private involvement.
Gleichzeitig brauchen wir natürlich in der Tat auch Regeln für den Wettbewerb der Systeme.	At the same time we also need rules to make sure that our systems are competitive.
Ein Blick in mein eigenes Land zeigt, wie man es derzeit nicht machen soll.	A look at my country is enough to show what should not be done: the extension of codecision in Germany.
Ich spreche von der Ausweitung der Mitbestimmung in Deutschland. Man sagt in meinem Land: Wegen der Dynamik der Wirtschaft sollen nun mehr Betriebsräte eingeführt werden, praktisch auch für jeden mittleren Betrieb.	In my country it is argued that, because of the dynamics of the economy, more works councils should be set up which, for practical purposes, means for all medium-sized enterprises.
Man stelle sich dies vor, nicht nur für die großen, nein für die mittleren Betriebe sollen neue Betriebsräte eingeführt werden.	Just imagine it if you can: new works councils are to be set up not only for large enterprises, but also for medium-sized enterprises. Now, that is nonsense.
Zu Recht steht so ein Unsinn, beinahe hätte ich gesagt nicht einmal im Bericht Bullmann, weil da zwar alles drinsteht von der Entwicklung der Forschung bis zur Pensionsregelung, aber eben Gott sei Dank nichts von einer Ausweitung der Mitbestimmung.	Not even the Bullmann report would argue to that effect, and rightly so. There is everything in there, from the development of research to pension regulations, but thankfully he does not say anything about extending codecision.
In diesem Konzept und in diesem Punkt geht im Augenblick die rot-grüne Regierung in Deutschland einen Irrweg, der durch europäische Analysen weder gedeckt noch gefordert wird.	By sticking with this concept, the red-green coalition in Germany is treading a misguided path, which is neither covered nor called for by European analyses.
So erweist sich das größte Europaland, nämlich Deutschland, in diesem Punkt als nicht fähig, der neuen Herausforderung als attraktivster Wirtschaftsraum der Welt wirklich hier zu begegnen.	So, on this point, Germany, the biggest country in Europe, is showing itself to be incapable of meeting the new challenges as the most attractive economic area in the world.
Nein, im Augenblick leistet die rot-grüne Regierung diesem Aspekt der europäischen Herausforderung einen echten Bärendienst.	No, the red-green coalition is doing this aspect of the European challenge a real disservice.
Der Strohhalm, den man den Gewerkschaften in Deutschland reicht, weil sie einen abnehmenden Einfluss haben, ist vergiftet.	The token gesture that has been made to the trades unions in Germany because their influence is decreasing, is a poisoned chalice.
Viele in unserer Fraktion befürchten, dass in dem vorliegenden Bericht zu viel Detailwissen und Detailanalysen enthalten sind.	Many in our group fear that the report before us contains too much detailed knowledge and detailed analyses.
Auf diese Problematik müssen wir Rücksicht nehmen.	We must take this problem into consideration.
Die Grundbotschaft, dass die europäische globalisierte Welt und die Europäer hier in dieser globalisierten Welt aufrecht erhalten bleiben müssen, lautet: Vor allem muss unsere Wirtschaft wettbewerbsfähig bleiben und darf auch durch diesen Bericht nicht eingeschränkt werden.	The basic message that the European globalised world and the Europeans in this globalised world must take with them is that, above all, our economy must remain competitive and must not be restricted by this report.
Was wir allerdings zusätzlich brauchen, das steht noch nicht drin - das ist die nächste Phase der Analyse.	However, what we also need - which is missing in the report - is the next phase of the analysis.
Wir brauchen für den globalen Wettbewerb auch zusätzliche globale Spielregeln.	We need more global rules for global competition.
