Herr Präsident, auch ich möchte dem Berichterstatter für seinen Bericht danken und ihm gratulieren.	Mr President, I too want to thank the rapporteur for his report and congratulate him.
Der Transportausschuß insgesamt freut sich über dieses Abkommen, weil besonders im Bereich Transport die Schwierigkeit bekannt war, dort ein Abkommen zu finden, das zwischen Wettbewerb und Umwelt ein gutes Gleichgewicht herstellen und auch beide Partner zu einer zufriedenstellenden Lösung bringen sollte.	The Committee on Regional Policy, Transport and Tourism as a whole is pleased about this agreement because it was well known how very difficult it was to reach a transport agreement which established a fair balance between competition and the environment and which would also produce a satisfactory solution for both sides.
Die beiden Abkommen, die uns direkt betrafen und die wir analysiert haben, betreffen Luftfahrt, Straßen und Schiene.	The two agreements that directly concerned us, and that we have analysed, concern air transport and road and rail transport.
Dabei ist festzuhalten, daß, was die Luftfahrt betrifft, die Schweiz selbstverständlich bereits Mitglied zahlreicher internationaler Konferenzen und auch Organisationen ist und somit in ihrem Recht einiges übernommen hat, was man auf europäischer Ebene als Acquis communautaire betrachtet.	Here we must note, with regard to air transport, that Switzerland is, of course, already a member of numerous international conferences and organisations and has therefore incorporated in its legislation quite a few aspects of what we in the EU regard as the acquis communautaire.
Die größte praktische Bedeutung kommt der Übernahme der Verordnung der Liberalisierungspakete zu.	Its adoption of the regulation on the liberalisation packages is the most practically significant measure.
Der Transportausschuß betrachtet als kleine Schwäche, daß das Duty-free-Abkommen in diesem Fall nicht für die Schweiz anwendbar ist.	The Transport Committee regards it as a small weakness that the duty-free agreement is not applicable to Switzerland in this case.
Schwieriger und auch interessanter ist die Diskussion in bezug auf Straße und Schiene, wo wir feststellen müssen, daß das Experiment, das hier vorgeschlagen wird, ein sehr interessantes ist.	The road-rail discussion is a more difficult and also a more interesting one. We think the experiment being proposed here is most interesting.
Einerseits wird die Schweiz progressiv auf die Reduzierung der Lkw verzichten.	On the one hand, Switzerland will gradually forego reducing the number of heavy goods vehicles.
Sie wird 34 bis 40 Tonnen bis zum Jahre 2004 gestatten, andererseits wird sie dementsprechend auch die Kontingente abschaffen.	It will allow vehicles of 34 to 40 tonnes up to the year 2004; on the other hand, it will abolish the quotas accordingly.
Letztlich wird das dann durch eine Gebühr ersetzt, also durch Straßengebühren, die durchschnittlich bei ca. 200 Euro liegen.	Eventually it will replace this system with a road tax, of approximately EUR 200 on average.
Da werden Sie verstehen, daß da natürlich einige Kritik seitens der Transportunternehmer kommt.	So you can understand why the transport operators are rather critical of that.
Die Kritik ist in meinen Augen auch gerechtfertigt, weil diese Gebühren in unseren Augen den möglichen Investitionen der Transportunternehmen für umweltfreundliche Lkw nicht genügend Rechnung tragen.	And in my view their criticism is fair because we believe these road taxes do not take sufficient account of the fact that the transport operator may invest in environment-friendly lorries.
Aber noch wichtiger war für den Transportausschuß, daß in diesem Abkommen Weichen gesetzt werden, die an und für sich komplett der Transportpolitik der EU entsprechen: einerseits die Straße entlasten, andererseits die Schiene unterstützen.	But what the Transport Committee considered even more important was that this agreement points the way to a transport policy entirely in line with that of the EU: reducing the burden on the roads while supporting transport by rail.
Das, was hier zwischen der EU und der Schweiz geschehen wird, hat für uns Pilotcharakter, und das gilt auch für die Analyse der Möglichkeiten, um das, was wir als theoretische Verkehrspolitik betrachten, dann auch in die Tat umzusetzen.	We believe the proposed agreement between the EU and Switzerland is a pilot agreement; the same applies to the analysis of the means by which what we regard as a theoretical transport policy may subsequently be put into practice.
