im Namen der Verts/ALE-Fraktion. - Frau Präsidentin!	Madam President, I shall be brief.
Ich mache es ganz kurz. Für meine Fraktion, die den Ansatz der Kommission im Grundsatz begrüßt, sind fünf Punkte wichtig.	From the point of view of my group, which welcomes the Commission's approach in principle, there are five important points.
Wir wollen, dass der neue Ansatz, den die Kommission vorschlägt, nicht zur Bildung von Oligopolen führt.	We want to ensure that the new approach proposed by the Commission does not result in the formation of oligopolies.
Wir haben bei der Versteigerung von UMTS-Lizenzen in Deutschland negative Erfahrungen gemacht.	Germany has had bad experiences with the auctioning of UMTS licences.
Wir wollen, dass Vielfalt sichernde Dienste unbedingt Vorrang genießen.	Our group wants services ensuring diversity to take priority at all times.
Ich schließe an Frau Trautmann an: Rundfunkveranstalter sollen immer mit besonderem Respekt für ihre Aufgaben, für unsere Gesellschaften und die Öffentlichkeit behandelt werden.	I agree with Mrs Trautmann that broadcasters should always enjoy particular respect for the job they do, for our societies and the public.
Wir wollen, dass Technologieneutralität und Interoperabilität gewährleistet werden.	We want to see technical neutrality and interoperability.
Wir wollen, dass tatsächlich eine flächendeckende Versorgung gewährleistet wird.	We want to really see blanket coverage.
Das ist auch für Sie als Kommissarin, die für den ländlichen Raum mit zuständig ist, wichtig.	This is important to the Commissioner, too, since she bears co-responsibility for rural affairs.
Wir wollen im ländlichen Raum nicht weiter benachteiligt werden und wollen auch Zugang zu schnellen Internetangeboten haben.	We in rural areas do not want to be disadvantaged any more, and we, too, want access to high-speed Internet connections.
Auch sollen in Zukunft, wenn es denn zu Versteigerungen kommt, die Verfahren komplett transparent und nachvollziehbar gehandhabt werden.	In addition, the procedures for auctions should be fully transparent and comprehensible in future.
