Der Freitagmorgen ist in Straßburg ja der Tag des größten Andrangs.	Friday morning in Strasbourg is the day when there is the most pressure.
Hier wird morgen das Plenum bersten vor Kolleginnen und Kollegen, die sich hier reindrängen, um über den Bericht der Kollegin Giannakou abzustimmen.	Tomorrow the plenary sitting will be bursting with Members crowding in to vote on the Giannakou report.
Also, wenn es fünfzig sein werden, sind es viele.	If there are fifty, that will be a lot.
Das erlaube ich mir zu bemerken, weil es in einem krassen Widerspruch zu der sonstigen Behauptung steht, daß der Bericht von Frau Giannakou ja so besonders wichtig sei und man über ihn deshalb unverzichtbar noch in dieser Woche unbedingt diskutieren und abstimmen müsse.	I venture to make this comment because it is a glaring contradiction to the other assertion that Mrs Giannakou' s report is so important and it should therefore absolutely be discussed and voted on this week.
Das ist keine Logik, die dahinter steckt.	There is no logic behind that.
In der Tat ist der Bericht der Kollegin ein wichtiger Bericht und muß sehr sorgfältig diskutiert werden, unter anderem deshalb sehr sorgfältig, weil die Aussprache über den Bericht wieder einmal gezeigt hat, daß die Drogenpolitik in der Europäischen Union zu den kontroversesten Themen gehört, die wir überhaupt zu beraten haben.	In fact, our colleague' s report is an important report and must be discussed very carefully, among other reasons because the debate on the report has once again shown that drugs policy in the European Union is one of the most controversial subjects that we have ever had to discuss.
Zunächst eine Bemerkung an die Berichterstatterin.	I would first of all address a comment to the rapporteur.
Ich finde, Frau Giannakou hat sich viel Mühe gegeben, zu dem Aktionsplan in einer Form Stellung zu nehmen, die auf Konsens ausgerichtet war und die darauf angelegt war, die unterschiedlichen Betrachtungsweisen, die es nicht nur quer durch die politischen Familien gibt, sondern die auch durch die nationalen Traditionen geprägt sind, die unterschiedlichen Aspekte und die zum Teil sich widerstrebenden Interessen zu integrieren.	I believe that Mrs Giannakou has taken a lot of trouble to give an opinion on the action plan in a form that was geared to a consensus and was determined in such a way as to integrate the different ways of looking at the situation that not only go right through the political "families" but are also characterised by national traditions, by different factors and by partially conflicting interests.
Dafür auch von unserer Fraktion einen herzlichen Dank an die Berichterstatterin.	So our Group wishes to thank the rapporteur most warmly.
Ich sage das auch im Namen meines abwesenden Kollegen Jan Andersson, der als schwedischer Abgeordneter - ich komme darauf gleich noch einmal zu sprechen - in einer besonders schwierigen Situation war, weil Schweden eines der Mitgliedsländer ist, das bei der Drogenpolitik einen sehr speziellen, aus der nationalen Erfahrung und aus der nationalen Tradition gespeisten Ansatz hat, und der trotzdem, wie ich finde, mit Ihnen, Frau Kollegin, gerade bei den Kompromißänderungsanträgen dafür gesorgt hat, daß dieser Bericht eigentlich so angelegt ist, daß er eine breite Zustimmung finden wird.	I will say on behalf of my absent colleague Jan Andersson, who as a Swedish Member of Parliament - I shall speak about that again in a minute - was in a very difficult position, because Sweden is one of the Member States that has a very special approach to drugs policy, owing to its national experience and national tradition and which despite this I believe, as you do, Mrs Giannakou, with the compromise amendments have ensured that this report is actually structured in such a way that it will receive broad approval.
128 Änderungsanträge waren eingebracht worden, und Sie haben dann schließlich 17 oder 18 Kompromißänderungsanträge formuliert, die dabei helfen sollten, diese Fülle von Änderungsanträgen so zu bündeln, daß am Ende ein in sich logischer und schlüssiger Bericht des Parlaments zu diesem Aktionsplan herauskommt.	128 amendments were submitted and you finally formulated 17 or 18 compromise amendments that should help to focus this profusion of amendments so that in the end a logical and conclusive report by the Parliament emerges on this action plan.
In sich logisch und schlüssig heißt immer, drei unverzichtbare Elemente mit zu berücksichtigen.	The words "logical" and "conclusive" really mean that three essential aspects have to be taken into consideration.
Erstens: Wir alle, ob Konservative oder Linke in diesem Hause, müssen uns darüber im klaren sein, und ich glaube, daß sind wir auch, daß der Ansatz bei der Drogenpolitik immer von einem ausgehen muß: Die drogenabhängigen Menschen bedürfen vom Grundsatz her nicht der Strafe und der Verfolgung, sondern der Hilfe und der Unterstützung.	Firstly, all of us, whether on the right or left of this House must be clear and I do believe that the approach to drug policy must start from one premise: drug addicts do not on principle need punishment and persecution but help and support.
Das ist eigentlich eine Selbstverständlichkeit.	That is really self-evident.
Warum muß ich sie hier noch einmal erwähnen?	Why do I have to mention that again here?
Weil sich die Art und Weise, wie man diesem Menschen, der betroffen ist, hilft, wieder in die Gesellschaft zurückzukehren, wie man sein persönliches individuelles Leid reduziert, immer auch speisen können muß aus spezifischen regionalen, lokalen und nationalen Erfahrungen.	Because the way in which we help these people to reintegrate into society, the way in which we reduce their personal, individual suffering must derive from specific regional, local and national experiences.
Deshalb kann es keine verordnete europäische Drogenpolitik geben, sondern es muß einen europäischen Rahmen geben, innerhalb dessen aus den jeweiligen spezifischen Erfahrungen der lokalen und regionalen Behörden dem betroffenen Menschen, der im Zentrum zu stehen hat, geholfen werden kann.	So there cannot be an officially prescribed European drugs policy but there must be a European framework within which help can be provided to the people affected who are the focus here, on the basis of the specific experiences of the local and regional authorities.
Zweites Element: Wir müssen bei der Drogenpolitik im Auge behalten, daß in kaum einem anderen Kriminalitätszweig in Europa mehr Geld verdient wird als im Drogenhandel.	The second aspect is that in our drugs policy we must bear in mind that in hardly any other branch of crime in Europe is more money earned than in the drug trade.
Das bedeutet, wenn wir von Angebotsreduzierung reden, ist das ein Element, das ganz wichtig ist, das immer aber beinhaltet, daß wir diejenigen, die auf dem Markt anbieten, ohne Rücksicht verfolgen müssen.	That means that we can talk about reducing the supply, which is a very important factor but it still means that those people who supply drugs on the market must be pursued regardless.
Dazu bedarf es strafrechtlicher und polizeilicher Elemente.	For this we need criminal law and the police.
Es bedarf aber auch eines Elements, das mir in der Debatte zu wenig Berücksichtigung gefunden hat: Derjenige, der mit Drogen handelt, tut es in der Regel, wenn er es im großen Umfang tut, mit Gewinnabsicht, mit Bereicherungsabsicht.	But we also need a factor that I feel has not been touched on adequately in the debate. Those people who deal in drugs generally do so if it is on a large scale, intending to make a profit and to enrich themselves.
