Herr Präsident, meine Damen und Herren! Wir führen ja hier eine Debatte.	Mr President, ladies and gentlemen, we are indeed having a debate here.
Deshalb habe ich zum ersten Mal die Chance, auf die Schlußworte von Herrn Bangemann einzugehen und dieses Privileg ein bißchen umzudrehen.	And that is why I now have the chance, for the first time, of taking up Mr Bangemann's final words and turning round this privilege to some extent.
Herr Bangemann, wir haben offenbar die gleichen Präferenzen bei dem, was wir beide nicht so gerne sehen.	Clearly, Mr Bangemann, we have the same preferences in terms of what we do not particularly enjoy watching.
Der entscheidende politische Unterschied besteht aber darin, daß sowohl ich als auch Frau Tongue als auch der Ausschuß der Meinung sind, daß das europäische System des öffentlich-rechtlichen Rundfunks nicht zurückentwickelt werden soll auf den Status etwa des amerikanischen PBS, während der Rest des gesamten Marktes ausschließlich kommerziell bedient wird.	The key political difference between us, however, is that both Ms Tongue and myself, like the committee, take the view that the European system of public service broadcasting should not be developed backwards so as to resemble the American PBS, with all the rest of the market being served purely on a commercial basis.
Das ist der politische Unterschied.	That is where the political difference lies.
Aus diesem Grund muß auch der öffentlich-rechtliche Rundfunk in der Lage sein, im Spektrum der Unterhaltung und des Sports etwas anzubieten.	For this reason, public service broadcasting must also be in a position to offer something across the range of sport and entertainment.
Das bedeutet, daß der öffentlich-rechtliche Rundfunk - ich stimme Ihnen zu - sich dem Wettbewerb stellen muß, aber er muß das dann auch unter gleichen Bedingungen tun können.	This means that public service broadcasting - I agree with you - must engage in competition, but it must be able to do so on equal terms.
Das bedeutet, daß beispielsweise die Kommission nicht verhindern darf, daß etwa über die europäische Rundfunkunion ein gemeinsamer, gepoolter Einkauf von Sportrechten stattfindet.	So the Commission, for example, should not prevent the rights to sporting events from being purchased jointly and on a pooled basis, through the European Broadcasting Union.
Wenn etwa jede der öffentlichrechtlichen nationalen Anstalten allein gegen die großen Konglomerate mitbieten müßte - Frau Tongue hat das Beispiel der beiden Fußball-Weltmeisterschaften erwähnt -, dann ist dieses Spiel entschieden, und zwar für immer zu Lasten des öffentlich-rechtlichen Rundfunks.	If each of the national public service organizations had to bid on its own against the big combines - and Ms Tongue referred to the example of the two World Cups in football - then the game would be over once and for all, with public service broadcasting on the losing side.
Damit unter gleichen Wettbewerbsbedingungen, und das heißt auch unter finanziellen Bedingungen, mitgewirkt werden kann, muß von Seiten der Kommission daher Klarheit darüber geschaffen werden, daß etwa die Finanzierung des öffentlich-rechtlichen Rundfunks über Gebühren der TeilnehmerInnen und/oder eine Mischfinanzierung eben nicht gegen die Beihilfevorschriften des Vertrages verstößt.	To enable competition to take place on equal terms, including the financial conditions, the Commission must therefore make it clear that the funding of public service broadcasting through fees paid by the users and/or some form of mixed financing does not contravene the aid provisions of the Treaty.
Es muß auch klar sein, daß es eine volle Teilhabe des öffentlich-rechtlichen Rundfunks an den neuen Techniken gibt.	It must also be clear that public service broadcasting has full access to new technologies.
Schlußwort zu Herrn Hoppenstedt: Das Problem war nicht, daß der Anspruch erhoben wurde, daß automatisch jeglicher neue Dienst Rundfunk sein müßte.	And a final word to Mr Hoppenstedt: the problem was not the insistence that any new services should automatically be classed as broadcasting.
Er ist es gewesen, der einen möglichen Kompromiß in einer vernünftigen Richtung verhindert hat, aber vielleicht können wir das ja für die zweite Lesung noch korrigieren.	It was he who prevented a possible compromise from being reached on a sensible basis, but perhaps we can still put that right at second reading.
