Herr Präsident! Im Januar 1990 feierte Nepal das Jahr des Tourismus.	– Mr President, in January 1990 Nepal celebrated the Year of Tourism.
In einer prachtvollen Demonstration von zehntausenden Teilnehmern und mehreren hunderttausend Zuschauern zeigte sich der ganze kulturelle Reichtum des Landes mit seinen Sherpas und Mönchen, Tempeltänzerinnen und Saddus, Elefantenführern, Mandala-Künstlern und Bergsteigern.	A magnificent parade involving tens of thousands of participants and several hundred thousand spectators demonstrated the full extent of the cultural wealth of the country, with its sherpas, monks, temple dancers, sadhus, mahouts, mandala artists and mountaineers.
Unter der Flagge war ich dabei.	I took part in this parade with the organisation Friends of Nepal.
Wir zogen durch Katmandu, vorbei an König Birendra, der als Persönlichkeit und als Verfechter der konstitutionellen Monarchie bei 95-98% aller Nepalesen höchstes Ansehen genoss.	We marched through Kathmandu and past King Birendra, who enjoyed the highest respect of 95-98% of the Nepalese people, both as a person and as a champion of the constitutional monarchy.
Umso größer ist heute, sieben Jahre später, die Distanz gegenüber König Gyanendra.	This makes the contrast with King Gyanendra, seven years later, appear all the starker.
Erneut hat er einen Premierminister entlassen. Dutzende Politiker, Menschenrechtler und Journalisten wurden in Haft genommen oder unter Hausarrest gestellt.	He has dismissed yet another prime minister, and dozens of politicians, human rights activists and journalists have been taken into custody or placed under house arrest.
Drei Jahre will er nun allein regieren.	He now intends to rule as an autocrat for three years.
Warum hat es denn kein einziger Ministerpräsident in den letzten Jahren geschafft, freie Wahlen durchzuführen? Weil es weder zu einer Einigung zwischen den verschiedenen Parteien, noch etwa mit den Maoisten kam.	The question that needs to be asked is why not one prime minister in recent years has managed to hold free elections, and the answer is that agreement has never been reached between the various parties, not to mention with the Maoists.
Vor allem aber wegen der fehlenden Sicherheit in diesem Land.	The main reason, however, is the lack of security in the country.
Die Menschen leben in Angst, nicht nur im Westteil Nepals.	People are living in fear, and by no means only in western Nepal.
Mittlerweile sind zwei Drittel des Landes von maoistischen Rebellen kontrolliert, und die unzureichend ausgebildeten Polizisten werden immer wieder Ziel von tödlichen Überfällen.	Two thirds of the country is now under the control of Maoist rebels, and inadequately-trained police officers fall victim time and time again to lethal attacks.
Dem Bürgerkrieg sind bisher 10.000 Menschen zum Opfer gefallen. Er nimmt kein Ende und die Haupteinnahmequelle Tourismus ist fast zum Erliegen gekommen.	The civil war has claimed 10 000 lives so far and shows no sign of coming to an end, with tourism, the country's main source of income, having been brought almost to a standstill.
Ich befürchte, dass nach dem Handstreich vom 1. Februar den Maoisten weitere Sympathisanten in die Arme getrieben werden.	I am afraid that the Maoists will gain further supporters following the coup of 1 February.
Der Ausnahmezustand wird doch auch genutzt, um die Menschenrechte weiter einzuschränken, deshalb erfüllt er uns in der EVP-Fraktion mit allergrößter Sorge.	The state of emergency will be used to place further restrictions on human rights, and it is for this reason that it is a cause of great concern to us in the European People’s Party (Christian Democrats) and European Democrats.
So wurden etwa wichtige Zufluchtsorte für Tibeter, die ihre Heimat verlassen mussten, geschlossen.	By way of example, key places of refuge for Tibetans who have been forced to leave their homeland have been closed, including the Tibetan Refugee Welfare Office.
Zum einen das das seit 15 Jahren die Arbeit des UNHCR-Flüchtlingszentrums in Katmandu unterstützt – ich kenne es – und in dem zur Zeit etwa 1.000 Asylsuchende beherbergt sind.	For the past 15 years, this Office has supported the work of the UNHCR refugee centre in Kathmandu, with which I myself am familiar, and at present around 1 000 asylum seekers are living there.
Zum anderen wurde das Büro des Vertreters des Dalai Lama geschlossen, und das gibt es seit 1959.	In addition, the Office of the Representative of the Dalai Lama, which was established in 1959, has been closed.
Die Lage wird wirklich immer verzweifelter!	The situation is becoming increasingly desperate.
Frau Kommissarin, ich begrüße ausdrücklich die Initiativen der Europäischen Union, aber auch von Indien und den USA. So wurde der König aufgefordert, den Ausnahmezustand innerhalb von 100 Tagen zu beenden.	Commissioner, I welcome the initiatives taken by the European Union, as well as those taken by India and the USA, one example of these being that the King has been called upon to end the state of emergency within 100 days.
Eine Vertreterin der EU-Kommission war heute früh bei der Sitzung unserer SAARC-Delegation anwesend und teilte mit, dass einige Förderprogramme eingefroren werden, um durch wirtschaftlichen Druck die Demokratie zu festigen.	A representative of the European Commission who was present at the meeting of our SAARC Delegation this morning said that a number of funding programmes would be suspended, in order to strengthen democracy by means of economic pressure.
Entwicklungshilfe, wird aber erfreulicherweise nach wie vor gezielt zugunsten der ärmeren Bevölkerung und der lokalen Menschenrechtsorganisationen und NGOs geleistet.	Fortunately, however, development aid will continue to be granted, and targeted at the poorer sections of the population and local human rights organisations and NGOs.
Ich würde mich sehr freuen, wenn bei der Sitzung der UN-Menschenrechtskommission in Genf das Thema Menschenrechtsverletzungen in Nepal behandelt würde.	I would be delighted if the issue of human rights violations in Nepal were to appear on the agenda of the session of the UN Commission on Human Rights to be held in Geneva.
Die 15 Jahre junge Demokratie in Nepal ist ein zarte Pflanze; sie muss geschützt und darf nicht zerstört werden.	Nepalese democracy is only 15 years old; it is still fragile, and must be protected rather than destroyed.
