Herr Präsident! Immer mehr Europäer leben in Städten.	Mr President, more and more Europeans live in cities.
Es ist schon mehrmals gesagt worden, vier von fünf EU-Bürgern sind Stadtbürger.	As has often been pointed out, four out of five EU citizens are city-dwellers.
In den Städten gibt es daher auch immer mehr Wohlstand und eine immer bessere Infrastruktur.	Cities are thus also enjoying increasing prosperity and their infrastructure is improving all the time.
Ich freue mich in diesem Zusammenhang, daß meine Stadt Graz vor kurzem mit der Aufgabe, Kulturhauptstadt des Jahres 2003 zu sein, betraut worden ist.	In this connection, I am pleased that my city, Graz, was recently selected as the European City of Culture for the year 2003.
In den Städten gibt es aber nicht nur Schönes und Gutes, sondern in den Städten gibt es immer mehr Armut, Arbeitslosigkeit und Ausgrenzung.	However, cities are not only places of beauty and culture; they face growing problems with poverty, unemployment and exclusion.
In den Städten gibt es mehr Verbrechen und weniger Sicherheit, und in den Städten gibt es Umweltschäden in ganz großem Ausmaß.	They have more crime and are less safe, and they suffer environmental damage on a very large scale.
Bei diesen Vorzeichen ist es keine Frage, daß das Thema Stadt zentrale Bedeutung auch im Rahmen der Strukturpolitik gewonnen hat und noch gewinnen muß, aber - und das kann man nicht oft genug unterstreichen - nicht alles und jedes ist auf der europäischen Ebene zu regeln.	Against this background, it is obvious why urban issues are crucially important within the framework of structural policy and why they must continue to be so, but - and this cannot be emphasized often enough - not everything should be regulated at European level.
Lassen wir die Kirche im Dorf, und berücksichtigen wir den Grundsatz der Subsidiarität nicht nur in Sonntagsreden, sondern auch in unserer ganz konkreten politischen Arbeit!	We must not get carried away; we must take account of the principle of subsidiarity not only in speeches but also in our very practical political work.
Aber, und ein zweiter wichtiger Aspekt ist hier anzumelden.	A second important aspect should be mentioned in this connection, however.
Europäische Strukturpolitik und auch europäische Städtepolitik kann nicht top-down gemacht werden, sondern bottom-up , wir müssen die Partnerschaft mit den Städten ernstnehmen.	European structural policy, and European urban policy too, cannot be defined from the top down; it must be a bottom-up process and we must take partnership with the cities seriously.
Drittens, in vergangenen Zeiten wurde nicht allzu selten nach dem Grundsatz des divide et impera vorgegangen und daher von oben nach unten bestimmt.	Thirdly, the principle of divide et impera has often been applied in the past, with much, therefore, being imposed from the top.
Nehmen wir eine gegenteilige Position ein, unterstützen wir Networking der Betroffenen, unterstützen wir das, was heute ebenso bereits angesprochen wurde, nämlich den Vergleich und die Herausforderung von best practices .	We must adopt a different position: we must support networking by those involved, and we must support what has already been discussed here today, namely the sharing - and challenges - of best practice.
Die Vielfalt ist draußen in den europäischen Städten.	Diversity is out there in the European cities.
In den sehr guten Berichten, die wir heute zu diskutieren haben - im besonderen aus unserem Ausschuß die Berichte Napoletano und Novo Belenguer - wurde im großen und ganzen all diesen Aspekten weitgehend Rechnung getragen.	The excellent reports before us today - especially the reports from our committee by Mrs Napoletano and Mr Novo Belenguer - take account of all these issues to a substantial degree.
In manchem geht die Begeisterung aber zu weit, und ich habe daher auch mit einigen Abänderungsanträgen versucht, das eine oder andere vorsichtig zurückzunehmen.	However, in some respects the enthusiasm goes a little too far, and I have thus attempted, with my amendments, to modify one or two points.
Es geht nicht gegen die Anliegen, sondern es geht darum, daß wir vor allem auch Respekt vor den zwischenzeitlich vorgelegten Berichten der Kommission und deren Zielsetzungen haben und diesen Respekt dann auch ernstnehmen.	This is not directed against the issues themselves; rather, my intention is to ensure that we should also, and above all, respect the reports submitted by the Commission and the aims which they contain, and also take this respect seriously.
Nichts gegen URBAN, aber wir müssen uns selbst ernstnehmen und daher URBAN und das Ziel in die allgemeine Gemeinschaftspolitik und die allgemeine Strukturpolitik eingliedern, selbst wenn wir noch so gerne ein eigenes Programm hätten.	I have nothing against URBAN, but we must take ourselves seriously and thus integrate URBAN and its objectives into general Community policy and structural policy, even if we would prefer to have our own programme.
Nichts gegen die Initiative für Städte, aber man darf eben auch das Thema Stadtumland nicht vergessen.	I have nothing against the initiative for cities, but we must not forget the region around the cities either.
Einen letzten Aspekt: Nichts gegen eine weitere Auswertung des kommunalen Wahlrechts für alle Wohnbürger in unserer Europäischen Union, aber nach dem Motto first things first konzentrieren wir uns jetzt auf die EU-Bürger.	I have one final point: I have nothing against a further extension of the right to vote in local elections for all citizens living in our European Union, but first things first, we should be concentrating on EU citizens above all.
