stellvertr. Verfasser. - Herr Präsident!	Mr President, Commissioner, I have three questions on my mind.
Herr Kommissar, mich treiben drei Fragen um. Die erste Frage ist: Warum gibt es immer noch keine Transparenz, wenn doch der Vertrag von Lissabon seit 1. Dezember in Kraft ist und wenn wir seit dem 10. Februar eine Interinstitutionelle Vereinbarung mit der Kommission haben?	The first is, why are we still lacking transparency when the Treaty of Lisbon has been in force since 1 December and we have had an interinstitutional agreement with the Commission since 10 February?
Ich kann nicht verstehen, dass der Rat nach wie vor als Beobachter bei den Verhandlungen am Tisch sitzt, das Parlament nicht involviert ist und die Dokumente nicht öffentlich sind.	I cannot understand why it is still the case that the Council is sitting at the table as an observer in the negotiations, Parliament is not involved and the documents are not publicly accessible.
Also warum ist das so, Herr Kommissar?	So why is this, Commissioner?
Die zweite Frage, die mich umtreibt: Wer verhandelt eigentlich das ACTA-Abkommen?	The second question that is of concern to me is this: who is actually negotiating the ACTA Agreement?
Es ist ja nicht so, dass es im Rahmen der WTO als quasi TRIPS-Folgeabkommen verhandelt wird, sondern es wird nur von einzelnen Staaten und - wie man aus den Vereinigten Staaten hört - auch von mächtigen wirtschaftlichen Interessen verhandelt.	This is not being negotiated as some sort of follow-up agreement to TRIPS within the framework of the World Trade Organisation. It is only being negotiated by individual States and - as we hear from the United States - also by powerful economic interests.
Ich frage mich in der Tat, ob da nicht Standards gesetzt werden, die letztendlich dann für alle gelten, obwohl nicht alle am Tisch sitzen und mitverhandeln.	I ask myself whether, in fact, standards are not being set which will ultimately apply to everyone even though not everyone is sitting round the negotiating table.
Die dritte Frage, Herr Kommissar, die mich umtreibt: Was wird eigentlich inhaltlich verhandelt?	The third question that is troubling me, Commissioner, is this: what actually is the substance of the negotiations?
Sie haben auf meine Frage in Ihrer Anhörung geantwortet, dass der acquis communitaire gesichert wird.	In your hearing, you answered my question and assured me that the acquis communautaire was secure.
Aber wenn ich mir einzelne Papiere, die so durchgesickert sind, anschaue, habe ich da leider meine Zweifel.	However, when I look at individual papers that have leaked out I unfortunately have my doubts about this.
Ich kann nachvollziehen, dass verhandelt wird, dass Internet-Sperren möglich sind, dass Provider quasi als Hilfssheriff für wirtschaftliche Interessen genutzt werden sollen, dass mitunter Restriktionen für Forschung und Wissenschaft möglich sind, dass sogar einige versuchen, generelle Überwachungssysteme einzuführen.	I understand that negotiations are being held, that blocks on the Internet are possible, that providers are to be used, so to speak, to help police the Internet for economic interests, that restrictions on research and science may sometimes be imposed and that some people are even trying to introduce general surveillance systems.
Da frage ich mich: Wo bleibt der acquis communautaire dort?	I therefore ask myself, where in all this is the acquis communautaire?
Auch die Frage des Schadenersatzes, dass quasi lost profit in einen Schadenersatz mit hinein verhandelt werden soll, ist unserer Politik nicht angemessen.	There is also the question of compensation. The fact that the inclusion of lost profit in the compensation is being negotiated is not appropriate for our policy.
Drittens natürlich die Frage, Herr Kommissar: Wie sieht das eigentlich mit dem Verhältnis von online und offline aus?	Of course, my third question, Commissioner, is what is the actual relationship between online and offline?
Wenn ich lese, dass online und offline beides die digitale Welt darstellen sollen, heißt das im Grunde, dass es auch Restriktionen, Durchsuchungen von Laptops, I-Pods und MP3-Playern an der Grenze geben soll?	When I read that online and offline are both supposed to represent the digital world, does that essentially mean that there are also to be restrictions and searches of laptops, iPods and MP3 players at borders?
Geben Sie mir doch bitte eine Antwort auf die drei Fragen.	Would you please provide answers to these three questions.
