Herr Präsident, meine Damen und Herren! Vielen Dank an Sie, Frau Kommissarin Wallström.	. Mr President, ladies and gentlemen, many thanks, Commissioner Wallström.
Sie sind eine der wirklich herausragenden Persönlichkeiten in der Kommission, die sich nicht nur für den Plan D, sondern auch für die Demokratisierung Europas in Gänze und für mehr Effektivität im Handeln der Kommission einsetzt.	You are one of the really prominent people in the Commission who are speaking up not only for Plan D but also for the democratisation of Europe as a whole and for greater effectiveness in the Commission's activities.
Sie sind – das will ich im Namen unserer Fraktion sagen – eine der Persönlichkeiten, die man als Aktivposten für den Fortschritt in Europa bezeichnen kann.	You are – and I say this on behalf of our group – one of the personalities who can be described as an asset for progress in Europe.
Ihre Rede hat auch wieder klargemacht, dass wir auf Sie als Vizepräsidentin der Kommission, die mit dem Plan D betraut ist, vertrauen können und auch setzen.	Your speech once again made it clear that you, as the Vice-President of the Commission responsible for Plan D, are someone in whom we can trust and on whom we can rely.
Was ist bei dieser Reflexionsphase, die immer – Herr Méndez de Vigo hat das gesagt –, drohte, zur Siesta zu verkommen, bis heute erkennbar herausgekommen?	What recognisable results have so far come out of this period of reflection, which, as Mr Méndez de Vigo said, is continually threatening to degenerate into a siesta?
Die Bürgerinnen und Bürger Europas wollen mehr Transparenz.	What the citizens of Europe want is more transparency.
Sie wollen besser verstehen, was in den Institutionen passiert.	They want a better understanding of what happens in the institutions.
Sie wollen eine klarere Kompetenzverteilung: Wer macht was, wo, wann, auf welcher Rechtsgrundlage?	They want a clearer division of competences: who does what, where, when and on what legal basis?
Sie wollen mehr Effektivität in der Gesetzgebung und in der Verwaltung.	They want greater effectiveness in legislation and administration.
Die Bürgerinnen und Bürger Europas wollen eine Stärkung der Subsidiarität.	They want the subsidiarity principle to be strengthened.
Nicht alles muss in Brüssel, manches kann zu Hause gemacht werden.	Not everything has to be done in Brussels – some things can be done at home.
Nicht alles ist zu Hause lösbar, das soll dann in Brüssel geregelt werden.	Not everything, though, can be solved at home, and those things should be regulated by Brussels.
Das ist eine eindeutige Botschaft.	That is a clear message.
Die Bürger wollen deshalb auch die Stärkung der EU in der internationalen Politik.	The people therefore also want the EU to have a stronger presence in international politics.
Sie wollen die EU als effektives Organ der Kriminalitätsbekämpfung.	They want the EU to be effective in fighting crime.
Das alles wissen wir! Das alles ist Aufgabe von uns, Aufgabe des Rates und der Kommission.	We know all of that, and it is up to us, the Council and the Commission to achieve it.
Aber das alles steht in der Verfassung.	It is all in the Constitution, though.
Wir alle wissen doch, dass wir die Verfassung brauchen, wenn wir diese Forderungen der Bürgerinnen und Bürger erfüllen wollen.	We all know that we need the Constitution if we are to meet these demands from the public.
Mehr denn je ist gerade am Ende der Reflexionsphase klar, dass es nicht möglich ist, die Ansprüche der Bürger auf der Grundlage des Vertrages von Nizza zu erfüllen.	At the end of the period of reflection, it is now clearer than ever that it is not possible to meet the demands of the public on the basis of the Treaty of Nice.
Das war nicht möglich mit 15 – deshalb sollte Nizza verändert und durch die Verfassung ersetzt werden, und nun sind wir bald 27 und haben die Verfassung nicht.	It was not possible with 15 Member States – which is why Nice needed to be amended and replaced by the Constitution – and we will soon have 27 Member States and still do not have the Constitution.
Wie soll es dann jetzt möglich sein?	How can it be possible now?
Die Kommission ist die Hüterin der Verträge.	The Commission is the guardian of the Treaties.
