Vielen Dank, Frau Präsidentin, vielen Dank, Frau Kommissarin!	Many thanks, Madam President, many thanks, Commissioner.
László SURJÁN hat gesagt, es ist ein knapper Haushalt, den wir jeweils zur Verfügung haben - 1 % des Bruttosozialprodukts.	As Mr Surján said, the available budget is tight - 1% of gross national product.
Umso sorgfältiger müssen wir mit dem Geld umgehen, gerade auch angesichts der die Menschen bedrückenden Krise.	Thus we must be all the more careful with the funds, particularly in view of the crisis weighing on people's minds.
Wir sollten auch versuchen, die Beschlüsse gemeinsam zu fassen.	We should also attempt to come to decisions together.
Es gibt einen Teil in diesem Bericht, über den kein gemeinsamer Beschluss gefasst werden kann.	There is one part of this report on which no joint decisions are possible.
Er betrifft die Energieversorgung und die Energiesicherheit.	This concerns energy supply and energy security.
Ich frage mich, ob wir tatsächlich in einer Zeit, in der wir mit jedem Euro rechnen müssen, Gelder in Bereiche investieren können, in denen Spieler im Markt sind, die Milliardengewinne erwirtschaften.	I ask myself whether, at a time when we have to account for every single euro, we should really be investing money in fields where there are market players making billions in profits.
Hier wird vorgeschlagen, Gaspipelines zu unterstützen, die im Falle von Southstream von ENI, einem italienischen Konzern, unterstützt werden, der 10 Milliarden Euro Überschuss gemacht hat.	Support is being proposed for gas pipelines such as the South Stream project of the Italian group Eni, which made a profit of EUR 10 billion.
Bei Northstream ist es EON, ein deutscher Konzern, der 5 Milliarden Euro Überschuss macht, oder bei Nabucco sind es ein deutsches, ein österreichisches und ein türkisches Unternehmen, die insgesamt über 6 Milliarden Euro Überschüsse erwirtschaftet haben.	Nord Stream is a project of E.ON, a German group making a profit of EUR 5 billion, and Nabucco brings together a German, an Austrian and a Turkish company with total profits in excess of EUR 6 billion.
Müssen wir tatsächlich in Bereiche, in denen Überschüsse erwirtschaftet werden, Gelder der Steuerzahler hineinbuttern?	Should we really be putting taxpayers' money into fields in which profits are made?
Müssen die Konzerne nicht von sich aus entsprechend investieren, und sollen wir nicht nur in die Bereiche hineingehen, wo tatsächlich vom Steuerzahler Unterstützung gewünscht ist?	Should conglomerates perhaps be making the relevant investments themselves, and should we perhaps be involving ourselves in only those fields in which support from taxpayers is really desirable?
Wir sollten nicht denen noch Geld hinterherwerfen, die sowieso schon genügend verdienen.	We should not be throwing more money at those who are earning enough as it is.
Also die Frage: Wollen wir das überhaupt?	Hence the question: is this really what we want?
Die zweite Frage ist: Wenn wir Unternehmen unterstützen, wieso Nabucco?	My second question is as follows. If we do support companies, why Nabucco?
Wieso wollen wir da Ungleichgewichte schaffen?	Why do we want to create imbalances in this regard?
Wieso wollen wir zum Beispiel das ungarische Unternehmen gegenüber dem italienischen Unternehmen bevorzugen?	Why do we want to favour a Hungarian company over an Italian one, for example?
Wie begründen Sie das?	What is your justification for this?
Wettbewerbsneutralität ist ein Muss. Mit dem, was Sie beschließen wollen, verstoßen Sie dagegen.	Competitive neutrality is a must, but it is infringed by what you are hoping to adopt.
Der dritte Punkt: Das Geld muss in Europa ausgegeben werden.	My third point is that the money must be spent in Europe.
Was nützt es denn, wenn wir in Aserbaidschan investieren?	What is the use of our investing in Azerbaijan?
Unsere europäischen Bürger wollen angesichts der Krise von uns Lösungsmechanismen sehen.	In the face of the crisis, our European citizens want us to provide solution mechanisms.
Sie erwarten von uns Hilfestellungen.	They expect us to provide assistance.
So, wie es im Bericht SURJÁN steht, kann es von uns nicht mitgetragen werden, denn damit würden wir wettbewerbsverzerrende Maßnahmen befördern, wir würden Institutionen und Industrien, die viel Geld verdienen, noch Geld hinterherwerfen.	We cannot support the Surján report as it stands, as this would mean promoting competition-distorting measures and throwing more money at high-earning institutions and industries.
Das können wir uns als Europäische Union angesichts knapper Mittel überhaupt nicht leisten.	The European Union, with its scant resources, absolutely cannot afford this.
