Herr Präsident! José Bové kann leider nicht hier sein, und deshalb spreche ich noch einmal.	Mr President, unfortunately, Mr Bové cannot be here tonight, so I am speaking again.
Ich habe an die Kommissarin auch noch Fragen: Glaubt sie wirklich ernsthaft, dass die Proteste jetzt mit den ausgezahlten Mitteln zu Ende gehen?	I have more questions for the Commissioner. Does she really, seriously believe that paying out this money will end the protests?
Wie bereits gesagt, halte ich den Beschluss des Parlaments von heute Morgen für einen Blankoscheck, weil wir nicht wissen, was die Kommission damit machen wird.	As I said earlier, I believe that Parliament's decision this morning equated to granting the Commission a blank cheque because we do not know what it will do with it.
Ich wiederhole: Die Kommission ist nicht Teil der Lösung, sondern ein Teil des Problems.	I will say it again: the Commission is not part of the solution to the problem, but is actually part of the problem.
Dabei bleibe ich auch.	I stand by that view.
Aber ich stimme auch - weil man den Tatsachen ins Auge sehen muss und so nun beschlossen worden ist - dem einfach zu und sage den anderen Kollegen, dass wir diese Maßnahmen begrenzen müssen.	Yet I also simply accept the decision - as you have to see the facts as they are and this is what has been decided - and I would say to the other Members that we must limit these measures.
Wir wollen das auf eine überschaubare Zeit begrenzen, damit wir im Parlament auch wieder das Heft des Handelns in die Hand nehmen.	We should limit them to a manageable period, so that we in Parliament can also get our hand back on the tiller.
Frau Kommissarin, noch eine Frage, weil bei allen Programmen immer wieder davon gesprochen wird: Wir müssen weiterhin die Umstrukturierung fördern.	I have another question for you, Commissioner, as it is repeatedly said for all the programmes that we need to continue to promote restructuring.
Was meinen Sie denn mit Umstrukturierung?	So what do you mean by restructuring?
Halten Sie es wirklich für richtig, dass wir nach wie vor Geld geben, um kleinere Betriebe quasi zum Aufgeben zu bewegen, um dann den größeren Betrieben Geld zu geben?	Do you really think it is right that we continue to give out money in order basically to encourage smaller-scale farmers to give up so that we can give money to the bigger farms?
Diese Politik ist nicht weiter zielführend.	This policy is no longer an effective means to an end.
Wir müssen sehen, dass wir gerade in den benachteiligten Regionen das Geld gezielt einsetzen, um dort die Strukturen, die am meisten gefährdet sind, aufrechtzuerhalten.	We must ensure that we employ the money in a targeted way, specifically in the disadvantaged regions, in order to maintain the structures in those regions that are in greatest jeopardy.
