Herr Präsident, meine Damen und Herren! Ich verspreche Ihnen, ich werde mich viel kürzer fassen.	Mr President, ladies and gentlemen, I promise to be much briefer.
Zu den Fragen von Frau Roth-Behrendt - das zieht sich dann auch bei den anderen durch: Über eines sollten wir uns klar sein: Was wir hier heute vorschlagen, ist keine neue Agrarreform.	In reply to Mrs Roth-Behrendt's questions - and this also applies to the others - we should be clear about one thing: what we are proposing here today is not a new agricultural reform.
Das habe ich auch gesagt.	As I, in fact, said.
Dazu haben wir auch momentan gar nicht die Möglichkeit.	Nor are we in a position to engage in agricultural reform at the moment.
Ich würde es für verkehrt halten, wenn wir jetzt isoliert nur eine Reform für den Rindersektor betrachten würden.	I think it would be wrong if we were to look now at the reform of the beef and veal sector in isolation.
Wenn wir über Agrarreform reden - und das werden wir rechtzeitig tun, da können Sie sicher sein, da werden Sie auch von uns hören -, dann müssen wir aber zum Beispiel die Frage des Silomais miteinbeziehen, ferner die Frage der Milchquote, die Frage, wie geht es zwischen den Milchrindern und den Fleischrindern weiter?	When we talk of agricultural reform - and we shall do so in good time, I can assure you, you will be hearing from us - then we must include, for example, the question of silage corn, the question of milk quotas, the question of what to do about dairy cattle versus beef cattle.
Dafür kann man das in dieser kurzen Zeit, wenn man etwas sorgfältig vorbereiten möchte, wirklich nicht leisten.	And there really is too little time for that, especially if you want to prepare something carefully.
Das, was wir heute hier auf dem Tisch haben, ist also sicher nicht mehr, aber auch nicht weniger als ein klares Konzept, wie wir aus dieser derzeitigen Krise wieder herauskommen.	What we have tabled here today is nothing more - but also nothing less - than a clear concept to get us out of the current crisis.
Nun zu einer weiteren Frage von Frau Roth-Behrendt, ob man nicht von Quoten zu einer Direktzahlung übergehen sollte.	Now to Mrs Roth-Behrendt's question as to whether we should change over from quotas to direct payments.
Nach dem derzeitigen System gibt es keine Quoten für den einzelnen Rindermäster.	There are no quotas for individual cattle fatteners under the current system.
Wir müssen jetzt zuerst Quoten für den einzelnen Rindermäster einführen; Sie haben, glaube ich, gemeint, dass man das Ganze überhaupt freigibt und in die ländliche Entwicklung hinüberschafft.	First we need to introduce quotas for individual cattle fatteners; what you meant, I think, is that we should deregulate the whole thing and get into rural development.
Das ist aber genau so eine Frage, die sich nur im Zusammenhang mit einer generellen Agrarreformdebatte lösen lässt.	But this is precisely the sort of question which can only be resolved in the context of a general debate on agricultural reform.
Ich bin - das sage ich ganz offen - gegen die Guillotine.	I personally - and I say so quite openly - am against the guillotine.
Ich bin überhaupt gegen Mordwerkzeuge und daher auch gegen die Guillotine.	I am against any instrument of murder and hence I am also against the guillotine.
Daher bin ich dafür, dass diese 90-Tiere-Grenze so gesehen wird wie eine Franchise, das heißt, dass jeder bis zu 90 Tiere gefördert bekommt.	Which is why I favour seeing this 90-head limit as a franchise, by which I mean that everyone gets a subsidy up to 90 animals.
Herr Maat meinte, das sei ein Widerspruch, weil es in Bezug auf BSE-Fälle keinen Unterschied macht, ob es sich um einen Groß- oder einen Kleinbetrieb handelt.	Mr Maat felt that was a contradiction because it makes no difference if it is a small or a large holding when it comes to BSE.
Ich glaube, da haben Sie völlig Recht.	I think you are quite right.
Die 90-Tier-Grenze ist auch keine BSE-Bekämpfungsmaßnahme, sondern eine Maßnahme, um Anreize zu schaffen, damit die Landwirtschaft im Rinderproduktionsbereich in Zukunft extensiver wird.	But the 90-head limit is not a measure to fight BSE, it is a measure to create incentives for more extensive beef production in the future.
Was Herr Graefe zu Baringdorf zur Frühvermarktungsprämie gemeint hat, haben wir geprüft.	We have already looked into what Mr Graefe zu Baringdorf said about early marketing premiums.
Die Sache ist so: Wir hatten 1996 und in den Folgejahren eine solche Prämie.	The thing is, we had this sort of premium in 1996 and in later years.
Wir haben ausgerechnet, dass nur diese Prämie 200 000 Millionen Euro gekostet hat.	We have calculated that this premium alone cost EUR 200 000 million.
Der Effekt, der dabei herausgekommen ist, ist also leider eher fragwürdig, weil auf jeden Fall 40 % der Kälber mit niedrigem Gewicht geschlachtet werden.	Unfortunately, the end result is somewhat questionable, because 40% of calves are slaughtered with a low weight in any case.
Das heißt, wir würden annähernd der Hälfte der Kälberhalter eine Prämie bezahlen mit null Effekt.	That means we would pay nearly half the veal farmers a premium with absolutely no end result.
Deshalb haben wir von dieser Maßnahme, noch dazu angesichts der knappen Mittel, Abstand genommen.	Which is why we have shunned this measure, especially in view of our limited resources.
