Herr Präsident, meine Damen und Herren!	Mr President, ladies and gentlemen.
Schokolade ist eine süße Versuchung, für manche ein Laster, für die Europäische Union ein rotes Tuch.	Chocolate is a sweet seduction; for some it is a sin, for the European Union it is a red rag to a bull.
Dabei ist Schokolade nur eine kleine Ergänzung der Ernährung des Menschen.	Yet chocolate is just a minor addition to the nutrition of Mankind.
Niemand schreibt vor, wieviel Salami auf der Pizza zu sein hat, wieviele Erdbeeren auf der Erdbeertorte.	No one prescribes how much salami should be on a pizza, or how many strawberries there should be on a strawberry flan.
Da genügt die Zutatenangabe.	For this the recipe is enough.
Nur bei der Schokolade soll das nicht so sein!	Only with chocolate we would have it otherwise!
Zwei Märkte in Europa, die verbissen ihre Position verteidigen, teils auch mit unlauteren Mitteln.	There are two markets in Europe who defend their positions to the bitter end, partly even using doubtful means.
Die Blockade oder die Schokoladenrichtlinie gehört eigentlich auf den Müllberg der europäischen Entwicklung.	The blockade, or chocolate guideline, really belongs on the scrapheap of European development.
Wir sind leider noch nicht dort, aber ich sage voraus, wir werden einmal dorthin kommen.	Unfortunately we are not there yet, but I say in advance that we shall get there one day.
Ich denke, die Diskussion hat eines deutlich gemacht: Eine zufriedenstellende Lösung erreichen wir nur dann, wenn wir die unterschiedlichen Traditionen respektieren.	I think the discussion has made one thing clear, and that is that we shall reach a satisfactory solution only if we respect the differing traditions.
Entscheidend kommt es darauf an, diesen gegenseitigen Respekt mit den Zielen des Binnenmarktes und mit dem Schutz und der Information des europäischen Verbrauchers in Einklang zu bringen.	It is imperative here that this mutual respect should be harmonised with the objectives of the internal market, and with the protection and information of the European consumer.
Dabei sollten wir uns an dem Prinzip orientieren, das beim Binnenmarkt für Lebensmittel heute die Regel ist: Gegenseitige Anerkennung nationaler Vorschriften zum Beispiel über die Zusammensetzung von Lebensmitteln.	For this we should hold to the principle that is the norm for food on the internal market: mutual acknowledgement of national regulations, such as those about the constituents of foods.
Dieses Prinzip funktioniert, und es funktioniert unter anderem auch deshalb, weil einheitliche europäische Etikettierungsvorschriften den Schutz der Verbraucher und den Informationsbedarf des Verbrauchers gewährleisten und abdecken.	This principle works, and that is partly because unified European labelling laws guarantee and cover both consumer protection and the need of the consumer for information.
Deswegen wäre es falsch, Zutaten aus anderen pflanzlichen Fetten als Kakaobutter in Europa zu verbieten oder diese Fette europaweit verpflichtend zuzulassen.	Thus it would be wrong to ban in Europe constituents from vegetable fats other than cocoa butter, or to make the use of these fats legally binding throughout Europe.
Vom gegenseitigen Respekt könnte keine Rede mehr sein.	Then there could be no question of any further mutual respect.
Richtig ist der Ansatz, die Mitgliedstaaten über die Zulassung anderer pflanzlicher Fette allein entscheiden zu lassen, aber den Handel zuzulassen.	The right approach is to allow Member States alone to decide on permitted alternative vegetable fats, but to authorise trade in them.
Richtig ist es, dann aber dem Verbraucher klare, eindeutige und leicht erkennbare Informationen über die Zusammensetzung zu geben.	It is then right to give the consumer clear, unequivocal and easily understood information about the composition.
Es liegen Anträge vor, die diesem Ziel gerecht werden und die auf einen wirklichen europäischen Ansatz abzielen, nämlich den besagten Respekt vor den unterschiedlichen Traditionen in die Form einer Richtlinie zu gießen.	We have resolutions before us that would achieve this and would aim at a truly European initiative, namely casting the above mentioned respect for differing traditions into the shape of a guideline.
Ich möchte alle Kolleginnen und Kollegen auffordern, diesem Ansatz gerecht zu werden.	I should like to call on all colleagues to agree with this initiative.
Es sei insbesondere davor gewarnt, durch einseitige Etikettierungsvorschriften den Begriff "Schokolade" nur auf einen Teil der europäischen Produkte Anwendung finden zu lassen, oder die Verkehrsbezeichnung zu verfälschen.	We should be particularly warned against one-sided labelling regulations permitting the word "Chocolate' to be used only on one part of the European product, or about falsifying the transport designation.
Bei der letzten Änderung der Etikettierungsrichtlinie hat dieses Parlament mit dem Ministerrat harte Kämpfe ausgefochten, um diskriminierende und wettbewerbsverzerrende Etikettierungsregeln zu verhindern.	During the last amendment to the Labelling Guidelines this Parliament fought a hard battle with the Council of Ministers to prevent discriminatory labelling regulations which distorted the competitiveness of the product.
Wir würden uns einen Bärendienst erweisen, wenn wir jetzt bei der Schokolade solches fordern und zulassen.	We would do ourselves a great service if we were to demand the same for chocolate, and permit it.
Ich möchte an dieser Stelle auch noch einmal unterstreichen, daß es sich bei dem besagten Ansatz wirklich um einen Kompromiß handeln würde, der ziemlich genau in der Mitte aller möglichen Lösungsansätze liegt.	At this point I should also like to emphasize that the above mentioned initiative would really be a compromise which lay almost exactly in the middle of all possible solutions.
Wir sollten uns darüber im klaren sein, daß die Entscheidung der Kommission und des Ausschusses eigentlich der richtige Weg sind.	We should be quite clear that the decision of the Commission and the Committee is actually on the right path.
Nutzen wir die Chance, beweisen wir, daß wir europäisch denken und nicht nationalen Interessen hinterherlaufen!	Let us use the opportunity, let us prove that we think European and do not follow national interests!
