Mitglied der Kommission. - Herr Präsident! Die Kommission ist ganz begeistert.	Mr President, the Commission is very enthusiastic.
Deswegen haben wir auch mit großer Freude den Auftrag angenommen, mit den betroffenen Regionen und Mitgliedstaaten eine Strategie zu entwickeln.	That is why we were so pleased to take up the task of developing a strategy with the relevant regions and Member States.
Wir haben einen Entwurf vorgelegt, und die Zielsetzung ist, die Zusammenarbeit zwischen den Regionen und den Mitgliedstaaten deutlich zu intensivieren und den Lebensstandard zu verbessern.	We have presented a draft with the aim of significantly intensifying cooperation between the regions and Member States and improving living standards.
Es gibt einen breiten Konsens über die Prioritäten der Strategie, nämlich Mobilität, Umwelt und damit Umweltverbesserung und Steigerung des Wohlstandes.	A broad consensus exists in relation to the priorities of the strategy, namely mobility, the environment and its improvement, and an increase in prosperity.
Ich freue mich, dass auch hier im Parlament immer wieder der integrierte Ansatz für diese neue makroregionale Strategie gutgeheißen und unterstützt wird.	I am very pleased that Parliament has repeatedly approved and backed the integrated approach taken in this new macro-regional strategy.
Es ist letztlich - und das zeigt auch die Ostseeraumstrategie - notwendig, dass es ein aktives Engagement aller Beteiligten gibt, von der lokalen über die nationale und die regionale bis zur europäischen Ebene.	As the strategy for the Baltic Sea region also shows, the active engagement of all those involved is vital, from a local, national and regional level, to a European level.
Aber auch die Zivilgesellschaft, die Wirtschaft usw., alle müssen sich entsprechend einbringen.	However, civil society, the business community, etc. must all play their part.
Im Donauraum scheint das gewährleistet zu sein.	This seems to be the case in the Danube region.
Es soll hier wirklich eine nachhaltige Entwicklung stattfinden.	What is required here is genuinely sustained development.
So gibt es etwa von den elf Prioritätsbereichen drei, die sich mit der Verbesserung der Wasserqualität, dem Naturschutz und auch der Frage des Risikomanagements und der Prävention bei Fluten, nicht nur der Donau, sondern auch der Zubringerflüsse, in einer ökologisch adäquaten Weise zu beschäftigen haben.	Thus, for example, three of the eleven priority areas relate to the improvement of water quality, the protection of nature and the issue of risk management and ecologically sound flood prevention measures, not just on the Danube, but also on its tributaries.
Es ist auch eine unglaubliche Chance.	We are faced with an incredible opportunity here.
Vergessen wir nicht: Die Donau ist ja mit Abstand der internationalste Fluss der Welt.	Let us not forget that the Danube is by far the most international river in the world.
Zehn Staaten grenzen an diesen Fluss.	There are ten countries along this river.
Kein Fluss auf der ganzen Welt hat derartig viele Anrainerstaaten.	There is not a single river in the whole world with so many adjoining countries along its banks.
Es ist daher ganz wichtig - wenn in dieser makroregionalen Strategie acht Mitgliedstaaten und sechs Nichtmitgliedstaaten beteiligt sind -, dass wir auch die Chance der institutionellen Zusammenarbeit, des Institutionenaufbaus nutzen.	For this reason, it is very important for us to exploit the opportunities for institutional cooperation and for establishing new institutions - particularly in view of the fact that this macro-regional strategy involves eight EU Member States and six non-Member States.
Zum Thema Finanzierung: Hier gilt, dass die Mittel, die schon vorhanden sind, genutzt werden.	Let me talk about financing: the important thing here is that the resources already available should be used.
Hier gibt es noch alle Möglichkeiten in der laufenden Programmplanung.	There are plenty of opportunities for this in ongoing programme planning.
Es geht um ein intelligentes Verknüpfen von operativen Programmen mit dem Ziel, bestimmte Projekte, die nur regionenüberschreitend umgesetzt werden können, gleichzeitig anzugehen.	The point is to link operative programmes together in an intelligent way, so that certain projects that can only be implemented on a cross-regional basis can be worked on in parallel.
Ich sage auch in vielen Gesprächen, multilateral oder bilateral, dass man bereits jetzt mit den Vorarbeiten für die nächste Finanzperspektive beginnen soll, indem man überlegt, welche Projekte auch gemeinsam durchführbar sind und welche Finanzmittel dazu notwendig sein könnten.	In many discussions, whether multilateral or bilateral, I tell people that they should start their preparatory work for the next round of funding applications now by considering which projects can be implemented on a joint basis and what financial resources these might require.
Es gilt auch, die vorhandenen zusätzlichen Mittel - etwa die durch die Europäische Investitionsbank für drei Jahre bereitgestellten 30 Milliarden Euro - in der Region zu nutzen.	The point is also to make use of the existing additional resources, such as the EUR 30 billion provided by the European Investment Bank for three years, in the region.
Es wird sicher heute noch die Möglichkeit bestehen, das eine oder andere direkt anzusprechen.	I am certain that we will still be able to address one or two of these specific issues directly today.
Wir werden von Seiten der Kommission diese Strategie, die bottom up entstanden ist, begleiten und unterstützen.	For the Commission's part, we shall supervise and support this strategy, which has evolved from the bottom up.
Es wird eine high level group von allen Mitgliedstaaten geben, wo regelmäßig über den Fortgang der Ereignisse berichtet wird.	A high-level group from all Member States will be convened to which regular progress reports will be made.
Es gibt Folgekonferenzen, Berichte usw. Es gibt vor allen Dingen einen Aktionsplan mit konkreten Aktionen und Terminsetzungen und es gilt, diese Dinge zu unterstützen.	There will be follow-up conferences, reports, etc. Above all, there will be a plan of action with specific measures and deadlines and it is important that these matters are supported.
Ich darf Sie abschließend in ihrer Eigenschaft als Mandatare vor Ort ersuchen, darauf zu dringen, dass die vielen Aktionen, die schon heute ins Auge gefasst wurden, bewertet, für gut befunden, aber dann auch wirklich umgesetzt werden, damit der Intention von uns allen Rechnung getragen wird.	Finally, I would call on you in your capacity as local representatives to ensure that the many measures already considered, assessed and approved today really do get implemented, so that all of our shared intentions actually bear fruit.
