Herr Präsident, geschätzte Kollegin, verehrte Kommissarin! Nein, das Theater ist nicht tot.	Mr President, Mrs Zorba, Commissioner, on the contrary, theatre is not dead.
Seit seiner Entstehung wird es in regelmäßigen Abständen totgesagt.	It has been pronounced dead at regular intervals ever since it came into being.
Es lebt!	It lives!
Das Theater, das schützenswerte Biotop jeder demokratischen Gesellschaft, lebt nicht nur dank der Narretei seiner Repräsentanten, sondern auch dank dem Interesse und der kindlichen Neugier des Publikums und auch dank der nationalen Politiken.	Deserving protection as the biotope of every democratic society, the theatre lives not only thanks to the antics of its exponents, but also thanks to public interest and childlike curiosity, and thanks to national policies.
Wir alle wissen, die Fünfzehn sind in der Verantwortung, und bald sind es 25 und mehr.	We all know that this responsibility is borne by the Fifteen, soon to be twenty-five and more.
Ich frage mich, wie auch mein Kollege Beazley und andere VorrednerInnen, ob sich denn wirklich alle dieser enormen politischen und sensiblen Aufgabe, die hier zu tun ist, bewusst sind.	Like Mr Beazley and others who have spoken before me, I wonder whether everyone is truly aware of the enormous political and delicate task that we have been set to do.
Die Wirtschaft ist vorausgaloppiert. Der Unionsbürger trippelt dieser Integration noch hinten nach.	The business world has galloped on ahead, but the EU's citizens are still tottering along behind integration.
Europa muss helfen, wo es kann.	Europe must help where it can.
Zuerst mein Dank an dich, Geneviève Fraisse, für deine Initiative, für diesen wunderbaren Bericht.	Let me first thank you, Geneviève Fraisse, for your initiative, and for this wonderful report.
Wenn wir im Rahmen des Binnenmarktes relevante Gesetze für Kultur verabschieden, so müssen wir auch jedes uns zur Verfügung stehende Instrument voll ausnützen, um die Vielfalt des Theaters - sei es traditionsreiche Häuser, sei es alternative eroberte Gebäude, sei es die Straße zwischen Lissabon und Helsinki, zwischen Athen und London - diese Vielfalt zu schützen, zu ihrer Weiterentwicklung und ihrer vollen Entfaltung beizutragen.	If, within the internal market framework, we enact laws relating to culture, we must also make full use of every instrument at our disposal in the service of the many kinds of theatre - whether houses rich in tradition, buildings commandeered for alternative uses, streets between Lisbon and Helsinki, Athens and London - to protect this diversity, helping it to develop further and come to full bloom.
Da bedarf es gemeinsamer Kraftanstrengungen.	This will call for a shared effort on the part of all of us.
Meine Bitte geht in erster Linie an die Mitgliedsländer.	It is primarily to the Member States that I appeal.
Wir müssen die steuerlichen Diskriminierungen im Sinne der europäischen Mobilität beseitigen. Das ist ein essentieller Beitrag zur Integration.	We have to do away with fiscal discrimination as part of European mobility policy and as an essential contribution to integration.
Wir müssen im Rahmen der sechsten Mehrwertsteuerrichtlinie alle Möglichkeiten ausschöpfen, die sie uns bietet und die Medien gewinnen, die unsere Partner sind, vor allem die öffentlich-rechtlichen Fernsehanstalten.	We have to exploit to the utmost all the options that the framework of the sixth VAT directive offers us and win over the media, for they - especially the public broadcasting institutions - are our partners.
Frau Kommissarin, ich danke Ihnen für Ihre Ausführungen.	Thank you, Commissioner, for your observations.
Nehmen Sie diesen Bericht als Auftrag, als Rückendeckung!	Take this report as a mandate and as a support.
Lassen Sie ihn nicht in einer Schublade verkommen! Er ist zu wertvoll, um von Motten gefressen zu werden.	Do not let it gather dust in a drawer; it is too valuable to be eaten away by moths.
Wenn wir bei der Kunst und bei der Kultur sparen, werden Budgetlöcher nicht gefüllt, wir werden nur ärmer dabei.	No holes in the Budget are stopped if we cut back on art and culture; we are just the poorer thereby.
