Herr Präsident! Das Parlament demonstriert heute fraktionsübergreifend eine große Einigkeit.	Mr President, today we have seen fundamental agreement across all the groups in Parliament.
Wir wollen eine starke Kohäsionspolitik und Strukturpolitik in allen Regionen Europas.	We want a strong cohesion policy and structural policy in all the European regions.
Hier spielt es keine Rolle, ob Nettozahler oder ein armes Mitgliedsland, die Strukturpolitik ist und bleibt der stärkste Ausdruck der europäischen Solidargemeinschaft.	It does not matter whether we are talking about a net contributor or one of the poorer Member States; structural policy remains the strongest expression of European solidarity.
Wir helfen den ärmsten Regionen, den Anschluss zu finden, wir unterstützen aber auch stärkere Regionen in ihrer Wettbewerbsfähigkeit.	We are helping the poorest regions to catch up with their neighbours, but we are also helping the stronger regions to remain competitive.
Denn nur, wenn wir die besten Technologien weiterentwickeln, kann Europa im Umweltschutz, in der Industrie, bei der Energieversorgung nachhaltig wirtschaften und dabei globale Märkte erobern.	Europe will only be able to develop sustainably in areas such as environmental protection, industry and energy supplies, and to conquer global markets, if it can make the best technologies even better.
Damit wir diese Ziele erreichen, brauchen wir klare und gerechte Regeln.	To ensure that we achieve these objectives, we need clear and fair rules.
Das heißt, die ärmeren Regionen müssen Schwerpunkt der Kohäsionspolitik bleiben.	This means that the poorer regions must remain the central focus of cohesion policy.
Je geringer das Bruttoinlandsprodukt einer Region ist, umso mehr müssen wir helfen.	The lower the gross domestic product (GDP) of a region, the more help it must receive from us.
Wer diesen Indikator Bruttoinlandsprodukt in Frage stellt, wie jetzt die Grünen und leider auch einige Liberale und Sozialisten, der legt Axt an die europäische Solidarität.	Anyone who questions the use of GDP as an indicator, such as the Greens and, unfortunately, some Liberals and Socialists, is attacking the very roots of European solidarity.
Das BIP ist Gewähr, dass auch die soziale Kraft, die Bildung, die Arbeitsmöglichkeiten umfassend berücksichtigt werden, denn wenn Regionen arm sind, können sie all das nicht ausreichend vorhalten und sind auch im Umweltschutz eher die Verlierer.	GDP is the guarantee that social force, education and job opportunities are fully taken into account. Poor regions often cannot provide all these things on an adequate level and they also lose out when it comes to protecting the environment.
Deshalb muss das Bruttoinlandsprodukt die verlässliche Größe in der Regionalpolitik bleiben.	Therefore, GDP must remain the reliable indicator for regional policy.
Verlassen wollen wir uns in der Regionalpolitik auf unsere Kommunen und Bundesländer.	We need to rely on our local authorities and federal states when it comes to regional policy.
Wir wollen die 2020-Strategie mit dem bewährten Prinzip der gemeinsamen Programmaufstellung, der gemeinsamen Verwaltung und mit der regionalen Mitfinanzierung umsetzen.	We want to implement the Europe 2020 strategy on the basis of the tried and tested principle of the joint development of programmes, joint administration and regional cofinancing.
Deshalb dürfen die Forderungen nach eigenständigen EU-Fonds für Beschäftigung, Klimaschutz oder Energie nicht Realität werden.	For this reason, the calls for independent EU funds for employment, climate protection and energy must not be allowed to become reality.
Wenn wir die Regionalpolitik durch eine stärkere Sektorpolitik ablösen, dann gewinnen nur neue EU-Agenturen. Unsere Regionen und Bundesländer wären aber nur noch Zaungäste in der Regionalpolitik, in der Kohäsionspolitik.	If we were to replace regional policy with a stronger sectoral policy, the only winners would be new EU agencies, and our local authorities and federal states would be mere onlookers with regard to regional policy and cohesion policy.
Ich freue mich sehr, dass das Europäische Parlament auch hier eindeutig Stellung im Sinne der Regionen bezieht.	I am very pleased that the European Parliament has taken up a clear position on behalf of the regions.
Das hat etwas mit der Akzeptanz der europäischen Idee zu tun.	This has to do with accepting the European idea.
Diese Akzeptanz können wir nicht befehlen, die muss auch in der Regionalpolitik von unten wachsen.	We cannot force people to accept it. The acceptance has to develop from the bottom upwards as part of regional policy.
