Herr Präsident! Der Berichterstatter, Kollege Imbeni, hat ausgezeichnete Arbeit geleistet.	Mr President, the rapporteur, Mr Imbeni, has done an excellent job.
Es ist nicht notwendig, irgendetwas zu wiederholen.	There is no need to repeat anything.
Ich möchte zwei Fragen problematisieren und ergänzen.	I should like to expand on two problematic issues.
Die erste ist sehr prinzipieller Natur.	The first is a question of principle.
Humanitäre Hilfe muss unabhängig von den Ursachen der jeweiligen Katastrophen und unabhängig von sonstigen politischen Zielen erfolgen.	Humanitarian aid has to be provided regardless of what has caused the catastrophes concerned and irrespective of any other political objectives.
Ihre zunehmende Politisierung in den letzten Jahren ist eine inakzeptable und letztlich auch inhumane Erscheinung.	Its increasing politicisation in recent years is an unacceptable and, ultimately, also inhumane phenomenon.
Zugleich ist aber auch festzustellen, dass es sich bei der wachsenden Zahl von Katastrophen nicht nur um unbeeinflussbare Naturereignisse handelt.	But at the same time, it should also be noted that the growing number of catastrophes is not only due to natural events over which we have no control.
Von den Kriegen, in denen humanitäre Hilfe beispielsweise durch ECHO geleistet werden muss, lässt sich das ohnehin nicht sagen.	As it is, this cannot be said of wars, in which humanitarian aid has to be supplied, perhaps by ECHO.
Immer mehr Naturkatastrophen haben offensichtlich damit zu tun, dass wir die globale Öko- und Biosphäre immer stärker beanspruchen.	An increasing number of natural disasters are clearly linked to the fact that we are placing ever greater demands on the global ecosphere and biosphere.
Die zwischenstaatliche Gruppe für Klimaveränderungen der Vereinten Nationen, IPCC, hat beispielsweise berichtet, dass bereits ein spürbarer Einfluss des Menschen auf das globale Klima festzustellen ist.	The United Nations' Intergovernmental Panel on Climate Change, IPCC, has reported, for example, that we can already see a, "discernible human influence on global climate".
Unsere Konzepte des Krisenmanagements müssten daher nach meiner Überzeugung auch eine gesellschaftspolitische Dimension erhalten und in die Entwicklungspolitik und zum Beispiel die wirtschaftspolitische Strategie integriert werden.	Our concepts of crisis management ought therefore, in my opinion, also to have a socio-political dimension and be integrated into development policy and, for example, economic policy strategy.
Sonst werden wir vielfach nur die Folgen unserer eigenen Politik kurieren, und vor allem die Menschen in den Ländern des Südens werden unter den von uns verursachten Katastrophen leiden.	Otherwise we will, in many cases, only be repairing the damage inflicted as a consequence of our own policy, and the people in the countries of the South, in particular, will suffer as a result of the disasters which we have caused.
Das zweite Problem hängt unmittelbar damit zusammen und ist doch sehr praktischer Natur.	The second problem is directly linked to the first and yet is of a very practical nature.
Ich appelliere an die Kommission, die humanitäre Hilfe, auch ohne, dass das eben benannte so umfassende Problem bereits gelöst wäre, konzeptionell, organisatorisch und operativ enger mit der Entwicklungspolitik zu verbinden.	I call on the Commission - even if the extensive problem which I have just outlined is not yet resolved - to link the design, organisation and operation of humanitarian aid more closely to development policy.
Dazu gibt es seitens der Kommission bereits Ansätze, die meiner Meinung nach jedoch deutlich verstärkt und entbürokratisiert werden müssten.	The Commission has already made attempts to do this, which I feel still need to be stepped up considerably and freed of red tape.
Beispielhaft ist in dieser Hinsicht nach meiner Überzeugung das Konzept der entwicklungsorientierten Nothilfe, wie es die Gesellschaft für technische Zusammenarbeit zu praktizieren versucht.	An example of this is, in my opinion, the concept of emergency relief which is geared to development, which the Gesellschaft für Technische Zusammenarbeit (Company for Technical Cooperation) is trying to put into practice.
