Herr Präsident, wir haben es jetzt schon ein paar Mal gehört: ECHELON existiert also.	Mr President, we have now heard it said several times that Echelon really does exist.
Die Frage ist, was existiert denn mit ECHELON?	The question is: what does Echelon entail?
Mit ECHELON existiert ein Überwachungssystem, das einen massiven und globalen Eingriff in die Grundrechte bedeutet, nicht nur für die industrielle, sondern eben auch für jegliche private Art von Kommunikation.	It entails a monitoring system which is tantamount to a massive global violation of fundamental rights, infringing not only the privacy of industrial communications but also the privacy of every form of communication between individuals.
Das ist doch der eigentliche Skandal an ECHELON, dieser Grundrechtseingriff.	This violation of human rights is surely the real scandal of Echelon.
Was ist jetzt aber erst einmal das Statement dazu vom Europaparlament?	But what exactly is the statement on this issue from the European Parliament?
Die Message aus dem Bericht ist doch eigentlich: Wir verurteilen dieses System, weil es hauptsächlich von den USA betrieben wird und zu gut funktioniert.	The essence of the message contained in this report is, in fact, that we condemn this system because it is operated primarily by the United States and because it works too well.
Was wird als Gegenmaßnahme vorgeschlagen?	What countermeasure does the report propose?
Als Gegenmaßnahme wird vorgeschlagen, einen EU-Geheimdienst aufzubauen.	As a countermeasure, it proposes the establishment of an EU intelligence service.
Außerdem gibt es, wie wir wissen, Überwachungsstandards wie zum Beispiel ETST, und es gibt unter dem Namen ENFOPOL bekannt gewordene europäische Überwachungspläne.	As we know, there are also monitoring standards such as ETST, and European monitoring plans bearing the name Enfopol have come to light too.
All das wird in diesem Bericht auch nicht angesprochen, wo es doch eigentlich um diesen Grundrechtseingriff per staatlicher Überwachung geht.	Neither of these points is mentioned in the report, which essentially focuses on the monitoring that is undertaken by national intelligence agencies in violation of fundamental rights.
Ich denke, wenn man sich jetzt, wie einige hier, nur auf die Kontrollierbarkeit der Geheimdienste beschränkt und sagt, wenn die demokratisch kontrolliert werden, dann hätten wir das Problem auch gelöst, wenn man sich in der Welt anschaut, welche Geheimdienste es gibt, kann man sehen, dass eine demokratische Kontrolle noch nie funktioniert hat.	If we are tempted to follow the path that some Members would wish us to pursue and restrict our efforts to establishing control over the intelligence services, relying on democratic control of these bodies to solve the problem, we must first look at the various secret services around the world; as we do this, it will become clear to us that democratic control has never worked.
Ich kenne kein Land, in dem das funktioniert.	I know of no country in which it works.
Insofern ist das für mich kein Ausweg.	So in my view it is no solution.
Noch ein Punkt zum Thema Außenpolitik, der auch schon öfter angesprochen wurde.	Let me make one more point on the subject of foreign policy, to which several references have already been made.
Wenn man eine EU-Armee aufbaut, dann ist die logische Konsequenz, dass man dann auch einen EU-Geheimdienst hat.	If an EU armed force is established, the logical consequence would be the creation of an EU intelligence service as well.
Allerdings bedeutet das für mich - und ich bin gegen beides - eine Militarisierung der EU.	I am opposed to both of these developments, because I believe they will result in the militarisation of the EU.
Wenn man es ernst nehmen würde mit dem Raum der Freiheit, der Sicherheit und des Rechts, dann müsste man die Geheimdienste abschalten, dann müsste man auch die Überwachungsbehörden abschalten, ihre Dienste einstellen.	If there is any serious intention to create an area in which peace, security and justice reign supreme, the intelligence services will have to be disbanded; the surveillance authorities will also have to be dissolved.
Dann würden sich vielleicht auch ehemalige Angestellte der Überwachungsbehörden von Hackern beraten lassen, wie man sich wirklich gut vor staatlichem Eingriff in die Grundrechte schützen kann.	Then, perhaps, even former employees of the surveillance authorities will be taking advice from computer hackers on how to protect themselves with the utmost effectiveness against government infringement of their fundamental rights.
