amtierender Ratspräsident.	President-in-Office of the Council.
Das sind ja zwei verschiedene Bereiche.	These are two different fields.
Die Ursachen von Flüchtlingsströmen werden auch ein wichtiger Punkt beim Afrika-Gipfel unter portugiesischem Vorsitz im November sein.	The causes of refugee flows will be another important item on the agenda of November's EU-Africa Summit under the Portuguese Presidency.
Was können wir gemeinsam mit den Herkunftsländern an den Situationen verbessern?	What aspects of the respective situation can be improved in cooperation with countries of origin?
Verantwortungsvolle Staatsführung, bessere Strukturen, Perspektiven für Arbeitsplätze, für Ausbildung?	Good governance, better structures, the prospects of finding work or training?
Was können zum anderem wir als Europäische Union leisten?	Secondly, what can the European Union do?
Da gab es vor kurzem schon Überlegungen von Kommissar Frattini, aber auch vom deutschen Ratsvorsitz, über die Einräumung einer zeitweiligen Möglichkeit zur Arbeitsaufnahme.	In this regard, Commissioner Frattini and the German Council Presidency have recently considered granting temporary access to employment.
Dies wird weiter verfolgt.	This avenue is still being pursued.
Außerdem haben wir sicher bei Frontex einen ersten Ansatz gefunden, Ländern zu helfen, die möglicherweise bestimmte Probleme nicht vor Ort lösen können und die Unterstützung durch Frontex erhalten.	In addition, in the form of Frontex, we have without doubt hit upon an initial approach to helping countries who may be unable to solve certain problems locally, and who receive support from Frontex.
Betrifft: Kampf gegen Terrorismus und Menschenrechte	Subject: Counter-terrorism and human rights
Welche Strategie schlägt der deutsche Ratsvorsitz nach dem EU-USA-Gipfel vom April 2007 vor, um zu gewährleisten, dass die transatlantische Zusammenarbeit im Kampf gegen Terrorismus und Kriminalität mit Methoden geführt wird, bei denen Menschenrechte und bürgerliche Freiheiten geachtet werden?	Following the EU-US summit in April 2007, what strategy is the German Presidency proposing for ensuring that transatlantic cooperation to combat terrorism and crime is pursued through methods which respect human rights and civil liberties?
Wann und wie wird der Ratsvorsitz vorschlagen, das Europäische Parlament in den transatlantischen Dialog über Sicherheit, der auch den Rechtsrahmen für den Kampf gegen Terrorismus berührt, einzubeziehen?	When and how does the Presidency propose to involve the European Parliament in the transatlantic dialogue on security, including the legal framework for fighting terrorism?
Welche Antworten hat der Ratsvorsitz bei den Mitgliedstaaten im Ergebnis des am 14. Februar 2007 angenommenen Berichts des Europäischen Parlaments zur außerordentlichen Überstellung angefordert und erhalten?	What responses has the Presidency sought and received from Member States in response to the European Parliament report on extraordinary rendition adopted on 14 February 2007?
Beabsichtigt der Ratsvorsitz, eine aktuelle Information über die Besetzung der Stelle eines Koordinators für den Kampf gegen Terrorismus abzugeben, und prüft er, dieser Stelle in der Struktur des Rates nicht zuletzt zur Gewährleistung der Einhaltung von Artikel 6 des EU-Vertrags mehr Gewicht zu verleihen?	Can the Presidency give an update on filling the post of counter-terrorism coordinator, and is it conducting a review on the need for that post to carry more weight in the Council structure, not least in ensuring respect for Article 6 TEU?
