Vielen Dank, Frau Kommissarin!	Many thanks, Commissioner.
Liebe Kolleginnen und Kollegen! Ich glaube, das war eine der guten Stunden des Europäischen Parlaments, weil wir uns nämlich für das Wichtigste eingesetzt haben, was es auf dieser Erde gibt: die Menschenrechte.	Ladies and gentlemen, I think this has been one of the European Parliament's finest hours, for we have championed the most important cause of all, namely human rights.
Wir können dankbar sein, dass wir nicht nur gemeinsam diese Diskussion geführt haben, sondern - auch wenn wir hier nicht formell über eine Entschließung abstimmen können, da das aus prozeduralen Gründen nicht möglich ist, wir tun das am 10. April - dass doch deutlich geworden ist, dass wir an der Seite des tibetischen Volkes stehen.	I think we can be grateful not only that we have come together for this debate - although for procedural reasons we cannot formally vote on a resolution; that is something we will be doing in April - but also that we have signalled very clearly that we are on the side of the Tibetan people.
Meine Bitte und mein Rat sind - ich bin sicher, dass das so sein wird -, dass wir die Situation in China und Tibet mit offenen Augen begleiten und bei der Verletzung der Menschenrechte in Tibet und überall in der Welt auch weiter unsere Stimme erheben.	My appeal to you, and my advice - and I am confident that this will happen - is that we continue to observe what is happening in China and Tibet with our eyes open, and continue to raise our voices against the violation of human rights in Tibet and, indeed, elsewhere in the world.
Ich möchte Ihnen herzlich dafür danken, dass Sie zu einer der guten Stunden des Europäischen Parlaments beigetragen haben.	I would like to express my sincere gratitude to all of you for your contribution to what has been one of the European Parliament's finest hours.
Es sind alle Kolleginnen und Kollegen zu Wort gekommen, die sich im Rahmen des Catch the eye-Systems gemeldet haben.	Every Member who signalled under 'catch the eye' that they wished to speak has been able to do so.
Ich glaube, dass es wichtig ist, dass sich bei einer so leidenschaftlichen und wichtigen Debatte alle, die das Wort ergreifen wollten, auch ausdrücken konnten.	I think it is important, in such a passionate and important debate, that anyone who wishes to voice their opinion should be able to do so.
Auch dafür möchte ich Ihnen von Herzen danken.	My heartfelt thanks go out to you for that reason too.
Ich hoffe, dass unsere Debatte eine gute Beachtung in der Europäischen Union und weit darüber hinaus findet.	I hope our debate meets with favourable resonance in the European Union and beyond.
Frau Kommissarin Ferrero-Waldner wird dann sicher auch beim Außenministerrat die Atmosphäre, die Leidenschaft und unser Engagement für die Menschenrechte zum Ausdruck bringen.	Commissioner Ferrero-Waldner, I am sure you will convey to the Council of Foreign Ministers the mood of this debate as well as our passion and commitment to the cause of human rights.
Ich wünsche ihr dabei viel Erfolg, und dass dann auch der Außenministerrat zu konkreten Schlussfolgerungen kommt, wie wir konkrete Schlussfolgerungen aus dieser Debatte ziehen konnten.	I wish you every success as you do so, and trust that the Council of Foreign Ministers will also draw tangible conclusions, just as we have done from this debate.
Damit ist diese Aussprache geschlossen.	I now declare the debate closed.
Schriftliche Erklärungen (Artikel 142)	Written statements (Rule 142)
