Herr Präsident! Höchstmögliche Sicherheitsstandards wollen wir alle.	Mr President, we all want the highest possible standards.
Die Frage ist nur, wer darüber entscheidet, was höchstmögliche Sicherheit garantiert.	The only question is who should decide what will guarantee the highest possible level of security.
In gewisser Weise können wir uns hier alle als Experten sehen, weil wir ja beinahe täglich mit Flugzeugen unterwegs sind.	To a certain extent, all of us here can regard ourselves as experts, simply because we are almost daily air travellers.
Wir wissen eines: Jeder Einzelne von uns kann die neuen Regelungen zum Thema Flüssigkeiten bei jeder Kontrolle mit Leichtigkeit umgehen.	One thing we do know is that every single one of us can easily circumvent the new rules on liquids at any checkpoint.
Das, was hier vorgesehen ist, ist eine Alibiaktion, die sicherstellen soll, dass sich die Bürger sicher fühlen, die aber sicher keinen Sicherheitsgewinn bringt.	What is on the table here is a placebo, designed to ensure that people feel safe but certainly not increasing security.
Das ist das wirkliche Problem.	That is the real problem.
Dem müssen wir begegnen und dem dienen auch die beiden Änderungsanträge - von Kollege Stockmann und von mir -, die sicherstellen wollen, dass wir uns hier einer Debatte darüber stellen, was tatsächlich einen Sicherheitsgewinn bringt und was eine Alibimaßnahme ist.	We have to tackle it, which is the purpose of the two amendments tabled by Mr Stockmann and myself, through which we seek to ensure that this House debates what constitutes a genuine security-building measure and what is merely a placebo.
In diesem Punkt können wir uns wirklich als Experten fühlen, und wir sagen in aller Deutlichkeit: Wir brauchen sechs Monate nach Einführung dieser Vorschrift keine besonderen Regelungen, sondern wir brauchen in diesem Punkt vernünftigere Überlegungen zu diesem Thema als bisher.	On this point we can truly regard ourselves as experts, and so we say in all clarity that, six months after the introduction of this provision, we have no need of special rules; what we need is a more rational consideration of this issue than it has previously been given.
In Wirklichkeit handelt es sich hier um eine Art extraterritorialer Gesetzgebung der Amerikaner, die gemeinsam mit den Briten entschieden haben: So gehen wir das an.	In actual fact, what we have here is a kind of extraterritorial US law, enacted jointly with Britain. That is how we see it.
Und dann muss der europäische Hund mit dem britischen oder auch amerikanischen Schwanz wedeln.	The British or even the American tail is wagging the European dog.
Das kann es nicht sein!	That will not do.
Wir verlangen daher eine möglichst rasche Überprüfung, und wenn diese Überprüfung keinen realen Sicherheitsgewinn bringt, dann muss es zu einem Auslaufen der Maßnahmen kommen.	We therefore call for the most rapid possible review, and if that review does not result in a real increase in security, the measures must be allowed to expire.
Dann sind wir alle gezwungen, erneut ernsthaft darüber nachzudenken, was uns in diesem Problemfall tatsächlich helfen kann.	That would compel us all to think seriously again about real potential remedies to the present problem.
