Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte zu zwei Punkten sprechen.	Mr President, ladies and gentlemen, I would like to make two points.
Einmal zu dem Bericht der Kollegin Lambert, der sinnvoll und pragmatisch ist und die notwendigen Veränderungen im Hinblick auf jährliche Anpassungen beinhaltet.	The first of these concerns Mrs Lambert' s report, which is sensible and pragmatic and contains the necessary changes in the light of the annual updates.
Dieser Bericht ist technischer Natur, und die Sozialistische Fraktion findet es auch richtig, dass er getrennt worden ist von unserer politischen Aussage.	This is a technical report and the Group of the Party of European Socialists thinks it right and proper that it has been separated from our political reports.
Weil dies getrennt worden ist, liebe Kollegin Oomen-Ruijten, verstehe ich auch Ihre ganze Aufregung nicht.	For this very reason, Mrs Oomen-Ruijten, I do not understand your outburst.
Ich denke, Sie machen hier einen Eklat mit einem Bericht, bei dem es überhaupt nicht notwendig ist. Im Gegenteil, Sie gefährden wahrscheinlich auch die schnelle Rechtsanpassung.	I think you are getting worked up about a report which really does not warrant it and that you are putting the rapid harmonisation of legislation in jeopardy.
Die Position, die wir haben und die wir in den letzten sechs Jahren und darüber hinaus auch in unserem Ausschuss immer vertreten haben, ist selbstverständlich, möglichst schnell und möglichst umfangreich das Recht auf Freizügigkeit, die Rechte der Grenzarbeitnehmer und auch die Rechte der Drittstaatler mit ihren Familien in Europa zu sichern.	The position we have adopted, which is one we have held for the last six years and more in our committee, is, quite understandably, to secure the right to freedom of movement, the rights of frontier workers and also the rights of third-country nationals whose families are in Europe, as quickly and as comprehensively as possible.
Darum ist mir auch die Stellungnahme des Rates ein bisschen zu dürftig.	That is why the position of the Council seems to me somewhat lacking.
Aber in unserem Entschließungsantrag, zu dem ich noch komme, den wir heute gemeinsam mit der Linken dieses Hauses vorlegen, ist selbstverständlich auch eine klare und, wie ich denke, auch dringende Aufforderung an den Rat enthalten, die Richtlinien, die Verordnung, die Revision der Verordnung spätestens bis Ende des Jahres auf den Tisch zu legen.	But our motion for a resolution, which we tabled together with the other left-wing groups of this House, contains a clear and, I think, urgent request for the Council to lay the directives, the regulation and the revision of the regulation on the table by the end of the year.
Nach dem, was ich gehört habe, bin ich davon überzeugt, dass die belgische Präsidentschaft dies auch machen wird.	From what I have heard, I am convinced that the Belgian Presidency will follow suit.
Kollegin Ria, ich bedaure daher Ihren Zick-Zack-Kurs, denn wenn Sie sich einige Anträge ansehen, oder wenn wir uns Ihre Anträge ansehen, dann finden wir nicht das wieder, was Sie eben gesagt haben.	Mrs Ria, I regret, therefore, your zigzag course. When we look at your proposals, we find they do not tally with what you have said.
Wieso haben Sie beispielsweise im Änderungsantrag 1 zu Punkt a die soziale Sicherheit herausgenommen?	For instance, in Amendment No 1 on paragraph a, why did you remove social security?
Wir wollen alle, dass die soziale Sicherheit ein Bestandteil bleibt und nicht nur die ökonomischen Interessen im Vordergrund stehen.	We all want social security to remain a component; we do not want only economic interests to be to the fore.
Beim Änderungsantrag 4 zu Absatz 1 haben Sie die Drittstaatler herausgenommen.	In the case of Amendment No 4 to paragraph 1, you have removed third-country nationals.
Das ist ein großes Problem; es hat uns immer am Herzen gelegen, dass es nicht nur um die Bürgerinnen und Bürger der EU, sondern auch um die Arbeitnehmer und Bürger aus anderen Staaten, die sich bei uns legal aufhalten, geht.	That is a big problem. It has always been close to our hearts that we are dealing not only with the citizens of the European Union but also with workers and people from other countries, who are legally resident in our countries.
Darum erwarten wir, dass Sie auch diese Personengruppe mit einbeziehen.	That is why we expect you to include these groups of people.
Sie können sicher sein, dass dieses Problem spätestens mit der Erweiterung - aber wahrscheinlich schon früher - auf uns zukommen wird, nämlich dann, wenn der eklatante Mangel an qualifizierten Arbeitskräften, der sich in allen 15 Mitgliedstaaten abzeichnet, deutlich wird.	You can be sure that this problem will return to haunt us at the time of enlargement - but probably sooner - namely when the glaring deficit in qualified workers, which will make itself felt in all 15 Member States, is all too apparent.
Wir können nicht nur die Arbeitskräfte in den legalen Status einbeziehen, sondern müssen selbstverständlich auch die Familien der Arbeitskräfte mit einbeziehen.	We cannot restrict legal status to workers; we must also include workers' families.
