Herr Präsident! Wir alle wollen offene Grenzen bei den Dienstleistungen haben.	Mr President, we all want to have open borders for the provision of services.
Zwei Punkte will ich in diesem Zusammenhang ansprechen.	I would like to address two points in this regard.
Bei der Daseinsvorsorge hat die Europäische Union 2006 eine klare Haltung gezeigt und den sensiblen Bereich der Daseinsvorsorge eben nicht dem offenen Wettbewerb unterworfen.	In 2006 the European Union made its position on the provision of public services clear and did not even subject the sensitive area of public services to open competition.
Nun wird natürlich versucht, unter GATS diesen sensiblen Bereich durch die Hintertür zu liberalisieren.	Now, of course, the attempt is being made under GATS to liberalise this sensitive sector through the back door.
Hier muss ein anderer Ansatz verfolgt werden als bei kommerziellen Dienstleistungen.	We cannot use the same approach here as for commercial services.
Das gilt natürlich vice versa auch für die Entwicklungsländer.	The reverse also applies for developing countries, of course.
Die EU darf hier keinen Druck auf die Entwicklungsländer ausüben und sie zur Liberalisierung der öffentlichen Dienstleistungen zwingen.	The EU should not be putting any pressure here on developing countries and forcing them to liberalise public services.
Das müssen sie selbst bestimmen können.	They must be able to decide to do this themselves.
Ein zweiter heikler Punkt betrifft den Finanzdienstleistungsmarkt.	A second delicate point concerns the financial services market.
Seit den achtziger Jahren sind die Finanzdienstmärkte die am weitesten globalisierten Teilmärkte und weisen enorme Wachstumsschübe auf, gerade bei Finanztransaktionen.	Since the 1980s, the financial services markets have featured enormous growth spurts on the most extensive globalised market sectors, even for financial transactions.
Die Devisenmärkte haben einen Jahresumsatz von 360 Billionen US-Dollar.	The currency markets have an annual turnover of USD 360 trillion.
Die Teilnahme an global wachsenden Märkten ist natürlich eine wirtschaftliche Freiheit, doch Entwicklungsländer weisen eine hohe Vulnerabilität gegenüber externen Schocks auf.	Involvement in globally expanding markets is, of course, an economic freedom and developing countries therefore display a high degree of vulnerability towards external shocks.
Daher sollte die Liberalisierung der Finanzdienstleistungen dem Entwicklungsstand des jeweiligen ...	The liberalisation of financial services should therefore [take account of] the development status of the particular ...
(Der Präsident entzieht dem Redner das Wort.)	(The President cut off the speaker)
