– Herr Präsident! Herr Kommissar, Sie haben von Emotionen hier im Parlament gesprochen.	Mr President, the Commissioner spoke of the emotions that are present in this House.
Das liegt sicherlich einmal am Thema, es liegt aber auch an dieser unendlichen Geschichte, mit der wir es hier zu tun haben.	That this should be so certainly has to do with the subject matter, but also with the fact that what we are dealing with here is a never-ending story.
Es ist nicht das erste, nicht das zweite und auch nicht dritte Mal, sondern es ist vielleicht schon das dutzendste Mal, dass wir uns damit haben beschäftigen müssen.	This is not the first time, not the second, and not even the third, but perhaps the umpteenth time that we have had to give this our attention.
Seit weit über zehn Jahren wollen wir hier zu Verbesserungen kommen, und immer wird von Fortschritten gesprochen, aber die entscheidenden Fortschritte sind nicht gekommen.	For well over ten years, we have sought to make improvements in this area, and there has always been talk of progress, but the crucial progress has not materialised.
Ich glaube, dass wir erst zu einem wirklichen Durchbruch gelangen, wenn das Europäische Parlament in Landwirtschaftsfragen auch die Mitentscheidung hat.	We will, I believe, achieve a real breakthrough only when this House acquires the right of codecision in agricultural matters as well.
Ich glaube, dass diese eher kommen wird, als das Satellitennavigationssystem.	I believe we are more likely to get that than the satellite navigation system.
Also, ich setze da mehr auf unsere Durchsetzungskraft.	It is there that I have greater confidence in our ability to get our way.
Zur Sache möchte ich sagen, dass es natürlich auch eine Frage der Transportzeiten ist, aber es ist doch wesentlich, ob die Bedingungen stimmen, nämlich ob Tiere verschleppt werden als gequälte Kreaturen oder ob sie reisen als unsere Mitgeschöpfe.	Turning to the matter in hand, I would like to say that this is, of course, also about transport times, but what is of the essence is whether the conditions are right, that is, whether the animals are carted off in torment or whether they travel as our fellow-creatures.
Wenn im Nahen Osten ein Araberhengst für die Zucht gekauft wird, muss man keine Sorge haben, dass er hier in schlechtem Zustand ankommt.	If someone goes to the Middle East and buys an Arabian stallion for stud purposes, they do not need to worry that it will arrive here in a poor condition.
Oder wenn unsere Tiere zu den Olympischen Spielen reisen, werden sie dort auch vernünftig ankommen.	Likewise, if our animals travel to the Olympic Games, they will arrive in a fit and proper state.
Es kommt also auf die Bedingungen an.	It follows that it is the conditions that matter.
Ich denke, es kommt auch darauf an, dass wir mit den Verbraucherinnen und Verbrauchern zu einer Übereinstimmung kommen.	What matters, I think, is that we should comply with what the consumers want.
Wir haben in der Bundesrepublik Programme für Qualitätsfleisch aufgelegt, wo auch die Transportzeit ein Qualitätskriterium ist.	In Germany, we have set up programmes for quality meat in which transport time is among the quality criteria.
Oder nehmen wir den biologischen Landbau: Dort wird eben der nächste Schlachthof genommen.	Organic farming is another example, with the nearest slaughterhouse being the one that is used.
Wo das ein Qualitätskriterium ist, setzt sich das auch in der Praxis durch.	Where that is a measure of quality, it will also become accepted practice.
