Alle unsere Bemühungen im Bereich Umwelt und Gesundheit zielen auf den Gesundheitsschutz ab.	Everything that we try to do on the environment and health fronts is aimed at protecting health.
Die Verantwortung liegt bei den Mitgliedstaaten, und das muss auch so bleiben.	Responsibility for this rests with the Member States, and that is where it must remain.
Der Vorsorgegedanke bekommt immer größere Bedeutung.	The idea of prevention is becoming ever more prominent.
Der Bericht Ries stellt die gesundheitlichen Risiken von Übergewicht, Adipositas und chronischen Krankheiten heraus.	The Ries report describes the health risks involved in obesity, excess weight and chronic illness.
Warum sind unsere Kinder übergewichtig?	Why is it that our children are overweight?
Wo liegen die Ursachen?	What are the causes?
Die Diskussion muss geführt werden, um Bewusstsein, vor allem in den Familien, zu schaffen.	These issues need to be discussed in order to raise awareness, particularly in families.
Über Schule und allgemeine Bildung muss die Alltagskompetenz um den gesundheitsbewussten Umgang mit unserem Körper vermittelt werden. Wir müssen gesellschaftliche Veränderungen herbeiführen, um vorbeugend diesen Krankheiten entgegenzutreten.	The ability to keep our bodies healthy on a day-to-day basis is something that must be communicated through school and general education.
Das funktioniert aber nicht allein durch Werbeverbote, gesundheitsbezogene Angaben und die Ausstattung unserer Erstklässler mit Sporttaschen. Unsere Gesellschaft ist schnelllebig.	Preventing these illnesses will, of necessity, involve social changes, but that will be accomplished not merely through bans on advertising, providing information relating to health and giving children sports bags when they start primary school.
Beide Elternteile arbeiten. Die Zeit für die Familie, zur Erziehung und zum Kochen fehlt oft.	We live in a fast-living society; when both parents work, time for the family, for bringing up children and for cooking is often lacking.
Die Vorsorgepflicht der Gesellschaft wird dadurch immer wichtiger, und die Vermittlung von Alltagskompetenz muss auf die Schulen und die Bildungsträger verlagert werden.	This makes it ever more important that society should take preventive action, and schools and educational facilities must be entrusted with the communication of day-to-day life skills.
Trotzdem dürfen wir nicht nachlassen, die Familien an ihre ureigensten Aufgaben und Pflichten zu erinnern und ihnen dazu die Kompetenz lassen.	Even so, we must not stop reminding families of those tasks and duties that are inherently their own, and empower them to perform and fulfil them.
Auch die EU kann nicht veranlassen, dass alle Menschen schlank und gesund ihr Leben genießen.	Not even the EU can make people be slim and enjoy life and health.
Die Mitgliedstaaten müssen Aktionen und Maßnahmen veranlassen. Umsetzen müssen sie die Menschen selbst.	The Member States must produce action plans and measures, but people have to put them into practice themselves.
